Promoter	PromoterTarget	directEnhancer	indirectEnhancer	directPromoter	indirectPromoter	directEnhancerHub	indirectEnhancerHub
chr10:100007240-100011556|Promoter	chr10:99875577-100009947|-|DNMBP	chr10:99845771-99847409|Enhancer,chr10:99973289-99974955|Enhancer	chr10:100043929-100047264|Enhancer,chr10:99844163-99844197|Enhancer			chr10:99845771-99847409|Enhancer	chr10:100043929-100047264|Enhancer
chr10:100267957-100268241|Promoter	chr10:100232298-100267638|-|CWF19L1			chr10:100268390-100268573|Promoter			
chr10:100268390-100268573|Promoter	chr10:100232298-100267638|-|CWF19L1			chr10:100267957-100268241|Promoter			
chr10:100372676-100375475|Promoter	chr10:100373513-100454043|+|OLMALINC	chr10:100342677-100344125|Enhancer,chr10:100433437-100435560|Enhancer	chr10:100338326-100338753|Enhancer,chr10:100302525-100304289|Enhancer,chr10:100507983-100511957|Enhancer,chr10:100482561-100484191|Enhancer		chr10:100515356-100520270|Promoter	chr10:100433437-100435560|Enhancer	chr10:100507983-100511957|Enhancer
chr10:100515356-100520270|Promoter	chr10:100486647-100519861|-|SEC31B	chr10:100433437-100435560|Enhancer	chr10:100338326-100338753|Enhancer,chr10:100482561-100484191|Enhancer,chr10:100302525-100304289|Enhancer,chr10:100342677-100344125|Enhancer,chr10:100507983-100511957|Enhancer		chr10:100372676-100375475|Promoter		chr10:100507983-100511957|Enhancer
chr10:100743036-100746321|Promoter	chr10:100745711-100829941|+|PAX2	chr10:100560983-100563406|Enhancer					
chr10:100997761-101000173|Promoter	chr10:100997072-101007836|+|LZTS2	chr10:101011135-101015349|Enhancer	chr10:100993322-100995127|Enhancer				
chr10:101059544-101060977|Promoter	chr10:101060029-101061005|-|AL133215.2	chr10:101139728-101143683|Enhancer,chr10:101066054-101068830|Enhancer	chr10:101050225-101051604|Enhancer,chr10:101093909-101097644|Enhancer,chr10:101055231-101055611|Enhancer			chr10:101066054-101068830|Enhancer	chr10:101050225-101051604|Enhancer
chr10:101694265-101695316|Promoter	chr10:101610666-101695170|-|FBXW4		chr10:101568604-101571479|Enhancer,chr10:101299764-101303180|Enhancer,chr10:101494746-101495575|Enhancer,chr10:101287829-101291685|Enhancer,chr10:101467524-101468156|Enhancer,chr10:101536071-101537034|Enhancer,chr10:101161793-101162790|Enhancer,chr10:101271814-101273527|Enhancer,chr10:101238862-101239819|Enhancer,chr10:101441437-101444406|Enhancer,chr10:101212198-101216559|Enhancer,chr10:101566409-101566690|Enhancer	chr10:101779938-101783149|Promoter			chr10:101568604-101571479|Enhancer
chr10:101779938-101783149|Promoter	chr10:101770130-101780369|-|FGF8	chr10:101212198-101216559|Enhancer	chr10:101568604-101571479|Enhancer,chr10:101299764-101303180|Enhancer,chr10:101494746-101495575|Enhancer,chr10:101287829-101291685|Enhancer,chr10:101467524-101468156|Enhancer,chr10:101536071-101537034|Enhancer,chr10:101161793-101162790|Enhancer,chr10:101271814-101273527|Enhancer,chr10:101238862-101239819|Enhancer,chr10:101441437-101444406|Enhancer,chr10:101566409-101566690|Enhancer	chr10:101694265-101695316|Promoter			chr10:101568604-101571479|Enhancer
chr10:102132523-102133019|Promoter	chr10:102132994-102150333|+|PPRC1			chr10:102151982-102152865|Promoter			
chr10:102151982-102152865|Promoter	chr10:102152176-102163871|+|NOLC1			chr10:102132523-102133019|Promoter			
