loopId	typeAnchorA	typeAnchorB	nearestDistanceToGeneAnchorA	nearestDistanceToGeneAnchorB	nearestTargetGeneAnchorA	nearestTargetGeneAnchorB
loop_chr19-chr19-20646|K562_RAD21_17m|loop_chr19-chr19-10705|GM12878_RAD21_17m	Enhancer	Promoter	2602	0	chr19:1241746-1244825|+|ATP5F1D	chr19:1267814-1270241|-|CIRBP-AS1
loop_chr19-chr19-20648|K562_RAD21_17m|loop_chr19-chr19-10741|GM12878_RAD21_17m	Promoter	Enhancer	0	8996	chr19:10271093-10286615|+|ICAM1	chr19:10350529-10380676|-|TYK2
loop_chr19-chr19-20649|K562_RAD21_17m|loop_chr19-chr19-10700|GM12878_RAD21_17m	Enhancer	Enhancer	3162	19056	chr19:49512279-49526333|+|FCGRT	chr19:49528003-49543633|+|RCN3
loop_chr19-chr19-20650|K562_RAD21_17m|loop_chr19-chr19-10668|GM12878_RAD21_17m	Enhancer	Enhancer	18815	10627	chr19:6067953-6077119|+|AC011444.2	chr19:6135635-6193094|+|ACSBG2
loop_chr19-chr19-20651|K562_RAD21_17m|loop_chr19-chr19-10665|GM12878_RAD21_17m	Enhancer	Enhancer	4991	8795	chr19:10572671-10587315|-|AP1M2	chr19:10651862-10653844|-|ILF3-DT
loop_chr19-chr19-20652|K562_RAD21_17m|loop_chr19-chr19-10697|GM12878_RAD21_17m	Enhancer	Promoter	11589	0	chr19:38251237-38256532|-|PPP1R14A	chr19:38335775-38370943|+|CATSPERG
loop_chr19-chr19-20653|K562_RAD21_17m|loop_chr19-chr19-10740|GM12878_RAD21_17m	Promoter	Enhancer	0	2988	chr19:45815435-45863290|-|SYMPK,chr19:45864326-45873797|+|FOXA3	chr19:45883608-45886141|-|IRF2BP1
loop_chr19-chr19-20654|K562_RAD21_17m|loop_chr19-chr19-10939|GM12878_RAD21_17m	Enhancer	Enhancer	12177	6398	chr19:47045909-47048624|-|TMEM160	chr19:47130829-47210636|+|SAE1
loop_chr19-chr19-20656|K562_RAD21_17m|loop_chr19-chr19-10772|GM12878_RAD21_17m	Enhancer	Enhancer	20050	14691	chr19:1609284-1652615|-|TCF3	chr19:1752373-1780988|+|ONECUT3
loop_chr19-chr19-20657|K562_RAD21_17m|loop_chr19-chr19-10660|GM12878_RAD21_17m	Enhancer	Enhancer	5868	5206	chr19:17933015-17943991|+|CCDC124	chr19:18001132-18014102|+|ARRDC2
loop_chr19-chr19-20658|K562_RAD21_17m|loop_chr19-chr19-11120|GM12878_RAD21_17m	Promoter	Enhancer	0	2092	chr19:47713422-47743134|+|EHD2	chr19:47745546-47757058|+|NOP53
loop_chr19-chr19-20659|K562_RAD21_17m	Enhancer	Enhancer	13019	13307	chr19:2476127-2478257|+|GADD45B	chr19:2476127-2478257|+|GADD45B
loop_chr19-chr19-20660|K562_RAD21_17m|loop_chr19-chr19-10794|GM12878_RAD21_17m	Enhancer	Enhancer	9850	32601	chr19:33208664-33225850|-|SLC7A10	chr19:33373709-33382686|+|CEBPG
loop_chr19-chr19-20662|K562_RAD21_17m|loop_chr19-chr19-10982|GM12878_RAD21_17m	Promoter	Enhancer	1381	9995	chr19:11296139-11326996|+|TSPAN16	chr19:11420605-11435782|-|CCDC151
loop_chr19-chr19-20664|K562_RAD21_17m|loop_chr19-chr19-10868|GM12878_RAD21_17m	Enhancer	Promoter	12948	0	chr19:7665717-7666476|+|RPS27AP19	chr19:7680833-7687703|+|TRAPPC5
loop_chr19-chr19-20665|K562_RAD21_17m	Enhancer	Enhancer	10750	10531	chr19:48880965-48898733|-|TULP2	chr19:48880965-48898733|-|TULP2
loop_chr19-chr19-20667|K562_RAD21_17m	Enhancer	Enhancer	4477	4809	chr19:4542593-4559684|-|SEMA6B	chr19:4542593-4559684|-|SEMA6B
loop_chr19-chr19-20668|K562_RAD21_17m|loop_chr19-chr19-10947|GM12878_RAD21_17m	Enhancer	Enhancer	10089	6466	chr19:35683778-35684201|-|TYMSP2	chr19:35799990-35813299|-|PRODH2
loop_chr19-chr19-20669|K562_RAD21_17m|loop_chr19-chr19-10764|GM12878_RAD21_17m	Enhancer	Enhancer	4375	3390	chr19:18204730-18220480|+|AC005759.1	chr19:18208652-18248200|-|PDE4C
loop_chr19-chr19-20670|K562_RAD21_17m|loop_chr19-chr19-10751|GM12878_RAD21_17m	Enhancer	Enhancer	22074	9252	chr19:16801426-16801714|+|AC008737.3	chr19:16907462-16907723|+|RN7SL835P
loop_chr19-chr19-20671|K562_RAD21_17m|loop_chr19-chr19-10698|GM12878_RAD21_17m	Enhancer	Enhancer	4055	24251	chr19:29606283-29617237|+|POP4	chr19:29698886-29715789|-|C19orf12
loop_chr19-chr19-20673|K562_RAD21_17m|loop_chr19-chr19-10733|GM12878_RAD21_17m	Enhancer	Promoter	6750	0	chr19:3672582-3674295|+|AC004637.1	chr19:3630183-3700479|-|PIP5K1C
loop_chr19-chr19-20679|K562_RAD21_17m|loop_chr19-chr19-10726|GM12878_RAD21_17m	Enhancer	Enhancer	12898	10238	chr19:12965159-12974762|+|DAND5	chr19:13099033-13102867|-|LYL1
loop_chr19-chr19-20680|K562_RAD21_17m	Promoter	Promoter	141	53	chr19:9959561-10010504|-|COL5A3	chr19:9959561-10010504|-|COL5A3
loop_chr19-chr19-20681|K562_RAD21_17m|loop_chr19-chr19-10669|GM12878_RAD21_17m	Promoter	Promoter	0	0	chr19:46634076-46634685|-|GNG8,chr19:46636810-46639161|-|AC093503.3	chr19:46660364-46677447|+|DACT3-AS1,chr19:46647551-46661182|-|DACT3
loop_chr19-chr19-20682|K562_RAD21_17m|loop_chr19-chr19-10667|GM12878_RAD21_17m	Enhancer	Enhancer	5109	6489	chr19:46390515-46390852|-|AC007193.3	chr19:46494508-46496502|+|AC011484.1
loop_chr19-chr19-20683|K562_RAD21_17m|loop_chr19-chr19-10905|GM12878_RAD21_17m	Enhancer	Promoter	10741	0	chr19:45527427-45602212|-|OPA3	chr19:45641494-45642840|+|EML2-AS1
loop_chr19-chr19-20685|K562_RAD21_17m	Promoter	Promoter	672	844	chr19:42387019-42390297|-|CNFN	chr19:42387019-42390297|-|CNFN
loop_chr19-chr19-20686|K562_RAD21_17m|loop_chr19-chr19-10707|GM12878_RAD21_17m	Enhancer	Enhancer	29924	5526	chr19:47045909-47048624|-|TMEM160	chr19:47130829-47210636|+|SAE1
loop_chr19-chr19-20688|K562_RAD21_17m	Enhancer	Promoter	8550	1285	chr19:1203209-1203842|+|HMGB2P1	chr19:1241746-1244825|+|ATP5F1D
loop_chr19-chr19-20690|K562_RAD21_17m|loop_chr19-chr19-10710|GM12878_RAD21_17m	Enhancer	Promoter	11991	0	chr19:36139575-36150353|+|CAPNS1	chr19:36173406-36173853|-|AC002984.1
