chromosome1	x1	x2	chromosome2	y1	y2	color	loopId	distance	rawTargetCounts	scaledTargetCounts	rawControlCounts	rawTargetNearbyMeanCounts	scaledTargetNearbyMeanCounts	rawControlNearbyMeanCounts	rawTargetES	rawControlES	targetDensity	controlDensity	rawFc	scaledFc	poissonPvalue
chr17	78779470	78780170	chr17	78780861	78781636	"0,255,255"	loop_chr17-chr17-7117|activate_100m|loop_chr17-chr17-6606|resting_100m	1428.5	39	42.4949821256157	119	26.0	27.91579027751903	52.25	1.5	2.277511961722488	0.26440677966101694	0.8067796610169492	-1.6094155444456923	-1.485597172814594	5.406166695133838e-17
chr17	50871258	50871956	chr17	50872606	50873579	"0,255,255"	loop_chr17-chr17-7136|activate_100m|loop_chr17-chr17-6601|resting_100m	1485.5	28	30.144196336611103	141	22.0	23.478150242618348	36.0	1.2727272727272727	3.9166666666666665	0.16756433273488927	0.843806104129264	-2.3321964303411917	-2.2257429907876434	1.8828138415880358e-43
chr17	7572413	7572819	chr17	7573582	7574458	"0,255,255"	loop_chr17-chr17-7144|activate_100m|loop_chr17-chr17-6611|resting_100m	1404.0	65	72.15143835013701	183	21.5	22.925403200470967	56.0	3.0232558139534884	3.267857142857143	0.5070202808112324	1.4274570982839314	-1.4933320252555902	-1.3427435880436738	6.751170213564338e-23
chr17	42530370	42530788	chr17	42531527	42532152	"0,255,255"	loop_chr17-chr17-7150|activate_100m|loop_chr17-chr17-6644|resting_100m	1260.5	25	26.803891818923045	66	6.75	6.900905353864967	19.75	3.7037037037037037	3.3417721518987342	0.23969319271332695	0.6327900287631831	-1.4005379295837272	-1.3000235349737181	1.1941410901486362e-05
chr17	72725545	72726067	chr17	72726763	72727251	"0,255,255"	loop_chr17-chr17-7159|activate_100m|loop_chr17-chr17-6616|resting_100m	1201.0	32	34.61801786765326	91	13.5	14.153729643883365	26.5	2.3703703703703702	3.4339622641509435	0.31683168316831684	0.9009900990099009	-1.5077946401986964	-1.3943434229861076	1.2244424030923655e-10
chr17	48439572	48440389	chr17	48441194	48441756	"0,255,255"	loop_chr17-chr17-7176|activate_100m|loop_chr17-chr17-6622|resting_100m	1494.5	23	24.585004205701253	73	6.75	6.900905353864967	22.75	3.4074074074074074	3.208791208791209	0.16678752719361856	0.5293691080493111	-1.6662626028230036	-1.5701178620355174	2.1823632041556043e-10
chr17	42246481	42247662	chr17	42248551	42248940	"0,255,255"	loop_chr17-chr17-7218|activate_100m|loop_chr17-chr17-6631|resting_100m	1674.0	38	41.36631750148034	95	5.75	5.84440949514058	5.75	6.608695652173913	16.52173913043478	0.24203821656050956	0.605095541401274	-1.3219280948873617	-1.1994709812710456	6.576604670524926e-08
chr17	75779808	75780193	chr17	75784258	75785003	"0,255,255"	loop_chr17-chr17-7252|activate_100m|loop_chr17-chr17-6621|resting_100m	4630.0	28	30.144196336611103	78	3.75	3.752847050491901	9.5	7.466666666666667	8.210526315789474	0.24778761061946902	0.6902654867256637	-1.4780472968046467	-1.3715938572510984	2.585869663086915e-08
chr17	8153924	8154709	chr17	8155503	8156698	"0,255,255"	loop_chr17-chr17-7263|activate_100m|loop_chr17-chr17-6620|resting_100m	1784.0	25	26.803891818923045	92	11.25	11.71691861706612	44.0	2.2222222222222223	2.090909090909091	0.12626262626262627	0.4646464646464647	-1.8797057662822887	-1.7791913716722778	6.012075771078793e-18
chr17	78128844	78129633	chr17	78129862	78130770	"0,255,255"	loop_chr17-chr17-7266|activate_100m|loop_chr17-chr17-6647|resting_100m	1077.5	36	39.11225187383887	168	36.5	39.675351493816954	131.5	0.9863013698630136	1.2775665399239544	0.2121390689451974	0.9899823217442546	-2.2223924213364477	-2.1027687267810373	1.0178559172685177e-46
