loopId	mergedAnchorA	mergedAnchorB
loop_chr19-chr19-20655|K562_RAD21_17m	chr19:50723450-50725358|Promoter	chr19:50780862-50784874|Enhancer
loop_chr19-chr19-20666|K562_RAD21_17m	chr19:45200085-45205775|Enhancer	chr19:45338522-45339149|Promoter
loop_chr19-chr19-20672|K562_RAD21_17m	chr19:17619039-17619412|Enhancer	chr19:17619425-17619754|Enhancer
loop_chr19-chr19-20674|K562_RAD21_17m	chr19:3482978-3483099|Promoter	chr19:3485140-3485202|Promoter
loop_chr19-chr19-20675|K562_RAD21_17m	chr19:14265636-14265674|Enhancer	chr19:14265899-14265925|Enhancer
loop_chr19-chr19-20677|K562_RAD21_17m	chr19:50704198-50706036|Enhancer	chr19:50780862-50784874|Enhancer
loop_chr19-chr19-20684|K562_RAD21_17m	chr19:17298441-17298474|Promoter	chr19:17298604-17298768|Promoter
loop_chr19-chr19-20687|K562_RAD21_17m	chr19:18986933-18987771|Enhancer	chr19:18988597-18988664|Enhancer
loop_chr19-chr19-20689|K562_RAD21_17m	chr19:47812513-47814051|Enhancer	chr19:47862455-47864502|Promoter
loop_chr19-chr19-20693|K562_RAD21_17m	chr19:1286307-1286323|Promoter	chr19:1286419-1286504|Promoter
loop_chr19-chr19-20694|K562_RAD21_17m	chr19:41222125-41222185|Promoter	chr19:41222334-41222542|Promoter
loop_chr19-chr19-20697|K562_RAD21_17m	chr19:38402603-38404728|Promoter	chr19:38441181-38445479|Enhancer
loop_chr19-chr19-20704|K562_RAD21_17m	chr19:57399655-57399750|Enhancer	chr19:57399995-57400013|Enhancer
loop_chr19-chr19-20705|K562_RAD21_17m	chr19:3586386-3587114|Promoter	chr19:3618645-3618748|Enhancer
loop_chr19-chr19-20707|K562_RAD21_17m	chr19:55616633-55616740|Enhancer	chr19:55616917-55617006|Enhancer
loop_chr19-chr19-20708|K562_RAD21_17m	chr19:3899283-3899302|Enhancer	chr19:3899526-3899554|Enhancer
loop_chr19-chr19-20709|K562_RAD21_17m	chr19:4217425-4217585|Enhancer	chr19:4217783-4218004|Enhancer
loop_chr19-chr19-20710|K562_RAD21_17m	chr19:35956112-35956758|Promoter	chr19:35956777-35956921|Promoter
loop_chr19-chr19-20711|K562_RAD21_17m	chr19:38233967-38234230|Enhancer	chr19:38402603-38404728|Promoter
loop_chr19-chr19-20715|K562_RAD21_17m	chr19:938421-938589|Enhancer	chr19:938680-938793|Enhancer
loop_chr19-chr19-20716|K562_RAD21_17m	chr19:48645252-48648297|Promoter	chr19:48783161-48784985|Enhancer
loop_chr19-chr19-20722|K562_RAD21_17m	chr19:9519527-9519754|Promoter	chr19:9520034-9520204|Promoter
loop_chr19-chr19-20723|K562_RAD21_17m	chr19:35107861-35108376|Promoter	chr19:35108438-35108673|Enhancer
loop_chr19-chr19-20724|K562_RAD21_17m	chr19:373438-373965|Enhancer	chr19:373996-374170|Enhancer
loop_chr19-chr19-20727|K562_RAD21_17m	chr19:58056727-58056801|Enhancer	chr19:58056871-58057089|Enhancer
loop_chr19-chr19-20728|K562_RAD21_17m	chr19:58517870-58522109|Promoter	chr19:58580413-58582411|Promoter
loop_chr19-chr19-20731|K562_RAD21_17m	chr19:51363840-51363922|Promoter	chr19:51364003-51364038|Promoter
loop_chr19-chr19-20732|K562_RAD21_17m	chr19:42299134-42299188|Enhancer	chr19:42302001-42302048|Promoter
loop_chr19-chr19-20733|K562_RAD21_17m	chr19:10245580-10245692|Enhancer	chr19:10245931-10246039|Enhancer
loop_chr19-chr19-20734|K562_RAD21_17m	chr19:10702056-10702301|Promoter	chr19:10862860-10864666|Enhancer
loop_chr19-chr19-20737|K562_RAD21_17m	chr19:323002-323509|Enhancer	chr19:323569-323678|Enhancer
loop_chr19-chr19-20739|K562_RAD21_17m	chr19:17859619-17859767|Promoter	chr19:17996970-17997070|Enhancer
loop_chr19-chr19-20740|K562_RAD21_17m	chr19:4692640-4692653|Enhancer	chr19:4692909-4692940|Enhancer
loop_chr19-chr19-20743|K562_RAD21_17m	chr19:39097263-39097429|Enhancer	chr19:39097436-39097610|Enhancer
loop_chr19-chr19-20745|K562_RAD21_17m	chr19:13280752-13280795|Enhancer	chr19:13281047-13281128|Enhancer
loop_chr19-chr19-20749|K562_RAD21_17m	chr19:45022589-45022793|Enhancer	chr19:45022943-45023066|Enhancer
loop_chr19-chr19-20751|K562_RAD21_17m	chr19:8128247-8128507|Enhancer	chr19:8128555-8128605|Enhancer
loop_chr19-chr19-20753|K562_RAD21_17m	chr19:16124700-16124761|Enhancer	chr19:16124853-16124943|Enhancer
loop_chr19-chr19-20756|K562_RAD21_17m	chr19:46306938-46306974|Promoter	chr19:46307102-46307193|Promoter
loop_chr19-chr19-20758|K562_RAD21_17m	chr19:58044454-58044477|Promoter	chr19:58044651-58044682|Promoter
loop_chr19-chr19-20759|K562_RAD21_17m	chr19:562460-562546|Enhancer	chr19:562725-562735|Enhancer
loop_chr19-chr19-20760|K562_RAD21_17m	chr19:56128073-56128106|Promoter	chr19:56128441-56128445|Promoter
loop_chr19-chr19-20765|K562_RAD21_17m	chr19:29411957-29412081|Enhancer	chr19:29412350-29412434|Enhancer
loop_chr19-chr19-20766|K562_RAD21_17m	chr19:43434651-43434766|Enhancer	chr19:43434917-43435013|Enhancer
loop_chr19-chr19-20768|K562_RAD21_17m	chr19:12965105-12966625|Promoter	chr19:12977926-12979015|Enhancer
loop_chr19-chr19-20771|K562_RAD21_17m	chr19:30028387-30028463|Promoter	chr19:30028541-30028632|Promoter
loop_chr19-chr19-20774|K562_RAD21_17m	chr19:35297636-35297660|Enhancer	chr19:35297897-35298009|Enhancer
loop_chr19-chr19-20777|K562_RAD21_17m	chr19:19890789-19890830|Enhancer	chr19:19891121-19891133|Enhancer
loop_chr19-chr19-20779|K562_RAD21_17m	chr19:27672314-27672361|Enhancer	chr19:27672631-27672654|Enhancer
loop_chr19-chr19-20780|K562_RAD21_17m	chr19:11382932-11384039|Promoter	chr19:11434860-11435259|Promoter
loop_chr19-chr19-20781|K562_RAD21_17m	chr19:48503447-48503594|Enhancer	chr19:48506282-48507696|Enhancer
loop_chr19-chr19-20787|K562_RAD21_17m	chr19:29420613-29420694|Enhancer	chr19:29420837-29420925|Enhancer
