loopId	mergedAnchorA	mergedAnchorB
loop_chr19-chr19-20644|K562_RAD21_17m|loop_chr19-chr19-10673|GM12878_RAD21_17m	chr19:17868568-17874195|Promoter	chr19:17929149-17933296|Promoter
loop_chr19-chr19-20645|K562_RAD21_17m|loop_chr19-chr19-10683|GM12878_RAD21_17m	chr19:16246538-16252333|Enhancer	chr19:16379868-16389447|Enhancer
loop_chr19-chr19-20647|K562_RAD21_17m|loop_chr19-chr19-10657|GM12878_RAD21_17m	chr19:39396079-39398942|Enhancer	chr19:39407058-39413387|Promoter
loop_chr19-chr19-20661|K562_RAD21_17m|loop_chr19-chr19-10655|GM12878_RAD21_17m	chr19:35691929-35695011|Enhancer	chr19:35711243-35719875|Promoter
loop_chr19-chr19-20663|K562_RAD21_17m|loop_chr19-chr19-10679|GM12878_RAD21_17m	chr19:45436317-45446729|Promoter	chr19:45476529-45479833|Promoter
loop_chr19-chr19-20676|K562_RAD21_17m|loop_chr19-chr19-10675|GM12878_RAD21_17m	chr19:8156275-8162402|Enhancer	chr19:8249385-8255191|Enhancer
loop_chr19-chr19-20678|K562_RAD21_17m|loop_chr19-chr19-10666|GM12878_RAD21_17m	chr19:919313-928261|Promoter	chr19:980548-984332|Promoter
loop_chr19-chr19-20695|K562_RAD21_17m|loop_chr19-chr19-10696|GM12878_RAD21_17m	chr19:663489-668299|Enhancer	chr19:730907-738373|Enhancer
loop_chr19-chr19-20717|K562_RAD21_17m|loop_chr19-chr19-10662|GM12878_RAD21_17m	chr19:17855658-17860786|Promoter	chr19:17929149-17933296|Promoter
loop_chr19-chr19-20818|K562_RAD21_17m|loop_chr19-chr19-10686|GM12878_RAD21_17m	chr19:17343725-17347039|Enhancer	chr19:17381872-17386993|Enhancer
loop_chr19-chr19-20861|K562_RAD21_17m|loop_chr19-chr19-10687|GM12878_RAD21_17m	chr19:17999831-18008634|Promoter	chr19:18056009-18066523|Enhancer
loop_chr19-chr19-20863|K562_RAD21_17m|loop_chr19-chr19-10693|GM12878_RAD21_17m	chr19:14572241-14574588|Promoter	chr19:14682355-14689126|Enhancer
loop_chr19-chr19-20876|K562_RAD21_17m|loop_chr19-chr19-10682|GM12878_RAD21_17m	chr19:2647459-2650565|Enhancer	chr19:2746984-2750436|Enhancer
loop_chr19-chr19-20883|K562_RAD21_17m|loop_chr19-chr19-10663|GM12878_RAD21_17m	chr19:49936340-49939190|Enhancer	chr19:49980849-49984226|Enhancer
loop_chr19-chr19-20889|K562_RAD21_17m|loop_chr19-chr19-10664|GM12878_RAD21_17m	chr19:35351835-35355693|Enhancer	chr19:35466215-35469996|Enhancer
loop_chr19-chr19-20907|K562_RAD21_17m|loop_chr19-chr19-10694|GM12878_RAD21_17m	chr19:12563129-12565937|Enhancer	chr19:12669511-12674511|Promoter
loop_chr19-chr19-20922|K562_RAD21_17m|loop_chr19-chr19-10718|GM12878_RAD21_17m	chr19:34969968-34974665|Enhancer	chr19:35010775-35015779|Enhancer
loop_chr19-chr19-20950|K562_RAD21_17m|loop_chr19-chr19-10678|GM12878_RAD21_17m	chr19:42104237-42110451|Enhancer	chr19:42130186-42135569|Promoter
loop_chr19-chr19-20957|K562_RAD21_17m|loop_chr19-chr19-10695|GM12878_RAD21_17m	chr19:46754076-46760432|Enhancer	chr19:46837255-46842261|Enhancer
loop_chr19-chr19-21004|K562_RAD21_17m|loop_chr19-chr19-10755|GM12878_RAD21_17m	chr19:6737730-6741304|Promoter	chr19:6860743-6865194|Enhancer
loop_chr19-chr19-21026|K562_RAD21_17m|loop_chr19-chr19-10671|GM12878_RAD21_17m	chr19:2474313-2476431|Promoter	chr19:2607415-2614755|Promoter
loop_chr19-chr19-21035|K562_RAD21_17m|loop_chr19-chr19-10661|GM12878_RAD21_17m	chr19:11558774-11563186|Promoter	chr19:11581779-11590460|Promoter
loop_chr19-chr19-21050|K562_RAD21_17m|loop_chr19-chr19-10723|GM12878_RAD21_17m	chr19:42104237-42110451|Enhancer	chr19:42183219-42184651|Enhancer
loop_chr19-chr19-21073|K562_RAD21_17m|loop_chr19-chr19-10737|GM12878_RAD21_17m	chr19:4808543-4813308|Enhancer	chr19:4848931-4853917|Enhancer
loop_chr19-chr19-21077|K562_RAD21_17m|loop_chr19-chr19-10656|GM12878_RAD21_17m	chr19:35879586-35884226|Promoter	chr19:35929847-35935248|Enhancer
loop_chr19-chr19-21087|K562_RAD21_17m|loop_chr19-chr19-10699|GM12878_RAD21_17m	chr19:19143320-19151216|Enhancer	chr19:19172617-19177612|Enhancer
loop_chr19-chr19-21088|K562_RAD21_17m|loop_chr19-chr19-10776|GM12878_RAD21_17m	chr19:18276336-18282406|Promoter	chr19:18321001-18329640|Promoter
loop_chr19-chr19-21111|K562_RAD21_17m|loop_chr19-chr19-10759|GM12878_RAD21_17m	chr19:18385505-18389810|Promoter	chr19:18406731-18411205|Enhancer
loop_chr19-chr19-21127|K562_RAD21_17m|loop_chr19-chr19-10729|GM12878_RAD21_17m	chr19:46398958-46402962|Enhancer	chr19:46486458-46491212|Enhancer
loop_chr19-chr19-21131|K562_RAD21_17m|loop_chr19-chr19-10681|GM12878_RAD21_17m	chr19:13877777-13882673|Enhancer	chr19:14072037-14076372|Promoter
loop_chr19-chr19-21142|K562_RAD21_17m|loop_chr19-chr19-10659|GM12878_RAD21_17m	chr19:44721004-44726082|Enhancer	chr19:44767707-44773378|Enhancer
loop_chr19-chr19-21158|K562_RAD21_17m|loop_chr19-chr19-10822|GM12878_RAD21_17m	chr19:6516453-6519395|Enhancer	chr19:6630546-6637642|Enhancer
loop_chr19-chr19-21510|K562_RAD21_17m|loop_chr19-chr19-10692|GM12878_RAD21_17m	chr19:19364637-19368335|Enhancer	chr19:19488453-19492299|Enhancer
