anchor	chrom	start	end	type	nearestDistanceToTSS	nearestGene	nearestGeneLoc
chr19:267264-267446|Enhancer	chr19	267264	267446	Enhancer	15784	AC016588.2	chr19:248551-251571|-|AC016588.2
chr19:295147-295405|Enhancer	chr19	295147	295405	Enhancer	3873	PLPP2	chr19:281040-291403|-|PLPP2
chr19:323002-323509|Enhancer	chr19	323002	323509	Enhancer	17682	AC016588.1	chr19:305573-306467|+|AC016588.1
chr19:323569-323678|Enhancer	chr19	323569	323678	Enhancer	18050	AC016588.1	chr19:305573-306467|+|AC016588.1
chr19:373438-373965|Enhancer	chr19	373438	373965	Enhancer	2968	THEG	chr19:361747-376670|-|THEG
chr19:373996-374170|Enhancer	chr19	373996	374170	Enhancer	2587	THEG	chr19:361747-376670|-|THEG
chr19:384026-384403|Enhancer	chr19	384026	384403	Enhancer	7544	THEG	chr19:361747-376670|-|THEG
chr19:480274-480544|Enhancer	chr19	480274	480544	Enhancer	5426	ODF3L2	chr19:463346-474983|-|ODF3L2
chr19:515724-515768|Enhancer	chr19	515724	515768	Enhancer	7913	AC005775.1	chr19:490046-507833|-|AC005775.1
chr19:516073-516139|Enhancer	chr19	516073	516139	Enhancer	8273	AC005775.1	chr19:490046-507833|-|AC005775.1
chr19:550289-552407|Enhancer	chr19	550289	552407	Enhancer	7314	GZMM	chr19:544034-549924|+|GZMM
chr19:556027-556678|Enhancer	chr19	556027	556678	Enhancer	12318	GZMM	chr19:544034-549924|+|GZMM
chr19:559421-559529|Enhancer	chr19	559421	559529	Enhancer	11802	BSG	chr19:571277-583493|+|BSG
chr19:559705-559714|Enhancer	chr19	559705	559714	Enhancer	11567	BSG	chr19:571277-583493|+|BSG
chr19:562460-562546|Enhancer	chr19	562460	562546	Enhancer	8774	BSG	chr19:571277-583493|+|BSG
chr19:562725-562735|Enhancer	chr19	562725	562735	Enhancer	8547	BSG	chr19:571277-583493|+|BSG
chr19:571237-572699|Promoter	chr19	571237	572699	Promoter	0	BSG,AC009005.1	chr19:571277-583493|+|BSG,chr19:567221-571736|-|AC009005.1
chr19:584036-586088|Enhancer	chr19	584036	586088	Enhancer	4819	HCN2	chr19:589881-617159|+|HCN2
chr19:605150-605214|Enhancer	chr19	605150	605214	Enhancer	13882	AC005559.1	chr19:590430-591300|-|AC005559.1
chr19:632461-633595|Promoter	chr19	632461	633595	Promoter	0	POLRMT	chr19:617221-633537|-|POLRMT
chr19:720593-720817|Enhancer	chr19	720593	720817	Enhancer	11770	PALM	chr19:708935-748329|+|PALM
chr19:720835-720985|Enhancer	chr19	720835	720985	Enhancer	11975	PALM	chr19:708935-748329|+|PALM
chr19:915002-915048|Promoter	chr19	915002	915048	Promoter	1780	R3HDM4	chr19:896503-913245|-|R3HDM4
chr19:915218-915248|Promoter	chr19	915218	915248	Promoter	1988	R3HDM4	chr19:896503-913245|-|R3HDM4
chr19:938421-938589|Enhancer	chr19	938421	938589	Enhancer	9688	AC005379.1	chr19:928259-928817|-|AC005379.1
chr19:938680-938793|Enhancer	chr19	938680	938793	Enhancer	9919	AC005379.1	chr19:928259-928817|-|AC005379.1
chr19:1001525-1001973|Promoter	chr19	1001525	1001973	Promoter	1008	AC004528.1	chr19:999796-1002757|-|AC004528.1
chr19:1003609-1003814|Promoter	chr19	1003609	1003814	Promoter	954	AC004528.1	chr19:999796-1002757|-|AC004528.1
chr19:1161756-1161850|Enhancer	chr19	1161756	1161850	Enhancer	12465	SBNO2	chr19:1107637-1174268|-|SBNO2
chr19:1161958-1161979|Enhancer	chr19	1161958	1161979	Enhancer	12299	SBNO2	chr19:1107637-1174268|-|SBNO2
chr19:1229840-1230027|Enhancer	chr19	1229840	1230027	Enhancer	8093	CBARP	chr19:1228287-1238027|-|CBARP
chr19:1230110-1230229|Enhancer	chr19	1230110	1230229	Enhancer	7857	CBARP	chr19:1228287-1238027|-|CBARP
chr19:1286307-1286323|Promoter	chr19	1286307	1286323	Promoter	442	EFNA2	chr19:1285873-1301431|+|EFNA2
chr19:1286419-1286504|Promoter	chr19	1286419	1286504	Promoter	588	EFNA2	chr19:1285873-1301431|+|EFNA2
chr19:1286769-1286772|Promoter	chr19	1286769	1286772	Promoter	897	EFNA2	chr19:1285873-1301431|+|EFNA2
chr19:1288368-1288371|Enhancer	chr19	1288368	1288371	Enhancer	2496	EFNA2	chr19:1285873-1301431|+|EFNA2
chr19:1399667-1399738|Promoter	chr19	1399667	1399738	Promoter	1867	GAMT	chr19:1397026-1401570|-|GAMT
chr19:1399868-1399973|Promoter	chr19	1399868	1399973	Promoter	1649	GAMT	chr19:1397026-1401570|-|GAMT
chr19:1594455-1594842|Promoter	chr19	1594455	1594842	Promoter	1783	MBD3	chr19:1573596-1592865|-|MBD3
chr19:1594948-1594972|Enhancer	chr19	1594948	1594972	Enhancer	2095	MBD3	chr19:1573596-1592865|-|MBD3
chr19:1601647-1601930|Enhancer	chr19	1601647	1601930	Enhancer	3656	AC005943.1	chr19:1578339-1605445|-|AC005943.1
chr19:1602058-1602442|Enhancer	chr19	1602058	1602442	Enhancer	3195	AC005943.1	chr19:1578339-1605445|-|AC005943.1
