loopId	chrA	startA	endA	chrB	startB	endB	distance(bp)	centerA	centerB	rawTargetAnchorAReads	rawTargetAnchorBReads	rawControlAnchorAReads	rawControlAnchorBReads	scaledTargetAnchorAReads	scaledTargetAnchorBReads	rawTargetCounts	scaledTargetCounts	rawControlCounts	rawTargetNearbyMedianCounts	scaledTargetNearbyMedianCounts	rawControlNearbyMedianCounts	rawTargetES	rawControlES	targetDensity	controlDensity	rawFc	scaledFc	poissonPvalue	significant
loop_chr19-chr19-20644|K562_RAD21_17m|loop_chr19-chr19-10673|GM12878_RAD21_17m	chr19	17868568	17874195	chr19	17929149	17933285	59835.5	17871381.5	17931217.0	450	439	386	512	104.40477233940771	102.42869138960577	51	19.43444983622744	53	14.5	7.359348295062742	13.5	3.5172413793103448	3.9259259259259265	0.3072825975622247	0.3193328767215545	-0.05549502772728943	-1.4473760922241343	9.402979766348816e-06	1
loop_chr19-chr19-20645|K562_RAD21_17m|loop_chr19-chr19-10683|GM12878_RAD21_17m	chr19	16247137	16252333	chr19	16379868	16389447	134922.5	16249735.0	16384657.5	560	576	629	658	123.60974692004406	126.32786877786538	66	23.71533591366845	64	17.75	8.603096885827282	19.0	3.7183098591549295	3.3684210526315788	0.26276500447894896	0.25480241359727024	0.044394204222864886	-1.432251601630831	2.2533112245571933e-07	1
loop_chr19-chr19-20647|K562_RAD21_17m|loop_chr19-chr19-10657|GM12878_RAD21_17m	chr19	39396079	39398942	chr19	39407058	39413387	12712.0	39397510.5	39410222.5	521	647	488	761	116.90862767005041	138.1901560757773	95	31.41685850613279	82	5.75	3.60312366128475	3.0	16.52173913043478	27.33333333333333	0.6079455280806839	0.5247529512649802	0.21230368857727555	-1.3840849825745094	1.620433514029433e-09	1
loop_chr19-chr19-20661|K562_RAD21_17m|loop_chr19-chr19-10655|GM12878_RAD21_17m	chr19	35691929	35695011	chr19	35711243	35719875	22089.0	35693470.0	35715559.0	563	592	623	713	124.1207286867324	129.02883671549887	30	12.901444461938127	94	1.75	1.4380687831037844	1.75	17.142857142857142	53.714285714285715	0.15064929847643346	0.4720344407927596	-1.6476981712047056	-2.8651281561486077	2.4134341767627077e-43	1
loop_chr19-chr19-20663|K562_RAD21_17m|loop_chr19-chr19-10679|GM12878_RAD21_17m	chr19	45436317	45446729	chr19	45476529	45479833	36658.0	45441523.0	45478181.0	804	638	602	592	163.4285278354721	136.70356636259336	76	26.444583186395608	68	1.25	1.1090508908745822	1.75	60.8	38.857142857142854	0.3259396497006501	0.291630195735338	0.16046475705765673	-1.362562510241017	4.0370628009466134e-07	1
loop_chr19-chr19-20676|K562_RAD21_17m|loop_chr19-chr19-10675|GM12878_RAD21_17m	chr19	8156275	8162402	chr19	8249385	8255191	92949.5	8159338.5	8252288.0	344	660	406	596	84.84955420856102	140.32916664435632	49	18.84331841734004	52	15.25	7.651563341757679	14.5	3.2131147540983607	3.5862068965517233	0.24154470302325246	0.2563331391503377	-0.08572978916147278	-1.4644585689895908	9.230318462687127e-06	1
loop_chr19-chr19-20678|K562_RAD21_17m|loop_chr19-chr19-10666|GM12878_RAD21_17m	chr19	919313	927217	chr19	980548	984332	59175.0	923265.0	982440.0	736	357	861	428	152.6494758678659	87.31487201682155	40	16.110383093813827	68	5.75	3.60312366128475	5.25	6.956521739130435	12.952380952380953	0.2013125578773604	0.3422313282602581	-0.7655346614985667	-2.0775439456161933	2.3214619293601895e-17	1
loop_chr19-chr19-20695|K562_RAD21_17m|loop_chr19-chr19-10696|GM12878_RAD21_17m	chr19	663489	668299	chr19	730907	738373	68746.0	665894.0	734640.0	411	527	364	379	97.34676071253996	117.94681701736805	33	13.88667917264068	45	11.0	5.94571619739258	16.25	3.0	2.769230769230769	0.15812776723592664	0.2156287608194916	-0.44745889210680895	-1.6962233635315314	1.0504680369471252e-06	1
loop_chr19-chr19-20717|K562_RAD21_17m|loop_chr19-chr19-10662|GM12878_RAD21_17m	chr19	17855658	17860786	chr19	17931297	17933296	74074.5	17858222.0	17932296.5	483	402	561	448	110.2684124844938	95.69670621448596	22	10.1539507837345	52	0.25	0.3200837953572311	1.0	22.0	52.0	0.1815795772497297	0.4291880664348224	-1.2410080146393838	-2.3564704508088568	4.778022902085316e-16	1
loop_chr19-chr19-20818|K562_RAD21_17m|loop_chr19-chr19-10686|GM12878_RAD21_17m	chr19	17343725	17347039	chr19	17381872	17386993	39050.5	17345382.0	17384432.5	181	404	316	475	51.67984632983076	96.06410627743887	19	9.067237032661367	47	5.5	3.4815552933904015	13.25	3.4545454545454546	3.547169811320755	0.13250113323337634	0.3277659418758972	-1.30666125336964	-2.3739258518103656	1.9953391358180765e-14	1
