loopId	typeAnchorA	typeAnchorB	nearestDistanceToGeneAnchorA	nearestDistanceToGeneAnchorB	nearestTargetGeneAnchorA	nearestTargetGeneAnchorB
loop_chr19-chr19-20644|K562_RAD21_17m|loop_chr19-chr19-10673|GM12878_RAD21_17m	Promoter	Promoter	0	0	chr19:17871273-17871705|-|AC005796.1,chr19:17871945-17895174|+|SLC5A5	chr19:17933015-17943991|+|CCDC124
loop_chr19-chr19-20645|K562_RAD21_17m|loop_chr19-chr19-10683|GM12878_RAD21_17m	Enhancer	Enhancer	43840	26330	chr19:16283361-16293575|-|AC020911.2	chr19:16356329-16358327|-|AC020917.4
loop_chr19-chr19-20647|K562_RAD21_17m|loop_chr19-chr19-10657|GM12878_RAD21_17m	Enhancer	Promoter	6199	0	chr19:39391311-39400637|+|MED29	chr19:39412669-39428415|+|PLEKHG2,chr19:39409623-39409678|-|MIR4530
loop_chr19-chr19-20661|K562_RAD21_17m|loop_chr19-chr19-10655|GM12878_RAD21_17m	Enhancer	Promoter	9269	0	chr19:35683778-35684201|-|TYMSP2	chr19:35718019-35738878|+|KMT2B
loop_chr19-chr19-20663|K562_RAD21_17m|loop_chr19-chr19-10679|GM12878_RAD21_17m	Promoter	Promoter	0	0	chr19:45436654-45436704|+|MIR6088	chr19:45407333-45478828|-|ERCC1
loop_chr19-chr19-20676|K562_RAD21_17m|loop_chr19-chr19-10675|GM12878_RAD21_17m	Enhancer	Enhancer	9746	12640	chr19:8065402-8149592|-|FBN3	chr19:8222153-8239648|-|AC022146.2
loop_chr19-chr19-20678|K562_RAD21_17m|loop_chr19-chr19-10666|GM12878_RAD21_17m	Promoter	Promoter	0	0	chr19:926035-975939|+|ARID3A	chr19:984271-994570|+|WDR18
loop_chr19-chr19-20695|K562_RAD21_17m|loop_chr19-chr19-10696|GM12878_RAD21_17m	Enhancer	Enhancer	2412	16472	chr19:663482-669500|+|AC004156.1	chr19:751112-764318|+|MISP
loop_chr19-chr19-20717|K562_RAD21_17m|loop_chr19-chr19-10662|GM12878_RAD21_17m	Promoter	Promoter	0	0	chr19:17859910-17864153|+|RPL18A	chr19:17933015-17943991|+|CCDC124
loop_chr19-chr19-20818|K562_RAD21_17m|loop_chr19-chr19-10686|GM12878_RAD21_17m	Enhancer	Enhancer	10462	7090	chr19:17334920-17342731|+|GTPBP3	chr19:17351455-17377342|-|PLVAP
