loopId	typeAnchorA	typeAnchorB	nearestDistanceToGeneAnchorA	nearestDistanceToGeneAnchorB	nearestTargetGeneAnchorA	nearestTargetGeneAnchorB
loop_chr17-chr17-7076|activate_100m	Enhancer	Enhancer	5006	7139	chr17:28749731-28750079|-|AC010761.6	chr17:28749731-28750079|-|AC010761.6
loop_chr17-chr17-7080|activate_100m	Promoter	Promoter	0	1703	chr17:28926275-28944749|+|AC024267.4	chr17:28926275-28944749|+|AC024267.4
loop_chr17-chr17-7082|activate_100m|loop_chr17-chr17-6862|resting_100m	Promoter	Promoter	1681	0	chr17:29140483-29155489|+|AC024619.3	chr17:29140483-29155489|+|AC024619.3
loop_chr17-chr17-7086|activate_100m	Enhancer	Enhancer	3595	2271	chr17:4945652-4949014|-|PFN1	chr17:4951095-4957131|+|ENO3
loop_chr17-chr17-7087|activate_100m|loop_chr17-chr17-6697|resting_100m	Enhancer	Enhancer	25229	23984	chr17:31518432-31518729|+|RN7SL45P	chr17:31518432-31518729|+|RN7SL45P
loop_chr17-chr17-7095|activate_100m	Enhancer	Enhancer	2981	6126	chr17:74747319-74748912|-|AC016888.1	chr17:74747319-74748912|-|AC016888.1
loop_chr17-chr17-7097|activate_100m	Enhancer	Enhancer	78397	80937	chr17:51336737-51445793|+|LINC02073	chr17:51336737-51445793|+|LINC02073
loop_chr17-chr17-7100|activate_100m	Enhancer	Enhancer	74967	73190	chr17:27237859-27241661|-|AC129926.1	chr17:27237859-27241661|-|AC129926.1
loop_chr17-chr17-7101|activate_100m	Enhancer	Enhancer	10137	12136	chr17:54899387-54961956|+|TOM1L1	chr17:54899387-54961956|+|TOM1L1
loop_chr17-chr17-7102|activate_100m	Promoter	Enhancer	976	2403	chr17:82321024-82333998|-|SECTM1	chr17:82400703-82401382|-|AC132938.2
loop_chr17-chr17-7109|activate_100m	Enhancer	Enhancer	18548	17174	chr17:48133442-48430219|-|SKAP1	chr17:48133442-48430219|-|SKAP1
loop_chr17-chr17-7120|activate_100m	Enhancer	Promoter	3564	1881	chr17:41848518-41865423|-|KLHL11	chr17:41848518-41865423|-|KLHL11
loop_chr17-chr17-7121|activate_100m	Promoter	Enhancer	1484	5750	chr17:42025576-42098479|-|ZNF385C	chr17:42025576-42098479|-|ZNF385C
loop_chr17-chr17-7125|activate_100m	Enhancer	Enhancer	13042	11473	chr17:62516321-62516767|-|AC008026.1	chr17:62516321-62516767|-|AC008026.1
loop_chr17-chr17-7126|activate_100m	Enhancer	Enhancer	6408	5126	chr17:41549606-41554495|-|LINC00974	chr17:41549606-41554495|-|LINC00974
loop_chr17-chr17-7128|activate_100m	Enhancer	Enhancer	31185	28969	chr17:28219285-28220005|+|AC061975.7	chr17:28219285-28220005|+|AC061975.7
loop_chr17-chr17-7130|activate_100m	Enhancer	Enhancer	3574	3999	chr17:44198882-44216565|+|AC004596.1	chr17:44207771-44207839|-|MIR6782
loop_chr17-chr17-7131|activate_100m|loop_chr17-chr17-6926|resting_100m	Promoter	Promoter	977	986	chr17:47948054-47981736|+|AC018521.1	chr17:47947555-47948275|-|AC018521.2
loop_chr17-chr17-7133|activate_100m|loop_chr17-chr17-7547|resting_100m	Enhancer	Enhancer	6842	8634	chr17:27465112-27465541|+|AC069366.2	chr17:27465112-27465541|+|AC069366.2
loop_chr17-chr17-7135|activate_100m	Promoter	Promoter	148	1537	chr17:72030654-72041297|+|LINC01152	chr17:72030654-72041297|+|LINC01152
loop_chr17-chr17-7138|activate_100m	Promoter	Enhancer	408	11321	chr17:33976531-33980851|+|AC024610.1	chr17:58050789-58060739|-|AC015813.8
loop_chr17-chr17-7139|activate_100m	Enhancer	Enhancer	6932	4001	chr17:2199762-2200039|+|RN7SL624P	chr17:2199762-2200039|+|RN7SL624P
loop_chr17-chr17-7141|activate_100m	Promoter	Promoter	874	0	chr17:2213697-2214414|+|AC090617.2	chr17:2215482-2216015|-|AC090617.1
loop_chr17-chr17-7142|activate_100m	Promoter	Enhancer	1953	6156	chr17:16441226-16441298|+|SNORD65	chr17:16441226-16441298|+|SNORD65
loop_chr17-chr17-7143|activate_100m	Promoter	Enhancer	624	7548	chr17:32423971-32446038|-|AC005899.8	chr17:32423971-32446038|-|AC005899.8
loop_chr17-chr17-7145|activate_100m	Enhancer	Enhancer	12592	9763	chr17:80134369-80147183|-|EIF4A3	chr17:80315651-80316633|+|AC124319.2
loop_chr17-chr17-7147|activate_100m	Enhancer	Enhancer	14883	13685	chr17:47733236-47746122|+|TBX21	chr17:47733236-47746122|+|TBX21
loop_chr17-chr17-7151|activate_100m	Enhancer	Enhancer	12687	16642	chr17:79848058-79850110|-|AC100791.1	chr17:79848058-79850110|-|AC100791.1
loop_chr17-chr17-7152|activate_100m	Enhancer	Promoter	5588	1938	chr17:80260866-80398786|+|AC124319.1	chr17:80260866-80398786|+|AC124319.1
loop_chr17-chr17-7153|activate_100m	Enhancer	Promoter	10401	552	chr17:49400429-49400800|-|AC091180.1	chr17:49404049-49414905|-|PHB
loop_chr17-chr17-7154|activate_100m	Enhancer	Enhancer	18589	17479	chr17:44883986-44884274|+|RN7SL405P	chr17:44883986-44884274|+|RN7SL405P
loop_chr17-chr17-7156|activate_100m	Promoter	Promoter	489	697	chr17:57989042-57994850|-|AC015813.1	chr17:57989042-57994850|-|AC015813.1
loop_chr17-chr17-7158|activate_100m	Enhancer	Enhancer	35219	25633	chr17:67457023-67457290|-|RN7SL756P	chr17:67457023-67457290|-|RN7SL756P
loop_chr17-chr17-7160|activate_100m	Promoter	Promoter	962	1435	chr17:8188933-8189688|+|AC129492.8	chr17:8188333-8190907|-|BORCS6
loop_chr17-chr17-7162|activate_100m	Enhancer	Enhancer	11472	15434	chr17:59847438-59847544|-|RNU6-450P	chr17:59847438-59847544|-|RNU6-450P
loop_chr17-chr17-7163|activate_100m	Enhancer	Enhancer	6067	5020	chr17:3896592-3916465|-|P2RX1	chr17:3896592-3916465|-|P2RX1
loop_chr17-chr17-7165|activate_100m	Promoter	Enhancer	1511	5619	chr17:33791838-33816761|-|AC024614.4	chr17:33791838-33816761|-|AC024614.4
loop_chr17-chr17-7167|activate_100m	Enhancer	Enhancer	3569	2122	chr17:4945652-4949014|-|PFN1	chr17:4945652-4949014|-|PFN1
loop_chr17-chr17-7168|activate_100m	Promoter	Enhancer	1947	3583	chr17:75205679-75235758|+|NUP85	chr17:75205679-75235758|+|NUP85
loop_chr17-chr17-7169|activate_100m	Enhancer	Enhancer	34533	35679	chr17:51502488-51503233|-|RPL7P48	chr17:51502488-51503233|-|RPL7P48
loop_chr17-chr17-7170|activate_100m	Enhancer	Enhancer	24648	18223	chr17:64542282-64662307|-|SMURF2	chr17:64542282-64662307|-|SMURF2
loop_chr17-chr17-7171|activate_100m	Enhancer	Enhancer	6846	3486	chr17:29073521-29078857|-|TIAF1	chr17:46923133-47047154|+|AC005670.2
loop_chr17-chr17-7172|activate_100m	Enhancer	Enhancer	21877	29764	chr17:80602549-80602926|-|RPL31P7	chr17:80602549-80602926|-|RPL31P7
loop_chr17-chr17-7175|activate_100m	Enhancer	Enhancer	28766	24330	chr17:65051909-65053308|+|AC037487.2	chr17:65051909-65053308|+|AC037487.2
loop_chr17-chr17-7178|activate_100m	Enhancer	Enhancer	23696	22362	chr17:40553769-40565472|-|CCR7	chr17:40553769-40565472|-|CCR7
loop_chr17-chr17-7180|activate_100m	Enhancer	Enhancer	4545	5995	chr17:63454993-63455817|+|AC005828.5	chr17:63454993-63455817|+|AC005828.5
loop_chr17-chr17-7181|activate_100m	Enhancer	Enhancer	2520	10410	chr17:56834107-56869567|+|DGKE	chr17:56834107-56869567|+|DGKE
loop_chr17-chr17-7182|activate_100m	Enhancer	Enhancer	52408	53661	chr17:6444441-6451469|+|PIMREG	chr17:6444441-6451469|+|PIMREG
loop_chr17-chr17-7183|activate_100m	Enhancer	Enhancer	8842	4301	chr17:17858227-17860041|+|AC122129.1	chr17:17858227-17860041|+|AC122129.1
