loopId	chrA	startA	endA	chrB	startB	endB	distance(bp)	centerA	centerB	rawTargetAnchorAReads	rawTargetAnchorBReads	rawControlAnchorAReads	rawControlAnchorBReads	scaledTargetAnchorAReads	scaledTargetAnchorBReads	rawTargetCounts	scaledTargetCounts	rawControlCounts	rawTargetNearbyMedianCounts	scaledTargetNearbyMedianCounts	rawControlNearbyMedianCounts	rawTargetES	rawControlES	targetDensity	controlDensity	rawFc	scaledFc	poissonPvalue	significant
loop_chr17-chr17-7117|activate_100m|loop_chr17-chr17-6606|resting_100m	chr17	78779470	78780170	chr17	78780861	78781636	1428.5	78779820.0	78781248.5	364	255	861	526	430.1408980688708	297.4644992855165	39	42.4949821256157	119	26.0	27.91579027751903	52.25	1.5	2.2775119617224884	0.2644067796610169	0.8067796610169492	-1.6094155444456923	-1.4855971728145938	5.406166695133838e-17	1
loop_chr17-chr17-7136|activate_100m|loop_chr17-chr17-6601|resting_100m	chr17	50871258	50871956	chr17	50872606	50873579	1485.5	50871607.0	50873092.5	250	245	893	411	291.42215944387567	285.38420802075626	28	30.144196336611103	141	22.0	23.47815024261835	36.0	1.2727272727272727	3.9166666666666665	0.16756433273488927	0.843806104129264	-2.332196430341192	-2.225742990787644	1.8828138415880358e-43	1
loop_chr17-chr17-7144|activate_100m|loop_chr17-chr17-6611|resting_100m	chr17	7572413	7572819	chr17	7573582	7574458	1404.0	7572616.0	7574020.0	535	341	1031	546	641.1188287451398	402.0073893434936	65	72.15143835013701	183	21.5	22.925403200470967	56.0	3.0232558139534884	3.2678571428571432	0.5070202808112324	1.4274570982839314	-1.4933320252555902	-1.3427435880436738	6.751170213564339e-23	1
loop_chr17-chr17-7150|activate_100m|loop_chr17-chr17-6644|resting_100m	chr17	42530370	42530788	chr17	42531527	42532152	1260.5	42530579.0	42531839.5	118	118	256	171	133.85068758489794	133.85068758489794	25	26.80389181892305	66	6.75	6.900905353864967	19.75	3.703703703703704	3.3417721518987342	0.2396931927133269	0.6327900287631831	-1.4005379295837272	-1.300023534973718	1.1941410901486364e-05	1
loop_chr17-chr17-7159|activate_100m|loop_chr17-chr17-6616|resting_100m	chr17	72725545	72726067	chr17	72726763	72727251	1201.0	72725806.0	72727007.0	140	349	209	855	159.79515256206275	411.7853690954049	32	34.61801786765326	91	13.5	14.153729643883365	26.5	2.3703703703703702	3.4339622641509435	0.31683168316831684	0.9009900990099008	-1.5077946401986964	-1.3943434229861076	1.2244424030923657e-10	1
loop_chr17-chr17-7176|activate_100m|loop_chr17-chr17-6622|resting_100m	chr17	48439572	48440389	chr17	48441194	48441756	1494.5	48439980.5	48441475.0	288	244	490	751	337.4483390979507	284.17715187878093	23	24.58500420570125	73	6.75	6.900905353864967	22.75	3.4074074074074074	3.208791208791209	0.16678752719361856	0.5293691080493111	-1.6662626028230036	-1.5701178620355174	2.1823632041556043e-10	1
loop_chr17-chr17-7218|activate_100m|loop_chr17-chr17-6631|resting_100m	chr17	42246481	42247662	chr17	42248551	42248940	1674.0	42247071.5	42248745.5	283	414	451	852	331.37897859584086	491.5188848692278	38	41.366317501480346	95	5.75	5.84440949514058	5.75	6.608695652173912	16.52173913043478	0.2420382165605096	0.6050955414012739	-1.3219280948873615	-1.1994709812710456	6.576604670524926e-08	1
loop_chr17-chr17-7252|activate_100m|loop_chr17-chr17-6621|resting_100m	chr17	75779808	75780193	chr17	75784258	75785003	4630.0	75780000.5	75784630.5	567	434	917	763	680.9014434707287	516.1475477374436	28	30.144196336611103	78	3.75	3.752847050491902	9.5	7.466666666666668	8.210526315789473	0.24778761061946905	0.6902654867256637	-1.4780472968046467	-1.3715938572510984	2.585869663086915e-08	1
loop_chr17-chr17-7263|activate_100m|loop_chr17-chr17-6620|resting_100m	chr17	8153924	8154709	chr17	8155503	8156698	1784.0	8154316.5	8156100.5	97	415	466	1098	109.24931610266363	492.74930877660125	25	26.80389181892305	92	11.25	11.716918617066119	44.0	2.2222222222222223	2.090909090909091	0.12626262626262627	0.4646464646464647	-1.8797057662822887	-1.7791913716722778	6.012075771078792e-18	1
loop_chr17-chr17-7266|activate_100m|loop_chr17-chr17-6647|resting_100m	chr17	78128844	78129633	chr17	78129862	78130770	1077.5	78129238.5	78130316.0	210	188	551	639	243.2491462494389	216.89226337974887	36	39.112251873838865	168	36.5	39.67535149381696	131.5	0.9863013698630136	1.2775665399239544	0.2121390689451974	0.9899823217442546	-2.222392421336448	-2.1027687267810373	1.0178559172685175e-46	1
