loopId	typeAnchorA	typeAnchorB	nearestDistanceToGeneAnchorA	nearestDistanceToGeneAnchorB	nearestTargetGeneAnchorA	nearestTargetGeneAnchorB
loop_chr17-chr17-7117|activate_100m|loop_chr17-chr17-6606|resting_100m	Enhancer	Promoter	2477	1048	chr17:78674048-78782297|-|CYTH1	chr17:78674048-78782297|-|CYTH1
loop_chr17-chr17-7136|activate_100m|loop_chr17-chr17-6601|resting_100m	Enhancer	Enhancer	3629	5114	chr17:50862223-50867978|-|TOB1	chr17:50862223-50867978|-|TOB1
loop_chr17-chr17-7144|activate_100m|loop_chr17-chr17-6611|resting_100m	Promoter	Promoter	209	693	chr17:7572825-7579006|+|EIF4A1	chr17:7574713-7574847|+|SNORA48
loop_chr17-chr17-7150|activate_100m|loop_chr17-chr17-6644|resting_100m	Enhancer	Promoter	2953	1692	chr17:42533532-42534009|+|PTP4A2P1	chr17:42533532-42534009|+|PTP4A2P1
loop_chr17-chr17-7159|activate_100m|loop_chr17-chr17-6616|resting_100m	Enhancer	Enhancer	61654	62855	chr17:72663823-72664152|-|RN7SKP180	chr17:72663823-72664152|-|RN7SKP180
loop_chr17-chr17-7176|activate_100m|loop_chr17-chr17-6622|resting_100m	Enhancer	Enhancer	9761	11256	chr17:48133442-48430219|-|SKAP1	chr17:48133442-48430219|-|SKAP1
loop_chr17-chr17-7218|activate_100m|loop_chr17-chr17-6631|resting_100m	Enhancer	Enhancer	13239	14913	chr17:42233832-42235469|+|AC099811.6	chr17:42233832-42235469|+|AC099811.6
loop_chr17-chr17-7252|activate_100m|loop_chr17-chr17-6621|resting_100m	Enhancer	Promoter	4606	0	chr17:75784521-75784607|-|MIR4738	chr17:75784806-75825799|+|UNK,chr17:75784521-75784607|-|MIR4738
loop_chr17-chr17-7263|activate_100m|loop_chr17-chr17-6620|resting_100m	Enhancer	Promoter	2043	0	chr17:8140472-8156360|-|AC129492.1	chr17:8140472-8156360|-|AC129492.1
loop_chr17-chr17-7266|activate_100m|loop_chr17-chr17-6647|resting_100m	Promoter	Promoter	1547	470	chr17:78130786-78142968|+|TMC8	chr17:78130786-78142968|+|TMC8
