Promoter	PromoterTarget	directEnhancer	indirectEnhancer	directPromoter	indirectPromoter	directEnhancerHub	indirectEnhancerHub
chr10:100007240-100011556|Promoter	chr10:99875577-100009947|-|DNMBP	chr10:99845771-99847409|Enhancer,chr10:99937749-99939935|Enhancer,chr10:99973289-99974955|Enhancer,chr10:100043929-100047264|Enhancer,chr10:100020322-100021527|Enhancer	chr10:99844163-99844197|Enhancer,chr10:100100014-100102477|Enhancer			chr10:100043929-100047264|Enhancer	chr10:100100014-100102477|Enhancer
chr10:100267957-100268241|Promoter	chr10:100232298-100267638|-|CWF19L1			chr10:100268390-100268573|Promoter			
chr10:100268390-100268573|Promoter	chr10:100232298-100267638|-|CWF19L1			chr10:100267957-100268241|Promoter			
chr10:100372676-100375475|Promoter	chr10:100373513-100454043|+|OLMALINC	chr10:100336189-100344125|Enhancer,chr10:100429017-100435560|Enhancer	chr10:100878467-100881427|Enhancer,chr10:100507983-100511957|Enhancer,chr10:100482561-100484191|Enhancer,chr10:100302525-100304289|Enhancer		chr10:100515356-100520270|Promoter	chr10:100429017-100435560|Enhancer	chr10:100507983-100511957|Enhancer
chr10:100515356-100520270|Promoter	chr10:100486647-100519861|-|SEC31B	chr10:100429017-100435560|Enhancer	chr10:100482561-100484191|Enhancer,chr10:100507983-100511957|Enhancer,chr10:100302525-100304289|Enhancer,chr10:100878467-100881427|Enhancer,chr10:100336189-100344125|Enhancer		chr10:100372676-100375475|Promoter		chr10:100336189-100344125|Enhancer
chr10:100743036-100746321|Promoter	chr10:100745711-100829941|+|PAX2	chr10:100560983-100563406|Enhancer,chr10:100668467-100674332|Enhancer	chr10:100872374-100872516|Enhancer			chr10:100668467-100674332|Enhancer	
chr10:100969059-100969944|Promoter	chr10:100967688-100968135|+|AL133215.3	chr10:101011135-101015349|Enhancer	chr10:100993322-100995127|Enhancer,chr10:100993241-100993262|Enhancer		chr10:100986957-100988888|Promoter,chr10:100997761-101000173|Promoter		chr10:100993322-100995127|Enhancer
chr10:100986957-100988888|Promoter	chr10:100977821-100987515|-|MRPL43,chr10:100987367-100994403|+|TWNK	chr10:101011135-101015349|Enhancer	chr10:100993322-100995127|Enhancer,chr10:100993241-100993262|Enhancer		chr10:100969059-100969944|Promoter,chr10:100997761-101000173|Promoter		chr10:100993322-100995127|Enhancer
chr10:100997761-101000173|Promoter	chr10:100997072-101007836|+|LZTS2	chr10:101011135-101015349|Enhancer	chr10:100993322-100995127|Enhancer,chr10:100993241-100993262|Enhancer		chr10:100986957-100988888|Promoter,chr10:100969059-100969944|Promoter		chr10:100993322-100995127|Enhancer
chr10:101059544-101060977|Promoter	chr10:101060029-101061005|-|AL133215.2	chr10:101066054-101071178|Enhancer,chr10:101138616-101143683|Enhancer	chr10:101038415-101043152|Enhancer,chr10:101055231-101055611|Enhancer,chr10:101093909-101097644|Enhancer,chr10:101050225-101051604|Enhancer		chr10:101062976-101063124|Promoter	chr10:101066054-101071178|Enhancer	chr10:101038415-101043152|Enhancer
chr10:101062976-101063124|Promoter	chr10:101061841-101065592|+|KAZALD1	chr10:101066054-101071178|Enhancer	chr10:101055231-101055611|Enhancer,chr10:101038415-101043152|Enhancer,chr10:101093909-101097644|Enhancer,chr10:101138616-101143683|Enhancer,chr10:101050225-101051604|Enhancer		chr10:101059544-101060977|Promoter		chr10:101138616-101143683|Enhancer
chr10:101599004-101603779|Promoter	chr10:101601417-101601497|+|MIR3158-1,chr10:101601417-101601497|-|MIR3158-2		chr10:101271814-101273527|Enhancer,chr10:101161793-101162790|Enhancer,chr10:101494746-101495575|Enhancer,chr10:101568604-101571479|Enhancer,chr10:101566409-101566690|Enhancer,chr10:101212198-101216559|Enhancer,chr10:101441437-101444406|Enhancer,chr10:101238862-101239819|Enhancer,chr10:101536071-101537034|Enhancer,chr10:101467524-101468156|Enhancer,chr10:101299764-101303180|Enhancer,chr10:101287829-101294387|Enhancer	chr10:101779064-101783204|Promoter	chr10:101694265-101695316|Promoter		chr10:101568604-101571479|Enhancer
chr10:101694265-101695316|Promoter	chr10:101610666-101695170|-|FBXW4		chr10:101271814-101273527|Enhancer,chr10:101161793-101162790|Enhancer,chr10:101494746-101495575|Enhancer,chr10:101568604-101571479|Enhancer,chr10:101566409-101566690|Enhancer,chr10:101212198-101216559|Enhancer,chr10:101441437-101444406|Enhancer,chr10:101238862-101239819|Enhancer,chr10:101536071-101537034|Enhancer,chr10:101467524-101468156|Enhancer,chr10:101299764-101303180|Enhancer,chr10:101287829-101294387|Enhancer	chr10:101779064-101783204|Promoter	chr10:101599004-101603779|Promoter		chr10:101568604-101571479|Enhancer
chr10:101779064-101783204|Promoter	chr10:101770130-101780369|-|FGF8	chr10:101212198-101216559|Enhancer	chr10:101271814-101273527|Enhancer,chr10:101161793-101162790|Enhancer,chr10:101494746-101495575|Enhancer,chr10:101568604-101571479|Enhancer,chr10:101566409-101566690|Enhancer,chr10:101238862-101239819|Enhancer,chr10:101441437-101444406|Enhancer,chr10:101536071-101537034|Enhancer,chr10:101467524-101468156|Enhancer,chr10:101299764-101303180|Enhancer,chr10:101287829-101294387|Enhancer	chr10:101694265-101695316|Promoter,chr10:101599004-101603779|Promoter			chr10:101568604-101571479|Enhancer
chr10:102065208-102066137|Promoter	chr10:102065390-102068038|+|HPS6	chr10:102071712-102073972|Enhancer	chr10:102001169-102012549|Enhancer,chr10:101832746-101836262|Enhancer,chr10:101901622-101905989|Enhancer,chr10:101885984-101891529|Enhancer,chr10:101838038-101843620|Enhancer,chr10:101967437-101970646|Enhancer				chr10:102001169-102012549|Enhancer
chr10:102132523-102133019|Promoter	chr10:102132994-102150333|+|PPRC1			chr10:102151982-102152865|Promoter			
chr10:102151982-102152865|Promoter	chr10:102152176-102163871|+|NOLC1			chr10:102132523-102133019|Promoter			
chr10:102392939-102396379|Promoter	chr10:102394110-102402524|+|NFKB2	chr10:102420654-102424687|Enhancer,chr10:102398911-102400548|Enhancer,chr10:102477467-102481077|Enhancer,chr10:102229641-102235104|Enhancer	chr10:102169523-102169754|Enhancer,chr10:102351520-102354434|Enhancer,chr10:102580476-102586955|Enhancer,chr10:102403919-102404684|Enhancer,chr10:102346794-102347490|Enhancer		chr10:102434831-102436251|Promoter,chr10:102501717-102506016|Promoter	chr10:102398911-102400548|Enhancer	chr10:102580476-102586955|Enhancer
chr10:102434831-102436251|Promoter	chr10:102436512-102436584|+|MIR146B	chr10:102420654-102424687|Enhancer	chr10:102398911-102400548|Enhancer,chr10:102169523-102169754|Enhancer,chr10:102351520-102354434|Enhancer,chr10:102477467-102481077|Enhancer,chr10:102580476-102586955|Enhancer,chr10:102403919-102404684|Enhancer,chr10:102346794-102347490|Enhancer,chr10:102229641-102235104|Enhancer		chr10:102501717-102506016|Promoter,chr10:102392939-102396379|Promoter		chr10:102398911-102400548|Enhancer
chr10:102451115-102452164|Promoter	chr10:102449837-102451543|-|C10orf95			chr10:102452185-102452408|Promoter			
chr10:102452185-102452408|Promoter	chr10:102449837-102451543|-|C10orf95			chr10:102451115-102452164|Promoter			
chr10:102501717-102506016|Promoter	chr10:102503987-102633535|+|SUFU,chr10:102479229-102502712|-|ACTR1A	chr10:102580476-102586955|Enhancer	chr10:102398911-102400548|Enhancer,chr10:102169523-102169754|Enhancer,chr10:102351520-102354434|Enhancer,chr10:102477467-102481077|Enhancer,chr10:102420654-102424687|Enhancer,chr10:102403919-102404684|Enhancer,chr10:102346794-102347490|Enhancer,chr10:102229641-102235104|Enhancer		chr10:102434831-102436251|Promoter,chr10:102392939-102396379|Promoter		chr10:102398911-102400548|Enhancer
chr10:102642872-102648716|Promoter	chr10:102642792-102644140|-|AL391121.1	chr10:102661177-102661751|Enhancer,chr10:102678598-102680421|Enhancer,chr10:102701230-102701532|Enhancer		chr10:102710735-102715507|Promoter		chr10:102678598-102680421|Enhancer	
chr10:102710735-102715507|Promoter	chr10:102714636-102743492|+|SFXN2,chr10:102673731-102714397|-|ARL3	chr10:102678598-102680421|Enhancer	chr10:102661177-102661751|Enhancer,chr10:102701230-102701532|Enhancer	chr10:102642872-102648716|Promoter			chr10:102701230-102701532|Enhancer
chr10:102834262-102836890|Promoter	chr10:102830531-102837472|-|CYP17A1	chr10:102729204-102730400|Enhancer,chr10:102899319-102902346|Enhancer,chr10:103065255-103071349|Enhancer	chr10:103238958-103239767|Enhancer,chr10:102963000-102963995|Enhancer,chr10:103062487-103063407|Enhancer,chr10:103053946-103054094|Enhancer	chr10:102913744-102920328|Promoter	chr10:103239789-103247303|Promoter,chr10:103191827-103195258|Promoter	chr10:103065255-103071349|Enhancer	chr10:103053946-103054094|Enhancer
chr10:102913744-102920328|Promoter	chr10:102918294-103090222|+|CNNM2,chr10:102914585-102915404|+|AL356608.1	chr10:103238958-103239767|Enhancer,chr10:103053946-103054094|Enhancer,chr10:102963000-102963995|Enhancer,chr10:103065255-103071349|Enhancer,chr10:103062487-103063407|Enhancer	chr10:102729204-102730400|Enhancer,chr10:102899319-102902346|Enhancer	chr10:102834262-102836890|Promoter,chr10:103239789-103247303|Promoter	chr10:103191827-103195258|Promoter	chr10:103065255-103071349|Enhancer	chr10:102899319-102902346|Enhancer
