anchor	chrom	start	end	type	nearestDistanceToTSS	nearestGene	nearestGeneLoc
chr17:1450591-1450646|Enhancer	chr17	1450591	1450646	Enhancer	5613	CRK	chr17:1420689-1456232|-|CRK
chr17:1451598-1451759|Enhancer	chr17	1451598	1451759	Enhancer	4553	CRK	chr17:1420689-1456232|-|CRK
chr17:2192625-2193034|Enhancer	chr17	2192625	2193034	Enhancer	6932	RN7SL624P	chr17:2199762-2200039|+|RN7SL624P
chr17:2195431-2196091|Enhancer	chr17	2195431	2196091	Enhancer	4001	RN7SL624P	chr17:2199762-2200039|+|RN7SL624P
chr17:2214500-2214642|Promoter	chr17	2214500	2214642	Promoter	874	AC090617.2	chr17:2213697-2214414|+|AC090617.2
chr17:2215983-2216063|Promoter	chr17	2215983	2216063	Promoter	0	AC090617.1	chr17:2215482-2216015|-|AC090617.1
chr17:2239868-2240548|Enhancer	chr17	2239868	2240548	Enhancer	4122	SMG6-IT1	chr17:2235713-2236086|-|SMG6-IT1
chr17:2253478-2254869|Promoter	chr17	2253478	2254869	Promoter	1545	AL450226.2	chr17:2255719-2256157|+|AL450226.2
chr17:2258277-2259106|Enhancer	chr17	2258277	2259106	Enhancer	2972	AL450226.2	chr17:2255719-2256157|+|AL450226.2
chr17:2261769-2262716|Enhancer	chr17	2261769	2262716	Enhancer	6523	AL450226.2	chr17:2255719-2256157|+|AL450226.2
chr17:2265603-2267635|Enhancer	chr17	2265603	2267635	Enhancer	10900	AL450226.2	chr17:2255719-2256157|+|AL450226.2
chr17:2271896-2272780|Enhancer	chr17	2271896	2272780	Enhancer	16619	AL450226.2	chr17:2255719-2256157|+|AL450226.2
chr17:2453367-2454677|Enhancer	chr17	2453367	2454677	Enhancer	6272	AC006435.5	chr17:2460183-2460294|-|AC006435.5
chr17:2459928-2460382|Promoter	chr17	2459928	2460382	Promoter	0	AC006435.5	chr17:2460183-2460294|-|AC006435.5
chr17:2684961-2685698|Promoter	chr17	2684961	2685698	Promoter	0	AC005696.2	chr17:2683305-2685088|-|AC005696.2
chr17:2686372-2687203|Promoter	chr17	2686372	2687203	Promoter	1685	AC005696.3	chr17:2688473-2688960|+|AC005696.3
chr17:2786304-2786830|Enhancer	chr17	2786304	2786830	Enhancer	30862	RAP1GAP2	chr17:2755705-3037741|+|RAP1GAP2
chr17:2795411-2796935|Enhancer	chr17	2795411	2796935	Enhancer	40468	RAP1GAP2	chr17:2755705-3037741|+|RAP1GAP2
chr17:3537428-3537430|Enhancer	chr17	3537428	3537430	Enhancer	20566	TRPV3	chr17:3510503-3557995|-|TRPV3
chr17:3540836-3540837|Enhancer	chr17	3540836	3540837	Enhancer	17158	TRPV3	chr17:3510503-3557995|-|TRPV3
chr17:3705474-3706395|Enhancer	chr17	3705474	3706395	Enhancer	9718	P2RX5	chr17:3672199-3696216|-|P2RX5
chr17:3709199-3709465|Enhancer	chr17	3709199	3709465	Enhancer	12296	AC116914.2	chr17:3721628-3722488|+|AC116914.2
chr17:3910397-3910399|Enhancer	chr17	3910397	3910399	Enhancer	6067	P2RX1	chr17:3896592-3916465|-|P2RX1
chr17:3911443-3911447|Enhancer	chr17	3911443	3911447	Enhancer	5020	P2RX1	chr17:3896592-3916465|-|P2RX1
chr17:4174540-4174840|Enhancer	chr17	4174540	4174840	Enhancer	10780	AC087292.1	chr17:4163910-4164713|+|AC087292.1
chr17:4175747-4176511|Enhancer	chr17	4175747	4176511	Enhancer	12219	AC087292.1	chr17:4163910-4164713|+|AC087292.1
chr17:4199949-4200039|Enhancer	chr17	4199949	4200039	Enhancer	22097	RYKP1	chr17:4222091-4223828|+|RYKP1
chr17:4214787-4215526|Enhancer	chr17	4214787	4215526	Enhancer	6934	RYKP1	chr17:4222091-4223828|+|RYKP1
chr17:4358243-4358261|Enhancer	chr17	4358243	4358261	Enhancer	6201	RN7SL774P	chr17:4364164-4364453|-|RN7SL774P
chr17:4360365-4360366|Enhancer	chr17	4360365	4360366	Enhancer	4087	RN7SL774P	chr17:4364164-4364453|-|RN7SL774P
chr17:4565334-4567304|Promoter	chr17	4565334	4567304	Promoter	0	AC118754.3	chr17:4565752-4571760|+|AC118754.3
chr17:4625551-4626404|Enhancer	chr17	4625551	4626404	Enhancer	6125	RNU6-955P	chr17:4619749-4619852|-|RNU6-955P
