loopId	chrA	startA	endA	chrB	startB	endB	distance
loopId0	chr9	97917718	97922718	chr9	97952718	97957718	35000
loopId1	chr9	98067718	98077718	chr9	98247718	98257718	180000
loopId2	chr8	10042490	10052490	chr8	10332490	10342490	290000
loopId3	chr8	98037772	98047772	chr8	98087772	98097772	50000
loopId4	chr8	9772490	9782490	chr8	9822490	9832490	50000
loopId5	chr8	97592772	97597772	chr8	97642772	97647772	50000
loopId6	chr8	98727772	98737772	chr8	98807772	98817772	80000
loopId7	chr9	97467718	97472718	chr9	97612718	97617718	145000
loopId8	chr8	98162772	98167772	chr8	98467772	98472772	305000
loopId9	chr8	98362772	98367772	chr8	98467772	98472772	105000
loopId10	chrX	17541878	17551879	chrX	17591879	17601880	50001
loopId11	chr10	87860243	87865243	chr10	88270243	88275243	410000
loopId12	chr10	87860243	87865243	chr10	88385243	88390243	525000
loopId13	chr10	87860243	87870243	chr10	88990243	89000243	1130000
loopId14	chr10	87930243	87935243	chr10	88065243	88070243	135000
loopId15	chr10	88270243	88275243	chr10	88385243	88390243	115000
loopId16	chr10	88835243	88840243	chr10	88930243	88935243	95000
loopId17	chr10	88930243	88935243	chr10	88995243	89000243	65000
loopId18	chr10	88990243	89000243	chr10	90990243	91000243	2000000
loopId19	chr10	88995243	89000243	chr10	89330243	89335243	335000
loopId20	chr10	89030243	89035243	chr10	89210243	89215243	180000
loopId21	chr16	21188679	21193679	chr16	21273679	21278679	85000
loopId22	chr16	20863678	20868678	chr16	20903678	20908678	40000
loopId23	chr22	30284011	30289011	chr22	30384011	30389011	100000
loopId24	chr22	30114011	30124011	chr22	30244011	30254011	130000
loopId25	chr22	28854012	28859012	chr22	29164012	29169012	310000
loopId26	chr22	28854012	28859012	chr22	29039012	29044012	185000
loopId27	chr22	28594012	28604012	chr22	28814012	28824012	220000
loopId28	chr2	227780284	227785284	chr2	227850284	227855284	70000
loopId29	chr22	30104011	30114011	chr22	30384011	30394011	280000
loopId30	chr22	30104011	30114011	chr22	30264011	30274011	160000
loopId31	chr22	29164012	29169012	chr22	29244011	29249011	79999
loopId32	chr22	29164012	29169012	chr22	29199011	29204011	34999
loopId33	chr18	41990036	41995036	chr18	42025036	42030036	35000
loopId34	chr18	42130036	42140036	chr18	42180036	42190035	49999
loopId35	chr18	37395037	37400037	chr18	37430037	37435037	35000
loopId36	chr18	3600002	3605002	chr18	3660000	3665000	59998
loopId37	chr18	38610036	38615036	chr18	38940036	38945036	330000
loopId38	chr18	41945035	41950035	chr18	42025036	42030036	80001
loopId39	chr18	35410036	35415036	chr18	35575036	35580036	165000
loopId40	chr18	35510036	35515036	chr18	35585036	35590036	75000
loopId41	chr18	36010037	36020037	chr18	36280037	36290037	270000
loopId42	chr18	36305037	36310037	chr18	36350037	36355037	45000
loopId43	chr10	19411071	19421071	chr10	19781071	19791071	370000
loopId44	chr10	18791071	18801071	chr10	19141071	19151071	350000
loopId45	chr10	16838001	16848001	chr10	17248001	17258001	410000
loopId46	chr10	14988001	14993001	chr10	15098001	15103001	110000
loopId47	chr10	17193001	17198001	chr10	17228001	17233001	35000
loopId48	chr10	17023001	17028001	chr10	17228001	17233001	205000
loopId49	chr10	18396071	18401071	chr10	19141071	19146071	745000
loopId50	chr10	17213001	17218001	chr10	17508001	17513001	295000
loopId51	chr10	18691071	18701071	chr10	19141071	19151071	450000
loopId52	chr10	18406071	18411071	chr10	18656071	18661071	250000
loopId53	chr1	244861698	244866698	chr1	245041698	245046698	180000
loopId54	chr1	244861698	244866698	chr1	244966698	244971698	105000
loopId55	chr12	4210834	4215834	chr12	4260834	4265834	50000
loopId56	chr1	23958510	23963510	chr1	24023510	24028510	65000
loopId57	chr12	42296198	42301198	chr12	42331198	42336198	35000
loopId58	chr12	4140834	4150834	chr12	4270834	4280834	130000
loopId59	chr12	4110834	4120834	chr12	4270834	4280834	160000
loopId60	chr1	241891698	241896698	chr1	241986698	241991698	95000
loopId61	chr1	245146698	245156698	chr1	245996698	246006698	850000
loopId62	chr1	24198510	24203510	chr1	24388510	24393510	190000
loopId63	chr1	207816655	207826655	chr1	207866655	207876655	50000
loopId64	chr1	207881655	207886655	chr1	207961655	207966655	80000
loopId65	chr2	20440239	20450239	chr2	20630240	20640240	190001
loopId66	chr11	59282527	59292527	chr11	59422527	59432527	140000
loopId67	chr1	207411655	207416655	chr1	207496655	207501655	85000
loopId68	chr1	1658539	1668561	chr1	1718561	1728561	60011
loopId69	chr1	206736655	206741655	chr1	206801655	206806655	65000
loopId70	chr12	53156216	53166216	chr12	53286216	53296216	130000
loopId71	chr2	207230276	207235276	chr2	207330276	207335276	100000
loopId72	chr1	159005210	159010210	chr1	159070210	159075210	65000
loopId73	chr1	206606647	206616655	chr1	206656655	206666655	50004
loopId74	chr1	159795210	159800210	chr1	159890210	159895210	95000
loopId75	chr1	206716655	206721655	chr1	206981655	206986655	265000
loopId76	chr11	59822527	59832527	chr11	60252527	60262527	430000
loopId77	chr5	132524308	132529308	chr5	132819308	132824308	295000
loopId78	chr11	59752527	59757527	chr11	59807527	59812527	55000
loopId79	chr15	78907658	78917658	chr15	79177658	79187658	270000
loopId80	chr1	159160210	159165210	chr1	159205210	159210210	45000
loopId81	chr5	132384308	132394308	chr5	132814308	132824308	430000
loopId82	chr5	132414308	132424308	chr5	132464308	132474308	50000
loopId83	chr5	133754309	133764309	chr5	133864309	133874309	110000
loopId84	chr5	82169181	82174181	chr5	82224181	82229181	55000
loopId85	chr5	132659308	132664308	chr5	132814308	132819308	155000
loopId86	chr5	132749308	132754308	chr5	132814308	132819308	65000
loopId87	chr18	70192764	70197764	chr18	70427764	70432764	235000
loopId88	chr5	81744181	81749181	chr5	82169181	82174181	425000
loopId89	chr5	134039309	134044309	chr5	134134309	134139309	95000
loopId90	chr5	134064309	134069309	chr5	134099309	134104309	35000
loopId91	chr5	179627999	179632999	chr5	179697999	179702999	70000
loopId92	chr5	179813000	179823000	chr5	179893000	179903000	80000
loopId93	chr15	79967658	79977658	chr15	80057658	80067658	90000
loopId94	chr5	81504181	81509181	chr5	81749181	81754181	245000
loopId95	chr5	181183000	181188000	chr5	181218000	181223000	35000
loopId96	chr5	20829891	20839891	chr5	34369895	34379895	13540004
loopId97	chr11	116884284	116889284	chr11	117094284	117099284	210000
loopId98	chr11	115989282	115999282	chr11	116269283	116279283	280001
loopId99	chr11	115919282	115924282	chr11	116274283	116279283	355001
loopId100	chr11	115919282	115924282	chr11	116224283	116229283	305001
loopId101	chr1	111217378	111222378	chr1	111597378	111602378	380000
loopId102	chr11	117449284	117459284	chr11	117809285	117819285	360001
loopId103	chr11	117424284	117429284	chr11	117814285	117819285	390001
loopId104	chr11	117019284	117024284	chr11	117089284	117094284	70000
loopId105	chr1	111222378	111227378	chr1	111392378	111397378	170000
loopId106	chr1	111222378	111227378	chr1	111332378	111337378	110000
loopId107	chr16	89333592	89343592	chr16	89483592	89493592	150000
loopId108	chr16	89023592	89028592	chr16	89093592	89098592	70000
loopId109	chr5	177387999	177392999	chr5	177497999	177502999	110000
loopId110	chr5	177387999	177392999	chr5	177452999	177457999	65000
loopId111	chr16	85821394	85826394	chr16	85986394	85991394	165000
loopId112	chr16	85821394	85826394	chr16	85901394	85906394	80000
loopId113	chr16	86656394	86666394	chr16	86766394	86776394	110000
loopId114	chr16	85901394	85906394	chr16	85986394	85991394	85000
loopId115	chr16	8666143	8671143	chr16	8796143	8801143	130000
loopId116	chr16	8656143	8666143	chr16	8866143	8876143	210000
loopId117	chr16	88453592	88458592	chr16	88528592	88533592	75000
loopId118	chr16	87776394	87781394	chr16	87866394	87871394	90000
loopId119	chr8	29522483	29532483	chr8	30012484	30022484	490001
loopId120	chr8	29522483	29527483	chr8	30047484	30052484	525001
loopId121	chr8	29522483	29527483	chr8	29722484	29727484	200001
loopId122	chr8	29407483	29412483	chr8	29722484	29727484	315001
loopId123	chr8	29407483	29412483	chr8	29522483	29527483	115000
loopId124	chr8	29347483	29352483	chr8	29522483	29527483	175000
loopId125	chr8	29337483	29342483	chr8	29722484	29727484	385001
loopId126	chr8	29222483	29232483	chr8	29312483	29322483	90000
loopId127	chr8	29722484	29727484	chr8	30012484	30017484	290000
loopId128	chr8	29552483	29562483	chr8	29722484	29732484	170001
loopId129	chr2	69892868	69902868	chr2	70292868	70302868	400000
loopId130	chr2	69912868	69917868	chr2	70137868	70142868	225000
loopId131	chr2	69642868	69647868	chr2	69712868	69717868	70000
loopId132	chr2	69737868	69742868	chr2	69812868	69817868	75000
loopId133	chr2	69557868	69562868	chr2	69642868	69647868	85000
loopId134	chr2	69557868	69562868	chr2	69712868	69717868	155000
loopId135	chr2	68117868	68122868	chr2	68287868	68292868	170000
loopId136	chr2	68382868	68392868	chr2	68432868	68442868	50000
loopId137	chr2	65062866	65072866	chr2	65562866	65572866	500000
loopId138	chr2	65252866	65262866	chr2	65552866	65562866	300000
loopId139	chr5	139785415	139790415	chr5	139840415	139845415	55000
loopId140	chr5	139785415	139790415	chr5	139960415	139965415	175000
loopId141	chr5	140070415	140080415	chr5	140150415	140160415	80000
loopId142	chr5	140240415	140245415	chr5	140340415	140345415	100000
loopId143	chr5	140280415	140290415	chr5	140340415	140350415	60000
loopId144	chr5	13984891	13989891	chr5	14209891	14214891	225000
loopId145	chr5	13989891	13994891	chr5	14264891	14269891	275000
loopId146	chr5	140555415	140560415	chr5	140640415	140645415	85000
loopId147	chr5	140555415	140560415	chr5	140715415	140720415	160000
loopId148	chr5	141415433	141420433	chr5	141560433	141565433	145000
loopId149	chr10	6098037	6108037	chr10	6398038	6408038	300001
loopId150	chr10	6048037	6053037	chr10	6083037	6088037	35000
loopId151	chr10	58955240	58960240	chr10	59045240	59050240	90000
loopId152	chr10	58950240	58955240	chr10	59240240	59245240	290000
loopId153	chr10	58950240	58955240	chr10	59180240	59185240	230000
loopId154	chr10	6013037	6018037	chr10	6048037	6053037	35000
loopId155	chr10	58180239	58190239	chr10	58280240	58290240	100001
loopId156	chr10	5808037	5818037	chr10	5858037	5868037	50000
loopId157	chr10	56480239	56490239	chr10	56820240	56830240	340001
loopId158	chr10	5443037	5448037	chr10	5623037	5628037	180000
loopId159	chrX	107716770	107721770	chrX	107771770	107776770	55000
loopId160	chrX	107671770	107676770	chrX	107771770	107776770	100000
loopId161	chrX	107671770	107676770	chrX	107711770	107716770	40000
loopId162	chrX	106481770	106486770	chrX	106611770	106616770	130000
loopId163	chrX	103845070	103855071	chrX	104115309	104125317	270243
loopId164	chrX	101415012	101425012	chrX	101795027	101805027	380015
loopId165	chrX	101415012	101420012	chrX	101595022	101600022	180010
loopId166	chrX	10081960	10086960	chrX	10116960	10121960	35000
loopId167	chrX	109181771	109186771	chrX	109266771	109271771	85000
loopId168	chrX	108636770	108646770	chrX	109266771	109276771	630001
loopId169	chr14	71933283	71943283	chr14	72283292	72293292	350009
loopId170	chr14	72023283	72028283	chr14	72288292	72293292	265009
loopId171	chr14	70813283	70823283	chr14	70963283	70973283	150000
loopId172	chr14	71133283	71143283	chr14	71553283	71563283	420000
loopId173	chr14	70243283	70253283	chr14	70453283	70463283	210000
loopId174	chr14	70618283	70623283	chr14	70713283	70718283	95000
