anchor	chrom	start	end	type	nearestDistanceToTSS	nearestGene	nearestGeneLoc
chr19:294535-295796|Enhancer	chr19	294535	295796	Enhancer	3762	PLPP2	chr19:281040-291403|-|PLPP2
chr19:495144-495976|Enhancer	chr19	495144	495976	Enhancer	6384	MADCAM1	chr19:489176-505343|+|MADCAM1
chr19:509598-510844|Enhancer	chr19	509598	510844	Enhancer	2388	AC005775.1	chr19:490046-507833|-|AC005775.1
chr19:548582-550322|Enhancer	chr19	548582	550322	Enhancer	5418	GZMM	chr19:544034-549924|+|GZMM
chr19:555677-556759|Enhancer	chr19	555677	556759	Enhancer	12184	GZMM	chr19:544034-549924|+|GZMM
chr19:584514-584821|Enhancer	chr19	584514	584821	Enhancer	5213	HCN2	chr19:589881-617159|+|HCN2
chr19:640773-641049|Promoter	chr19	640773	641049	Promoter	1016	FGF22	chr19:639895-644371|+|FGF22
chr19:641065-641241|Promoter	chr19	641065	641241	Promoter	1258	FGF22	chr19:639895-644371|+|FGF22
chr19:656550-656680|Enhancer	chr19	656550	656680	Enhancer	6599	RNF126	chr19:647526-663214|-|RNF126
chr19:656686-657012|Enhancer	chr19	656686	657012	Enhancer	6365	RNF126	chr19:647526-663214|-|RNF126
chr19:663440-665069|Promoter	chr19	663440	665069	Promoter	0	AC004156.1	chr19:663482-669500|+|AC004156.1
chr19:680169-680251|Enhancer	chr19	680169	680251	Enhancer	3818	FSTL3	chr19:676392-683392|+|FSTL3
chr19:680306-680505|Enhancer	chr19	680306	680505	Enhancer	4013	FSTL3	chr19:676392-683392|+|FSTL3
chr19:732721-734321|Enhancer	chr19	732721	734321	Enhancer	17591	MISP	chr19:751112-764318|+|MISP
chr19:737821-738033|Enhancer	chr19	737821	738033	Enhancer	13185	MISP	chr19:751112-764318|+|MISP
chr19:768285-772311|Enhancer	chr19	768285	772311	Enhancer	11564	AC006273.1	chr19:781002-781862|-|AC006273.1
chr19:795775-799764|Promoter	chr19	795775	799764	Promoter	0	PTBP1	chr19:797075-812327|+|PTBP1
chr19:892258-893634|Promoter	chr19	892258	893634	Promoter	0	RNU6-9,MED16	chr19:893484-893590|+|RNU6-9,chr19:867630-893218|-|MED16
chr19:899681-901449|Enhancer	chr19	899681	901449	Enhancer	7081	RNU6-9	chr19:893484-893590|+|RNU6-9
chr19:906570-907642|Enhancer	chr19	906570	907642	Enhancer	6139	R3HDM4	chr19:896503-913245|-|R3HDM4
chr19:907670-908985|Enhancer	chr19	907670	908985	Enhancer	4917	R3HDM4	chr19:896503-913245|-|R3HDM4
chr19:917320-927533|Promoter	chr19	917320	927533	Promoter	0	ARID3A,KISS1R	chr19:926035-975939|+|ARID3A,chr19:917333-921005|+|KISS1R
chr19:943663-944473|Enhancer	chr19	943663	944473	Enhancer	12417	AC005391.1	chr19:956485-958149|+|AC005391.1
chr19:954678-956974|Promoter	chr19	954678	956974	Promoter	0	AC005391.1	chr19:956485-958149|+|AC005391.1
chr19:960527-961530|Enhancer	chr19	960527	961530	Enhancer	4543	AC005391.1	chr19:956485-958149|+|AC005391.1
chr19:976786-977117|Enhancer	chr19	976786	977117	Enhancer	7319	WDR18	chr19:984271-994570|+|WDR18
chr19:977307-977648|Enhancer	chr19	977307	977648	Enhancer	6793	WDR18	chr19:984271-994570|+|WDR18
chr19:982506-983089|Promoter	chr19	982506	983089	Promoter	1473	WDR18	chr19:984271-994570|+|WDR18
chr19:999641-1002506|Promoter	chr19	999641	1002506	Promoter	0	GRIN3B	chr19:1000419-1009732|+|GRIN3B
chr19:1044037-1044487|Enhancer	chr19	1044037	1044487	Enhancer	4159	ABCA7	chr19:1040103-1065572|+|ABCA7
chr19:1070492-1070707|Enhancer	chr19	1070492	1070707	Enhancer	4676	ARHGAP45	chr19:1065923-1086628|+|ARHGAP45
chr19:1075730-1076058|Enhancer	chr19	1075730	1076058	Enhancer	9971	ARHGAP45	chr19:1065923-1086628|+|ARHGAP45
chr19:1076097-1076545|Enhancer	chr19	1076097	1076545	Enhancer	10398	ARHGAP45	chr19:1065923-1086628|+|ARHGAP45
chr19:1194472-1194984|Enhancer	chr19	1194472	1194984	Enhancer	8481	HMGB2P1	chr19:1203209-1203842|+|HMGB2P1
chr19:1199353-1199995|Enhancer	chr19	1199353	1199995	Enhancer	3535	HMGB2P1	chr19:1203209-1203842|+|HMGB2P1
chr19:1205884-1208396|Promoter	chr19	1205884	1208396	Promoter	1335	STK11	chr19:1205805-1228435|+|STK11
chr19:1221920-1223112|Enhancer	chr19	1221920	1223112	Enhancer	15511	CBARP	chr19:1228287-1238027|-|CBARP
chr19:1240365-1240555|Promoter	chr19	1240365	1240555	Promoter	1286	ATP5F1D	chr19:1241746-1244825|+|ATP5F1D
chr19:1240773-1241672|Promoter	chr19	1240773	1241672	Promoter	523	ATP5F1D	chr19:1241746-1244825|+|ATP5F1D
chr19:1242144-1246552|Enhancer	chr19	1242144	1246552	Enhancer	2602	ATP5F1D	chr19:1241746-1244825|+|ATP5F1D
chr19:1247798-1251559|Promoter	chr19	1247798	1251559	Promoter	0	MIDN	chr19:1248553-1259140|+|MIDN
chr19:1265232-1271991|Promoter	chr19	1265232	1271991	Promoter	0	CIRBP-AS1	chr19:1267814-1270241|-|CIRBP-AS1
chr19:1276663-1282409|Enhancer	chr19	1276663	1282409	Enhancer	4006	C19orf24	chr19:1275530-1279244|+|C19orf24
chr19:1314390-1318022|Enhancer	chr19	1314390	1318022	Enhancer	5019	AC005330.1	chr19:1321225-1322846|+|AC005330.1
chr19:1325797-1325897|Enhancer	chr19	1325797	1325897	Enhancer	4622	AC005330.1	chr19:1321225-1322846|+|AC005330.1
chr19:1325964-1326196|Enhancer	chr19	1325964	1326196	Enhancer	4855	AC005330.1	chr19:1321225-1322846|+|AC005330.1
chr19:1355640-1355670|Promoter	chr19	1355640	1355670	Promoter	659	PWWP3A	chr19:1356314-1378431|+|PWWP3A
chr19:1370385-1376160|Promoter	chr19	1370385	1376160	Promoter	0	AC004623.1	chr19:1372238-1374364|-|AC004623.1
chr19:1381711-1384262|Promoter	chr19	1381711	1384262	Promoter	0	NDUFS7	chr19:1383527-1395589|+|NDUFS7
chr19:1389089-1389238|Promoter	chr19	1389089	1389238	Promoter	487	AC005329.3	chr19:1386804-1389651|-|AC005329.3
chr19:1389323-1389609|Promoter	chr19	1389323	1389609	Promoter	185	AC005329.3	chr19:1386804-1389651|-|AC005329.3
chr19:1404575-1404928|Enhancer	chr19	1404575	1404928	Enhancer	2817	DAZAP1	chr19:1407569-1435687|+|DAZAP1
chr19:1404983-1405273|Enhancer	chr19	1404983	1405273	Enhancer	2441	DAZAP1	chr19:1407569-1435687|+|DAZAP1
chr19:1406317-1407829|Promoter	chr19	1406317	1407829	Promoter	0	DAZAP1	chr19:1407569-1435687|+|DAZAP1
chr19:1444907-1446309|Enhancer	chr19	1444907	1446309	Enhancer	4541	APC2	chr19:1450149-1473244|+|APC2
chr19:1459449-1459709|Promoter	chr19	1459449	1459709	Promoter	999	AC027307.2	chr19:1457670-1458580|-|AC027307.2
chr19:1459730-1459867|Promoter	chr19	1459730	1459867	Promoter	1218	AC027307.2	chr19:1457670-1458580|-|AC027307.2
chr19:1502535-1503629|Enhancer	chr19	1502535	1503629	Enhancer	5293	AC027307.1	chr19:1508375-1508963|+|AC027307.1
chr19:1511633-1515657|Promoter	chr19	1511633	1515657	Promoter	0	ADAMTSL5	chr19:1505022-1513189|-|ADAMTSL5
chr19:1545778-1547835|Enhancer	chr19	1545778	1547835	Enhancer	21251	MEX3D	chr19:1554669-1568058|-|MEX3D
chr19:1601802-1607386|Promoter	chr19	1601802	1607386	Promoter	0	UQCR11,AC005943.1	chr19:1597169-1605473|-|UQCR11,chr19:1578339-1605445|-|AC005943.1
chr19:1622961-1626091|Enhancer	chr19	1622961	1626091	Enhancer	7931	RNU6-1223P	chr19:1616492-1616595|-|RNU6-1223P
chr19:1647742-1650880|Enhancer	chr19	1647742	1650880	Enhancer	3304	TCF3	chr19:1609284-1652615|-|TCF3
chr19:1651305-1652916|Promoter	chr19	1651305	1652916	Promoter	0	TCF3	chr19:1609284-1652615|-|TCF3
chr19:1669371-1674199|Enhancer	chr19	1669371	1674199	Enhancer	19170	TCF3	chr19:1609284-1652615|-|TCF3
chr19:1692928-1693317|Enhancer	chr19	1692928	1693317	Enhancer	40507	TCF3	chr19:1609284-1652615|-|TCF3
chr19:1719499-1719634|Enhancer	chr19	1719499	1719634	Enhancer	28593	AC005256.1	chr19:1748160-1748745|+|AC005256.1
chr19:1765169-1768960|Enhancer	chr19	1765169	1768960	Enhancer	14691	ONECUT3	chr19:1752373-1780988|+|ONECUT3
chr19:1775049-1777029|Enhancer	chr19	1775049	1777029	Enhancer	23666	ONECUT3	chr19:1752373-1780988|+|ONECUT3
