loopId	mergedAnchorA	mergedAnchorB
loop_chr19-chr19-20646|K562_RAD21_17m|loop_chr19-chr19-10705|GM12878_RAD21_17m	chr19:1242144-1246552|Enhancer	chr19:1265232-1271991|Promoter
loop_chr19-chr19-20648|K562_RAD21_17m|loop_chr19-chr19-10741|GM12878_RAD21_17m	chr19:10267243-10272428|Promoter	chr19:10387041-10392303|Enhancer
loop_chr19-chr19-20649|K562_RAD21_17m|loop_chr19-chr19-10700|GM12878_RAD21_17m	chr19:49500052-49511757|Promoter	chr19:49544546-49549573|Enhancer
loop_chr19-chr19-20650|K562_RAD21_17m|loop_chr19-chr19-10668|GM12878_RAD21_17m	chr19:6047544-6050682|Enhancer	chr19:6123231-6129079|Enhancer
loop_chr19-chr19-20651|K562_RAD21_17m|loop_chr19-chr19-10665|GM12878_RAD21_17m	chr19:10579666-10584981|Enhancer	chr19:10643612-10646485|Enhancer
loop_chr19-chr19-20652|K562_RAD21_17m|loop_chr19-chr19-10697|GM12878_RAD21_17m	chr19:38243069-38246816|Enhancer	chr19:38333442-38337148|Promoter
loop_chr19-chr19-20653|K562_RAD21_17m|loop_chr19-chr19-10740|GM12878_RAD21_17m	chr19:45863211-45867734|Promoter	chr19:45882080-45886883|Promoter
loop_chr19-chr19-20654|K562_RAD21_17m|loop_chr19-chr19-10939|GM12878_RAD21_17m	chr19:47035334-47037559|Enhancer	chr19:47121790-47127622|Enhancer
loop_chr19-chr19-20656|K562_RAD21_17m|loop_chr19-chr19-10772|GM12878_RAD21_17m	chr19:1669371-1674199|Enhancer	chr19:1765169-1768960|Enhancer
loop_chr19-chr19-20657|K562_RAD21_17m|loop_chr19-chr19-10660|GM12878_RAD21_17m	chr19:17937382-17940385|Enhancer	chr19:17993375-18001646|Promoter
loop_chr19-chr19-20658|K562_RAD21_17m|loop_chr19-chr19-11120|GM12878_RAD21_17m	chr19:47713161-47714933|Promoter	chr19:47741987-47745414|Promoter
loop_chr19-chr19-20659|K562_RAD21_17m	chr19:2489021-2489272|Enhancer	chr19:2489280-2489588|Enhancer
loop_chr19-chr19-20660|K562_RAD21_17m|loop_chr19-chr19-10794|GM12878_RAD21_17m	chr19:33233266-33238135|Enhancer	chr19:33404862-33407869|Enhancer
loop_chr19-chr19-20662|K562_RAD21_17m|loop_chr19-chr19-10982|GM12878_RAD21_17m	chr19:11293391-11296125|Promoter	chr19:11444462-11447092|Enhancer
loop_chr19-chr19-20664|K562_RAD21_17m|loop_chr19-chr19-10868|GM12878_RAD21_17m	chr19:7651085-7654304|Enhancer	chr19:7677846-7683292|Promoter
loop_chr19-chr19-20665|K562_RAD21_17m	chr19:48887849-48888116|Enhancer	chr19:48888128-48888276|Enhancer
loop_chr19-chr19-20667|K562_RAD21_17m	chr19:4564020-4564302|Enhancer	chr19:4564437-4564549|Enhancer
loop_chr19-chr19-20668|K562_RAD21_17m|loop_chr19-chr19-10947|GM12878_RAD21_17m	chr19:35693618-35694799|Enhancer	chr19:35817847-35821684|Enhancer
