loopId	mergedAnchorA	mergedAnchorB
loop_chr17-chr17-7117|activate_100m|loop_chr17-chr17-6606|resting_100m	chr17:78779470-78780426|Enhancer	chr17:78780861-78781636|Promoter
loop_chr17-chr17-7136|activate_100m|loop_chr17-chr17-6601|resting_100m	chr17:50871194-50872127|Enhancer	chr17:50872606-50873579|Enhancer
loop_chr17-chr17-7144|activate_100m|loop_chr17-chr17-6611|resting_100m	chr17:7572413-7572819|Promoter	chr17:7573582-7574458|Promoter
loop_chr17-chr17-7150|activate_100m|loop_chr17-chr17-6644|resting_100m	chr17:42530370-42530788|Enhancer	chr17:42531527-42532152|Promoter
loop_chr17-chr17-7159|activate_100m|loop_chr17-chr17-6616|resting_100m	chr17:72725545-72726067|Enhancer	chr17:72726763-72727251|Enhancer
loop_chr17-chr17-7176|activate_100m|loop_chr17-chr17-6622|resting_100m	chr17:48439419-48440389|Enhancer	chr17:48441194-48441756|Enhancer
loop_chr17-chr17-7218|activate_100m|loop_chr17-chr17-6631|resting_100m	chr17:42246481-42247662|Enhancer	chr17:42248551-42248940|Enhancer
loop_chr17-chr17-7252|activate_100m|loop_chr17-chr17-6621|resting_100m	chr17:75779808-75780193|Enhancer	chr17:75784258-75785003|Promoter
loop_chr17-chr17-7263|activate_100m|loop_chr17-chr17-6620|resting_100m	chr17:8153601-8154709|Enhancer	chr17:8155503-8156698|Promoter
loop_chr17-chr17-7266|activate_100m|loop_chr17-chr17-6647|resting_100m	chr17:78128839-78129633|Promoter	chr17:78129862-78130805|Promoter
loop_chr17-chr17-7279|activate_100m|loop_chr17-chr17-6698|resting_100m	chr17:40096061-40096654|Enhancer	chr17:40097967-40099415|Promoter
loop_chr17-chr17-7281|activate_100m|loop_chr17-chr17-6856|resting_100m	chr17:30807237-30808085|Enhancer	chr17:30808865-30809597|Enhancer
loop_chr17-chr17-7337|activate_100m|loop_chr17-chr17-6625|resting_100m	chr17:35045494-35045934|Enhancer	chr17:35046572-35047080|Enhancer
loop_chr17-chr17-7364|activate_100m|loop_chr17-chr17-6688|resting_100m	chr17:67438034-67440110|Enhancer	chr17:67440670-67442801|Enhancer
loop_chr17-chr17-7371|activate_100m|loop_chr17-chr17-6602|resting_100m	chr17:74280081-74281348|Enhancer	chr17:74281972-74283704|Enhancer
loop_chr17-chr17-7382|activate_100m|loop_chr17-chr17-6719|resting_100m	chr17:58170557-58171598|Enhancer	chr17:58172255-58173150|Enhancer
loop_chr17-chr17-7386|activate_100m|loop_chr17-chr17-6748|resting_100m	chr17:57997372-57998647|Enhancer	chr17:57999387-57999835|Enhancer
loop_chr17-chr17-7410|activate_100m|loop_chr17-chr17-6752|resting_100m	chr17:17749896-17750366|Enhancer	chr17:17751734-17752353|Enhancer
loop_chr17-chr17-7417|activate_100m|loop_chr17-chr17-6627|resting_100m	chr17:41678779-41679517|Enhancer	chr17:41687969-41688902|Promoter
loop_chr17-chr17-7456|activate_100m|loop_chr17-chr17-6673|resting_100m	chr17:5584488-5585046|Promoter	chr17:5585739-5586408|Promoter
loop_chr17-chr17-7486|activate_100m|loop_chr17-chr17-6653|resting_100m	chr17:40601568-40603487|Enhancer	chr17:40607487-40608514|Enhancer
loop_chr17-chr17-7488|activate_100m|loop_chr17-chr17-6610|resting_100m	chr17:39094500-39095538|Enhancer	chr17:39096471-39097237|Enhancer
loop_chr17-chr17-7579|activate_100m|loop_chr17-chr17-6639|resting_100m	chr17:77441261-77441895|Enhancer	chr17:77444688-77445747|Promoter
loop_chr17-chr17-7591|activate_100m|loop_chr17-chr17-6632|resting_100m	chr17:76670053-76670872|Promoter	chr17:76671640-76672152|Promoter
loop_chr17-chr17-7596|activate_100m|loop_chr17-chr17-6636|resting_100m	chr17:64020329-64021403|Promoter	chr17:64024959-64026019|Enhancer
loop_chr17-chr17-7599|activate_100m|loop_chr17-chr17-7073|resting_100m	chr17:19771564-19772819|Enhancer	chr17:19773303-19774895|Enhancer
loop_chr17-chr17-7614|activate_100m|loop_chr17-chr17-6738|resting_100m	chr17:40108148-40108665|Enhancer	chr17:40111613-40112432|Enhancer
loop_chr17-chr17-7639|activate_100m|loop_chr17-chr17-6679|resting_100m	chr17:59782802-59785498|Promoter	chr17:59786433-59787002|Promoter
loop_chr17-chr17-7643|activate_100m|loop_chr17-chr17-6695|resting_100m	chr17:7685916-7686237|Promoter	chr17:7687377-7687671|Promoter
loop_chr17-chr17-7683|activate_100m|loop_chr17-chr17-6775|resting_100m	chr17:40096061-40096654|Enhancer	chr17:40108148-40108665|Enhancer
loop_chr17-chr17-7693|activate_100m|loop_chr17-chr17-6741|resting_100m	chr17:8057836-8058071|Promoter	chr17:8060221-8060592|Enhancer
loop_chr17-chr17-7750|activate_100m|loop_chr17-chr17-6743|resting_100m	chr17:80789999-80790360|Enhancer	chr17:80791320-80792022|Enhancer
loop_chr17-chr17-7760|activate_100m|loop_chr17-chr17-6723|resting_100m	chr17:77959434-77961117|Promoter	chr17:77963306-77963739|Enhancer
loop_chr17-chr17-7778|activate_100m|loop_chr17-chr17-6692|resting_100m	chr17:39794180-39794892|Enhancer	chr17:39800434-39801058|Enhancer
loop_chr17-chr17-7811|activate_100m|loop_chr17-chr17-6885|resting_100m	chr17:40607487-40608514|Enhancer	chr17:40611791-40613557|Enhancer
loop_chr17-chr17-7814|activate_100m|loop_chr17-chr17-6687|resting_100m	chr17:48836058-48836541|Enhancer	chr17:48837558-48838069|Enhancer
loop_chr17-chr17-7872|activate_100m|loop_chr17-chr17-6685|resting_100m	chr17:49361089-49361462|Promoter	chr17:49362344-49362645|Promoter
loop_chr17-chr17-7889|activate_100m|loop_chr17-chr17-6667|resting_100m	chr17:76751850-76752353|Promoter	chr17:76753150-76753756|Promoter
loop_chr17-chr17-7956|activate_100m|loop_chr17-chr17-6661|resting_100m	chr17:45248347-45249389|Promoter	chr17:45249461-45249966|Promoter
loop_chr17-chr17-7977|activate_100m|loop_chr17-chr17-6618|resting_100m	chr17:78816757-78818302|Enhancer	chr17:78818321-78820758|Enhancer
loop_chr17-chr17-8055|activate_100m|loop_chr17-chr17-6691|resting_100m	chr17:49816189-49817500|Enhancer	chr17:49817922-49818470|Enhancer
loop_chr17-chr17-8177|activate_100m|loop_chr17-chr17-6823|resting_100m	chr17:77881220-77881883|Enhancer	chr17:77882520-77882909|Promoter
loop_chr17-chr17-8196|activate_100m|loop_chr17-chr17-6805|resting_100m	chr17:29615639-29615946|Enhancer	chr17:29616670-29617792|Enhancer
loop_chr17-chr17-8231|activate_100m|loop_chr17-chr17-6712|resting_100m	chr17:78748721-78749184|Enhancer	chr17:78758389-78759988|Enhancer
loop_chr17-chr17-8313|activate_100m|loop_chr17-chr17-6791|resting_100m	chr17:82200844-82201164|Enhancer	chr17:82205753-82206530|Enhancer
loop_chr17-chr17-8534|activate_100m|loop_chr17-chr17-6773|resting_100m	chr17:48892183-48893193|Promoter	chr17:48908012-48908428|Promoter
loop_chr17-chr17-8676|activate_100m|loop_chr17-chr17-6978|resting_100m	chr17:19767543-19768694|Enhancer	chr17:19771564-19772819|Enhancer
loop_chr17-chr17-8721|activate_100m|loop_chr17-chr17-7719|resting_100m	chr17:35051111-35055108|Enhancer	chr17:35051111-35055108|Enhancer
loop_chr17-chr17-8906|activate_100m|loop_chr17-chr17-7433|resting_100m	chr17:8150970-8152049|Enhancer	chr17:8153601-8154709|Enhancer
loop_chr17-chr17-9011|activate_100m|loop_chr17-chr17-7162|resting_100m	chr17:67440670-67442801|Enhancer	chr17:67474393-67475632|Enhancer
loop_chr17-chr17-9033|activate_100m|loop_chr17-chr17-6709|resting_100m	chr17:39959049-39959378|Enhancer	chr17:39980052-39981028|Promoter
loop_chr17-chr17-6603|resting_100m	chr17:14201732-14202473|Enhancer	chr17:14203470-14203665|Enhancer
loop_chr17-chr17-6604|resting_100m	chr17:49746617-49747755|Enhancer	chr17:49748018-49749245|Enhancer
loop_chr17-chr17-6612|resting_100m	chr17:39092141-39093612|Enhancer	chr17:39094500-39095538|Enhancer
loop_chr17-chr17-6615|resting_100m	chr17:68291976-68292430|Promoter	chr17:68296559-68296886|Enhancer
loop_chr17-chr17-6617|resting_100m	chr17:31310419-31310676|Enhancer	chr17:31311617-31311918|Enhancer
loop_chr17-chr17-6624|resting_100m	chr17:59360334-59360973|Enhancer	chr17:59361692-59362804|Promoter
loop_chr17-chr17-6633|resting_100m	chr17:50867531-50868518|Promoter	chr17:50871194-50872127|Enhancer
loop_chr17-chr17-6634|resting_100m	chr17:68436501-68436761|Enhancer	chr17:68437525-68438372|Enhancer
loop_chr17-chr17-6635|resting_100m	chr17:78251044-78251412|Promoter	chr17:78252137-78252766|Promoter
loop_chr17-chr17-6641|resting_100m	chr17:63610178-63610667|Promoter	chr17:63612130-63612599|Promoter
loop_chr17-chr17-6651|resting_100m	chr17:39092141-39093612|Enhancer	chr17:39096471-39097237|Enhancer
loop_chr17-chr17-6655|resting_100m	chr17:41687969-41688902|Promoter	chr17:41689730-41690457|Promoter
loop_chr17-chr17-6664|resting_100m	chr17:63697848-63698256|Enhancer	chr17:63699315-63699491|Promoter
loop_chr17-chr17-6669|resting_100m	chr17:47203888-47204643|Enhancer	chr17:47205227-47205751|Enhancer
loop_chr17-chr17-6674|resting_100m	chr17:73210355-73210793|Enhancer	chr17:73211653-73212091|Enhancer
loop_chr17-chr17-6676|resting_100m	chr17:57604126-57604468|Enhancer	chr17:57605200-57605919|Enhancer
loop_chr17-chr17-6680|resting_100m	chr17:21040291-21040554|Enhancer	chr17:21041109-21041703|Enhancer
loop_chr17-chr17-6684|resting_100m	chr17:63696567-63697009|Enhancer	chr17:63697848-63698256|Enhancer
loop_chr17-chr17-6689|resting_100m	chr17:19991109-19991113|Enhancer	chr17:19993355-19993359|Enhancer
loop_chr17-chr17-6690|resting_100m	chr17:68531678-68531683|Enhancer	chr17:68535411-68535418|Enhancer
loop_chr17-chr17-6701|resting_100m	chr17:68181489-68181783|Enhancer	chr17:68182763-68183261|Enhancer
loop_chr17-chr17-6705|resting_100m	chr17:77961495-77962563|Enhancer	chr17:77963306-77963739|Enhancer
loop_chr17-chr17-6707|resting_100m	chr17:78252137-78252766|Promoter	chr17:78253770-78254043|Promoter
loop_chr17-chr17-6714|resting_100m	chr17:49739486-49740107|Enhancer	chr17:49746617-49747755|Enhancer
loop_chr17-chr17-6715|resting_100m	chr17:66246400-66246687|Enhancer	chr17:66254972-66255253|Enhancer
loop_chr17-chr17-6717|resting_100m	chr17:29722725-29725018|Enhancer	chr17:29726804-29727256|Enhancer
loop_chr17-chr17-6720|resting_100m	chr17:10698471-10698920|Promoter	chr17:10699643-10700103|Enhancer
loop_chr17-chr17-6721|resting_100m	chr17:62966907-62967367|Promoter	chr17:62968540-62968723|Promoter
loop_chr17-chr17-6725|resting_100m	chr17:14199500-14200032|Enhancer	chr17:14200793-14201410|Enhancer
loop_chr17-chr17-6728|resting_100m	chr17:32007252-32007428|Promoter	chr17:32008548-32009049|Promoter
loop_chr17-chr17-6734|resting_100m	chr17:47835446-47835455|Enhancer	chr17:59251057-59251060|Enhancer
loop_chr17-chr17-6737|resting_100m	chr17:40581939-40583503|Enhancer	chr17:40607487-40608514|Enhancer
loop_chr17-chr17-6750|resting_100m	chr17:47895431-47896255|Promoter	chr17:47897024-47898081|Promoter
loop_chr17-chr17-6756|resting_100m	chr17:77405017-77405118|Enhancer	chr17:77406495-77406624|Enhancer
loop_chr17-chr17-6757|resting_100m	chr17:30818642-30819113|Enhancer	chr17:30819879-30820412|Enhancer
loop_chr17-chr17-6758|resting_100m	chr17:49817922-49818470|Enhancer	chr17:49819715-49821446|Enhancer
loop_chr17-chr17-6759|resting_100m	chr17:41692205-41693018|Enhancer	chr17:41696084-41696197|Enhancer
loop_chr17-chr17-6767|resting_100m	chr17:68289186-68289187|Promoter	chr17:68295572-68295574|Enhancer
loop_chr17-chr17-6768|resting_100m	chr17:7306937-7307488|Promoter	chr17:7308928-7309330|Enhancer
loop_chr17-chr17-6769|resting_100m	chr17:28947914-28947971|Enhancer	chr17:28948959-28949104|Enhancer
loop_chr17-chr17-6771|resting_100m	chr17:66327875-66329067|Enhancer	chr17:66330847-66331712|Enhancer
loop_chr17-chr17-6774|resting_100m	chr17:27481440-27481658|Enhancer	chr17:27482569-27483249|Enhancer
loop_chr17-chr17-6779|resting_100m	chr17:76197658-76197828|Enhancer	chr17:76199313-76199685|Enhancer
loop_chr17-chr17-6787|resting_100m	chr17:49315673-49315835|Enhancer	chr17:49368349-49368665|Enhancer
loop_chr17-chr17-6789|resting_100m	chr17:50479590-50479670|Promoter	chr17:50480853-50481091|Enhancer
loop_chr17-chr17-6790|resting_100m	chr17:68085820-68086015|Enhancer	chr17:68087049-68087299|Enhancer
loop_chr17-chr17-6795|resting_100m	chr17:16909852-16910166|Enhancer	chr17:16911448-16911941|Enhancer
loop_chr17-chr17-6798|resting_100m	chr17:5584488-5585046|Promoter	chr17:5587273-5587636|Enhancer
loop_chr17-chr17-6802|resting_100m	chr17:77096498-77097185|Enhancer	chr17:77099042-77099179|Enhancer
loop_chr17-chr17-6804|resting_100m	chr17:40620064-40620599|Enhancer	chr17:40622529-40622928|Enhancer
loop_chr17-chr17-6809|resting_100m	chr17:67717713-67718118|Promoter	chr17:67719364-67720275|Promoter
loop_chr17-chr17-6811|resting_100m	chr17:74392994-74392996|Enhancer	chr17:74400775-74400784|Enhancer
loop_chr17-chr17-6818|resting_100m	chr17:58342118-58342839|Enhancer	chr17:58344818-58345064|Enhancer
loop_chr17-chr17-6821|resting_100m	chr17:41678779-41679517|Enhancer	chr17:41696084-41696197|Enhancer
loop_chr17-chr17-6822|resting_100m	chr17:17300778-17300842|Enhancer	chr17:17305581-17305703|Enhancer
loop_chr17-chr17-6824|resting_100m	chr17:82863980-82864299|Enhancer	chr17:82882579-82883071|Enhancer
loop_chr17-chr17-6826|resting_100m	chr17:78740509-78740571|Enhancer	chr17:78742263-78742961|Enhancer
loop_chr17-chr17-6827|resting_100m	chr17:27454348-27454864|Promoter	chr17:27455910-27456002|Promoter
loop_chr17-chr17-6832|resting_100m	chr17:78745255-78745795|Enhancer	chr17:78748721-78749184|Enhancer
loop_chr17-chr17-6834|resting_100m	chr17:49739486-49740107|Enhancer	chr17:49742203-49742791|Enhancer
loop_chr17-chr17-6835|resting_100m	chr17:41786969-41787179|Promoter	chr17:41788543-41788683|Promoter
loop_chr17-chr17-6836|resting_100m	chr17:42272758-42272890|Promoter	chr17:42273872-42274286|Promoter
loop_chr17-chr17-6842|resting_100m	chr17:68343885-68345545|Enhancer	chr17:68346064-68346927|Enhancer
loop_chr17-chr17-6847|resting_100m	chr17:77374304-77374646|Enhancer	chr17:77376386-77376517|Promoter
loop_chr17-chr17-6853|resting_100m	chr17:43367305-43367307|Enhancer	chr17:43369422-43369476|Enhancer
loop_chr17-chr17-6854|resting_100m	chr17:39092141-39093612|Enhancer	chr17:39096471-39097237|Enhancer
loop_chr17-chr17-6858|resting_100m	chr17:1823481-1823966|Enhancer	chr17:1829825-1830066|Promoter
loop_chr17-chr17-6859|resting_100m	chr17:67434155-67434547|Enhancer	chr17:67440670-67442801|Enhancer
loop_chr17-chr17-6873|resting_100m	chr17:49739486-49740107|Enhancer	chr17:49748018-49749245|Enhancer
