Promoter	PromoterTarget	directEnhancer	indirectEnhancer	directPromoter	indirectPromoter	directEnhancerHub	indirectEnhancerHub
chr10:100246533-100247148|Promoter	chr10:100248271-100249095|+|PHBP9	chr10:100245184-100245838|Enhancer					
chr10:102054643-102054788|Promoter	chr10:101845599-102056193|-|ARMH3			chr10:102056205-102056327|Promoter			
chr10:102056205-102056327|Promoter	chr10:101845599-102056193|-|ARMH3			chr10:102054643-102054788|Promoter			
chr10:102063503-102063669|Promoter	chr10:102065390-102068038|+|HPS6			chr10:102064859-102064915|Promoter			
chr10:102064859-102064915|Promoter	chr10:102065390-102068038|+|HPS6			chr10:102063503-102063669|Promoter			
chr10:102449447-102449451|Promoter	chr10:102449817-102461106|+|RPARP-AS1	chr10:102398763-102398767|Enhancer					
chr10:102452720-102453296|Promoter	chr10:102449837-102451543|-|C10orf95			chr10:102461127-102461406|Promoter			
chr10:102461127-102461406|Promoter	chr10:102461395-102477045|+|MFSD13A			chr10:102452720-102453296|Promoter			
chr10:102854476-102854784|Promoter	chr10:102845916-102854513|-|AL358790.1			chr10:102856074-102856157|Promoter			
chr10:102856074-102856157|Promoter	chr10:102845916-102854513|-|AL358790.1			chr10:102854476-102854784|Promoter			
chr10:103968885-103968887|Promoter	chr10:103967140-104029233|+|SLK	chr10:103964299-103964301|Enhancer					
chr10:104267065-104268193|Promoter	chr10:104268336-104268405|-|MIR4482	chr10:104260083-104261930|Enhancer					
chr10:104353561-104353603|Promoter	chr10:104351591-104353575|-|CFAP58-DT	chr10:104329150-104329952|Enhancer	chr10:104290985-104293031|Enhancer,chr10:104351243-104351373|Enhancer				chr10:104351243-104351373|Enhancer
chr10:109922546-109922953|Promoter	chr10:109864766-109923553|-|XPNPEP1	chr10:109915144-109915662|Enhancer					
chr10:110306276-110306833|Promoter	chr10:110290730-110304951|-|SMNDC1	chr10:110353208-110354495|Enhancer					
chr10:11170988-11171324|Promoter	chr10:11168922-11171376|-|AL136320.1	chr10:11211125-11211773|Enhancer					
chr10:112445979-112446228|Promoter	chr10:112424428-112446917|-|ZDHHC6	chr10:112442179-112442346|Enhancer			chr10:112446680-112446960|Promoter		
chr10:112446680-112446960|Promoter	chr10:112424428-112446917|-|ZDHHC6	chr10:112442179-112442346|Enhancer			chr10:112445979-112446228|Promoter		
chr10:112948730-112948733|Promoter	chr10:112950247-113167678|+|TCF7L2	chr10:112942707-112942710|Enhancer					
chr10:112986127-112986597|Promoter	chr10:112987476-112987865|+|RPS15AP30	chr10:112981550-112981917|Enhancer					
chr10:116427423-116427921|Promoter	chr10:116427847-116477957|+|PNLIPRP3			chr10:116428620-116429688|Promoter			
chr10:116428620-116429688|Promoter	chr10:116427847-116477957|+|PNLIPRP3			chr10:116427423-116427921|Promoter			
chr10:119178905-119178908|Promoter	chr10:119167720-119178812|-|PRDX3	chr10:119202524-119202531|Enhancer					
chr10:119540543-119541344|Promoter	chr10:119499817-119542719|-|RGS10	chr10:119525898-119527233|Enhancer					
chr10:119682196-119682332|Promoter	chr10:119683127-119683823|-|TXNP1	chr10:119680929-119681070|Enhancer					
chr10:12126158-12129689|Promoter	chr10:12129637-12169956|+|SEC61A2	chr10:12122806-12123343|Enhancer					
chr10:122954038-122954514|Promoter	chr10:122930901-122954227|-|C10orf88	chr10:122948719-122950278|Enhancer					
chr10:123156210-123156434|Promoter	chr10:123154402-123170467|+|BUB3	chr10:123157370-123157530|Enhancer					
chr10:124417901-124418352|Promoter	chr10:124397303-124418976|-|OAT	chr10:124415769-124416953|Enhancer					
chr10:12561963-12562118|Promoter	chr10:12563151-12567351|+|AL731559.1			chr10:12563784-12564080|Promoter			
chr10:12563784-12564080|Promoter	chr10:12563151-12567351|+|AL731559.1			chr10:12561963-12562118|Promoter			
chr10:130136942-130137474|Promoter	chr10:130136391-130182881|+|GLRX3	chr10:130138581-130138966|Enhancer	chr10:130140173-130140696|Enhancer				
chr10:131980667-131981887|Promoter	chr10:131966455-131982013|-|BNIP3	chr10:131976853-131977122|Enhancer					
chr10:133359057-133359060|Promoter	chr10:133355158-133358025|-|FUOM	chr10:133360037-133360039|Enhancer					
chr10:14382157-14382475|Promoter	chr10:14383200-14383277|-|MIR4293		chr10:14385912-14386817|Enhancer,chr10:14396413-14397387|Enhancer,chr10:14390227-14390361|Enhancer,chr10:14409202-14409577|Enhancer	chr10:14384451-14384771|Promoter			chr10:14385912-14386817|Enhancer
