anchor	chrom	start	end	type	nearestDistanceToTSS	nearestGene	nearestGeneLoc
chr19:632592-632916|Promoter	chr19	632592	632916	Promoter	783	POLRMT	chr19:617221-633537|-|POLRMT
chr19:660669-662398|Promoter	chr19	660669	662398	Promoter	1680	RNF126	chr19:647526-663214|-|RNF126
chr19:663489-668299|Enhancer	chr19	663489	668299	Enhancer	2412	AC004156.1	chr19:663482-669500|+|AC004156.1
chr19:680305-680490|Enhancer	chr19	680305	680490	Enhancer	4005	FSTL3	chr19:676392-683392|+|FSTL3
chr19:730907-738373|Enhancer	chr19	730907	738373	Enhancer	16472	MISP	chr19:751112-764318|+|MISP
chr19:919313-928261|Promoter	chr19	919313	928261	Promoter	0	ARID3A	chr19:926035-975939|+|ARID3A
chr19:947046-948324|Enhancer	chr19	947046	948324	Enhancer	8800	AC005391.1	chr19:956485-958149|+|AC005391.1
chr19:953909-955478|Promoter	chr19	953909	955478	Promoter	1791	AC005391.1	chr19:956485-958149|+|AC005391.1
chr19:980548-984332|Promoter	chr19	980548	984332	Promoter	0	WDR18	chr19:984271-994570|+|WDR18
chr19:1064509-1068749|Promoter	chr19	1064509	1068749	Promoter	0	ARHGAP45	chr19:1065923-1086628|+|ARHGAP45
chr19:1087571-1088617|Enhancer	chr19	1087571	1088617	Enhancer	7286	POLR2E	chr19:1086574-1095380|-|POLR2E
chr19:1194647-1194861|Enhancer	chr19	1194647	1194861	Enhancer	8455	HMGB2P1	chr19:1203209-1203842|+|HMGB2P1
chr19:1605573-1607441|Promoter	chr19	1605573	1607441	Promoter	1034	UQCR11	chr19:1597169-1605473|-|UQCR11
chr19:1650805-1653343|Promoter	chr19	1650805	1653343	Promoter	0	TCF3	chr19:1609284-1652615|-|TCF3
chr19:2019448-2019719|Enhancer	chr19	2019448	2019719	Enhancer	3859	BTBD2	chr19:1985438-2015724|-|BTBD2
chr19:2049110-2052530|Promoter	chr19	2049110	2052530	Promoter	0	MKNK2	chr19:2037465-2051244|-|MKNK2
chr19:2095378-2097435|Promoter	chr19	2095378	2097435	Promoter	0	IZUMO4,MOB3A	chr19:2096869-2099590|+|IZUMO4,chr19:2071036-2096326|-|MOB3A
chr19:2110722-2113373|Enhancer	chr19	2110722	2113373	Enhancer	15178	IZUMO4	chr19:2096869-2099590|+|IZUMO4
chr19:2156090-2156286|Enhancer	chr19	2156090	2156286	Enhancer	4622	AP3D1	chr19:2100988-2151566|-|AP3D1
chr19:2171146-2172528|Enhancer	chr19	2171146	2172528	Enhancer	7904	DOT1L	chr19:2163933-2232578|+|DOT1L
chr19:2182688-2183589|Enhancer	chr19	2182688	2183589	Enhancer	19205	DOT1L	chr19:2163933-2232578|+|DOT1L
chr19:2235798-2238267|Promoter	chr19	2235798	2238267	Promoter	0	SF3A2,MIR6789,PLEKHJ1	chr19:2236824-2248655|+|SF3A2,chr19:2235829-2235926|-|MIR6789,chr19:2230084-2237704|-|PLEKHJ1
chr19:2252863-2253869|Enhancer	chr19	2252863	2253869	Enhancer	2727	MIR4321	chr19:2250639-2250718|+|MIR4321
chr19:2269416-2275264|Promoter	chr19	2269416	2275264	Promoter	0	AC005258.1,OAZ1	chr19:2269525-2341172|+|AC005258.1,chr19:2269520-2273490|+|OAZ1
chr19:2474313-2476431|Promoter	chr19	2474313	2476431	Promoter	0	GADD45B	chr19:2476127-2478257|+|GADD45B
chr19:2477954-2480296|Enhancer	chr19	2477954	2480296	Enhancer	2998	GADD45B	chr19:2476127-2478257|+|GADD45B
chr19:2607415-2614755|Promoter	chr19	2607415	2614755	Promoter	0	AC092068.2	chr19:2610155-2611862|-|AC092068.2
chr19:2636102-2637368|Enhancer	chr19	2636102	2637368	Enhancer	4781	AC092068.1	chr19:2631954-2632849|+|AC092068.1
chr19:2647459-2650565|Enhancer	chr19	2647459	2650565	Enhancer	5159	AC092068.3	chr19:2641838-2643853|-|AC092068.3
chr19:2664001-2664438|Enhancer	chr19	2664001	2664438	Enhancer	20366	AC092068.3	chr19:2641838-2643853|-|AC092068.3
chr19:2681461-2681829|Enhancer	chr19	2681461	2681829	Enhancer	19621	AC006538.3	chr19:2700689-2701266|-|AC006538.3
chr19:2697558-2699609|Enhancer	chr19	2697558	2699609	Enhancer	2682	AC006538.3	chr19:2700689-2701266|-|AC006538.3
chr19:2746984-2750436|Enhancer	chr19	2746984	2750436	Enhancer	8662	AC006538.2	chr19:2717769-2740048|-|AC006538.2
chr19:2962186-2962773|Enhancer	chr19	2962186	2962773	Enhancer	13444	AC006277.1	chr19:2949035-2950644|+|AC006277.1
chr19:3108710-3109058|Enhancer	chr19	3108710	3109058	Enhancer	10420	AC005262.2	chr19:3118665-3119304|-|AC005262.2
chr19:4369016-4371659|Enhancer	chr19	4369016	4371659	Enhancer	6548	AC007292.1	chr19:4363789-4364640|+|AC007292.1
chr19:4398722-4403116|Promoter	chr19	4398722	4403116	Promoter	0	CHAF1A,SH3GL1	chr19:4402640-4443397|+|CHAF1A,chr19:4360370-4400547|-|SH3GL1
chr19:4567153-4568201|Enhancer	chr19	4567153	4568201	Enhancer	7993	SEMA6B	chr19:4542593-4559684|-|SEMA6B
chr19:4635742-4636972|Enhancer	chr19	4635742	4636972	Enhancer	3159	TNFAIP8L1	chr19:4639516-4655568|+|TNFAIP8L1
chr19:4808543-4813308|Enhancer	chr19	4808543	4813308	Enhancer	15370	AC005523.2	chr19:4791745-4795555|-|AC005523.2
chr19:4848931-4853917|Enhancer	chr19	4848931	4853917	Enhancer	13092	AC027319.1	chr19:4838332-4838907|+|AC027319.1
chr19:4871209-4873860|Enhancer	chr19	4871209	4873860	Enhancer	4840	PLIN3	chr19:4838341-4867694|-|PLIN3
chr19:4911412-4912405|Enhancer	chr19	4911412	4912405	Enhancer	8828	UHRF1	chr19:4903080-4962154|+|UHRF1
chr19:5031469-5034194|Enhancer	chr19	5031469	5034194	Enhancer	63718	KDM4B	chr19:4969113-5153598|+|KDM4B
chr19:5047948-5048746|Enhancer	chr19	5047948	5048746	Enhancer	79234	KDM4B	chr19:4969113-5153598|+|KDM4B
chr19:5546600-5548508|Enhancer	chr19	5546600	5548508	Enhancer	20480	TINCR	chr19:5558167-5568034|-|TINCR
chr19:5575477-5578615|Promoter	chr19	5575477	5578615	Promoter	0	SNRPEP4	chr19:5576660-5576938|-|SNRPEP4
chr19:6048399-6049145|Enhancer	chr19	6048399	6049145	Enhancer	19181	AC011444.2	chr19:6067953-6077119|+|AC011444.2
chr19:6087282-6088789|Enhancer	chr19	6087282	6088789	Enhancer	15212	AC011444.4	chr19:6072823-6073527|+|AC011444.4
chr19:6165374-6168274|Enhancer	chr19	6165374	6168274	Enhancer	9618	AC011471.1	chr19:6176256-6176442|-|AC011471.1
chr19:6216989-6219059|Enhancer	chr19	6216989	6219059	Enhancer	18619	AC011471.4	chr19:6199405-6205121|+|AC011471.4
chr19:6516453-6519395|Enhancer	chr19	6516453	6519395	Enhancer	13102	TNFSF9	chr19:6531026-6535924|+|TNFSF9
chr19:6531022-6532986|Promoter	chr19	6531022	6532986	Promoter	0	TNFSF9	chr19:6531026-6535924|+|TNFSF9
chr19:6551921-6552352|Enhancer	chr19	6551921	6552352	Enhancer	2357	AC010503.3	chr19:6552358-6554494|-|AC010503.3
chr19:6577063-6578026|Enhancer	chr19	6577063	6578026	Enhancer	13605	CD70	chr19:6583183-6591150|-|CD70
chr19:6586376-6593846|Promoter	chr19	6586376	6593846	Promoter	0	RPL7P50,CD70	chr19:6593329-6594055|+|RPL7P50,chr19:6583183-6591150|-|CD70
chr19:6630546-6637642|Enhancer	chr19	6630546	6637642	Enhancer	36494	TNFSF14	chr19:6661253-6670588|-|TNFSF14
chr19:6669263-6672451|Promoter	chr19	6669263	6672451	Promoter	0	TNFSF14	chr19:6661253-6670588|-|TNFSF14
chr19:6737730-6741304|Promoter	chr19	6737730	6741304	Promoter	0	TRIP10	chr19:6737925-6751530|+|TRIP10
chr19:6753232-6753739|Enhancer	chr19	6753232	6753739	Enhancer	2018	AC008760.1	chr19:6748293-6751467|-|AC008760.1
chr19:6771863-6775226|Promoter	chr19	6771863	6775226	Promoter	0	VAV1	chr19:6772708-6857366|+|VAV1
chr19:6860743-6865194|Enhancer	chr19	6860743	6865194	Enhancer	24597	ADGRE1	chr19:6887566-6940459|+|ADGRE1
chr19:7101881-7104819|Enhancer	chr19	7101881	7104819	Enhancer	33647	ZNF557	chr19:7069703-7087968|+|ZNF557
chr19:7147748-7150088|Enhancer	chr19	7147748	7150088	Enhancer	79215	ZNF557	chr19:7069703-7087968|+|ZNF557
chr19:7239045-7239680|Enhancer	chr19	7239045	7239680	Enhancer	55051	INSR	chr19:7112255-7294414|-|INSR
chr19:7293078-7297474|Promoter	chr19	7293078	7297474	Promoter	0	INSR	chr19:7112255-7294414|-|INSR
