loopId	mergedAnchorA	mergedAnchorB
loop_chr19-chr19-20644|K562_RAD21_17m|loop_chr19-chr19-10673|GM12878_RAD21_17m	chr19:17868568-17874195|Promoter	chr19:17929149-17933296|Promoter
loop_chr19-chr19-20645|K562_RAD21_17m|loop_chr19-chr19-10683|GM12878_RAD21_17m	chr19:16246538-16252333|Enhancer	chr19:16379868-16389447|Enhancer
loop_chr19-chr19-20646|K562_RAD21_17m|loop_chr19-chr19-10705|GM12878_RAD21_17m	chr19:1242144-1246552|Enhancer	chr19:1265232-1271991|Promoter
loop_chr19-chr19-20647|K562_RAD21_17m|loop_chr19-chr19-10657|GM12878_RAD21_17m	chr19:39396079-39398942|Enhancer	chr19:39407058-39414676|Promoter
loop_chr19-chr19-20648|K562_RAD21_17m|loop_chr19-chr19-10741|GM12878_RAD21_17m	chr19:10267243-10272428|Promoter	chr19:10387041-10392303|Enhancer
loop_chr19-chr19-20649|K562_RAD21_17m|loop_chr19-chr19-10700|GM12878_RAD21_17m	chr19:49500052-49511757|Promoter	chr19:49544546-49549573|Enhancer
loop_chr19-chr19-20650|K562_RAD21_17m|loop_chr19-chr19-10668|GM12878_RAD21_17m	chr19:6047544-6050682|Enhancer	chr19:6123231-6129079|Enhancer
loop_chr19-chr19-20651|K562_RAD21_17m|loop_chr19-chr19-10665|GM12878_RAD21_17m	chr19:10579666-10584981|Enhancer	chr19:10643612-10646485|Enhancer
loop_chr19-chr19-20652|K562_RAD21_17m|loop_chr19-chr19-10697|GM12878_RAD21_17m	chr19:38243069-38246816|Enhancer	chr19:38333442-38337148|Promoter
loop_chr19-chr19-20653|K562_RAD21_17m|loop_chr19-chr19-10740|GM12878_RAD21_17m	chr19:45861491-45867734|Promoter	chr19:45882080-45886883|Promoter
loop_chr19-chr19-20654|K562_RAD21_17m|loop_chr19-chr19-10939|GM12878_RAD21_17m	chr19:47035334-47037559|Enhancer	chr19:47121775-47127622|Enhancer
loop_chr19-chr19-20655|K562_RAD21_17m	chr19:50723450-50725988|Promoter	chr19:50780862-50784874|Enhancer
loop_chr19-chr19-20656|K562_RAD21_17m|loop_chr19-chr19-10772|GM12878_RAD21_17m	chr19:1669371-1674199|Enhancer	chr19:1765169-1768960|Enhancer
loop_chr19-chr19-20657|K562_RAD21_17m|loop_chr19-chr19-10660|GM12878_RAD21_17m	chr19:17937382-17940385|Enhancer	chr19:17993375-18008634|Promoter
loop_chr19-chr19-20658|K562_RAD21_17m|loop_chr19-chr19-11120|GM12878_RAD21_17m	chr19:47713161-47715861|Promoter	chr19:47741987-47746713|Promoter
loop_chr19-chr19-20659|K562_RAD21_17m	chr19:2489021-2489272|Enhancer	chr19:2489280-2489588|Enhancer
loop_chr19-chr19-20660|K562_RAD21_17m|loop_chr19-chr19-10794|GM12878_RAD21_17m	chr19:33233266-33238135|Enhancer	chr19:33404862-33407869|Enhancer
loop_chr19-chr19-20661|K562_RAD21_17m|loop_chr19-chr19-10655|GM12878_RAD21_17m	chr19:35691929-35695011|Enhancer	chr19:35711243-35719875|Promoter
loop_chr19-chr19-20662|K562_RAD21_17m|loop_chr19-chr19-10982|GM12878_RAD21_17m	chr19:11292990-11296125|Promoter	chr19:11444462-11447092|Enhancer
loop_chr19-chr19-20663|K562_RAD21_17m|loop_chr19-chr19-10679|GM12878_RAD21_17m	chr19:45436317-45446729|Promoter	chr19:45476529-45480244|Promoter
loop_chr19-chr19-20664|K562_RAD21_17m|loop_chr19-chr19-10868|GM12878_RAD21_17m	chr19:7651085-7654304|Enhancer	chr19:7677846-7683292|Promoter
loop_chr19-chr19-20665|K562_RAD21_17m	chr19:48887849-48888116|Enhancer	chr19:48888128-48888276|Enhancer
loop_chr19-chr19-20666|K562_RAD21_17m	chr19:45200085-45205775|Enhancer	chr19:45338343-45339687|Promoter
loop_chr19-chr19-20667|K562_RAD21_17m	chr19:4564020-4564302|Enhancer	chr19:4564437-4564549|Enhancer
loop_chr19-chr19-20668|K562_RAD21_17m|loop_chr19-chr19-10947|GM12878_RAD21_17m	chr19:35691929-35695011|Enhancer	chr19:35817847-35821684|Enhancer
loop_chr19-chr19-20669|K562_RAD21_17m|loop_chr19-chr19-10764|GM12878_RAD21_17m	chr19:18207989-18210221|Enhancer	chr19:18250965-18252678|Enhancer
loop_chr19-chr19-20670|K562_RAD21_17m|loop_chr19-chr19-10751|GM12878_RAD21_17m	chr19:16777684-16780457|Enhancer	chr19:16896039-16901642|Enhancer
loop_chr19-chr19-20671|K562_RAD21_17m|loop_chr19-chr19-10698|GM12878_RAD21_17m	chr19:29609014-29611662|Enhancer	chr19:29688266-29695451|Enhancer
loop_chr19-chr19-20672|K562_RAD21_17m	chr19:17619039-17619412|Enhancer	chr19:17619425-17619754|Enhancer
loop_chr19-chr19-20673|K562_RAD21_17m|loop_chr19-chr19-10733|GM12878_RAD21_17m	chr19:3663689-3667975|Enhancer	chr19:3697867-3701255|Promoter
loop_chr19-chr19-20674|K562_RAD21_17m	chr19:3482978-3483099|Promoter	chr19:3483881-3485492|Promoter
loop_chr19-chr19-20675|K562_RAD21_17m	chr19:14265636-14265674|Enhancer	chr19:14265899-14265925|Enhancer
loop_chr19-chr19-20676|K562_RAD21_17m|loop_chr19-chr19-10675|GM12878_RAD21_17m	chr19:8156275-8162402|Enhancer	chr19:8249385-8255191|Enhancer
loop_chr19-chr19-20677|K562_RAD21_17m	chr19:50704198-50706565|Enhancer	chr19:50780862-50784874|Enhancer
loop_chr19-chr19-20678|K562_RAD21_17m|loop_chr19-chr19-10666|GM12878_RAD21_17m	chr19:917320-928261|Promoter	chr19:980548-984332|Promoter
loop_chr19-chr19-20679|K562_RAD21_17m|loop_chr19-chr19-10726|GM12878_RAD21_17m	chr19:12974911-12981203|Enhancer	chr19:13088735-13096522|Enhancer
loop_chr19-chr19-20680|K562_RAD21_17m	chr19:10010265-10010460|Promoter	chr19:10010527-10010587|Promoter
