loopId	typeAnchorA	typeAnchorB	nearestDistanceToGeneAnchorA	nearestDistanceToGeneAnchorB	nearestTargetGeneAnchorA	nearestTargetGeneAnchorB
loop_chr19-chr19-20655|K562_RAD21_17m	Promoter	Enhancer	1040	7547	chr19:50723364-50725718|+|CLEC11A	chr19:50790415-50795224|+|ACP4
loop_chr19-chr19-20666|K562_RAD21_17m	Enhancer	Promoter	13385	1914	chr19:45187388-45216933|+|AC005779.1	chr19:45340750-45351520|+|KLC3
loop_chr19-chr19-20672|K562_RAD21_17m	Enhancer	Enhancer	3221	2857	chr19:17622447-17623338|+|AC008761.3	chr19:17622447-17623338|+|AC008761.3
loop_chr19-chr19-20674|K562_RAD21_17m	Promoter	Promoter	407	1725	chr19:3482804-3483446|-|AC005551.1	chr19:3482804-3483446|-|AC005551.1
loop_chr19-chr19-20675|K562_RAD21_17m	Enhancer	Enhancer	3722	3465	chr19:14267807-14269377|-|AC011509.1	chr19:14267807-14269377|-|AC011509.1
loop_chr19-chr19-20677|K562_RAD21_17m	Enhancer	Enhancer	14333	7394	chr19:50661827-50719450|-|SHANK1	chr19:50790415-50795224|+|ACP4
loop_chr19-chr19-20684|K562_RAD21_17m	Promoter	Promoter	1762	1991	chr19:17296196-17296695|-|AC010463.3	chr19:17296196-17296695|-|AC010463.3
loop_chr19-chr19-20687|K562_RAD21_17m	Enhancer	Enhancer	28833	30372	chr19:18957957-18958258|-|RN7SL70P	chr19:18957957-18958258|-|RN7SL70P
loop_chr19-chr19-20689|K562_RAD21_17m	Enhancer	Promoter	5769	0	chr19:47801243-47819051|-|TPRX1	chr19:47863483-47864499|-|LINC01595
loop_chr19-chr19-20693|K562_RAD21_17m	Promoter	Promoter	442	588	chr19:1285873-1301431|+|EFNA2	chr19:1285873-1301431|+|EFNA2
loop_chr19-chr19-20694|K562_RAD21_17m	Promoter	Promoter	104	387	chr19:41221426-41222051|-|AC011510.1	chr19:41221426-41222051|-|AC011510.1
loop_chr19-chr19-20697|K562_RAD21_17m	Promoter	Enhancer	0	9631	chr19:38403135-38409084|+|FAM98C	chr19:38433699-38587564|+|RYR1
loop_chr19-chr19-20704|K562_RAD21_17m	Enhancer	Enhancer	5519	5821	chr19:57394183-57438457|+|AC003002.2	chr19:57394183-57438457|+|AC003002.2
loop_chr19-chr19-20705|K562_RAD21_17m	Promoter	Enhancer	1272	8118	chr19:3585478-3593541|+|GIPC3	chr19:3610645-3626815|-|CACTIN
loop_chr19-chr19-20707|K562_RAD21_17m	Enhancer	Enhancer	3589	3864	chr19:55612490-55613097|-|AC008735.4	chr19:55612490-55613097|-|AC008735.4
loop_chr19-chr19-20708|K562_RAD21_17m	Enhancer	Enhancer	18607	18855	chr19:3880685-3928082|+|ATCAY	chr19:3880685-3928082|+|ATCAY
loop_chr19-chr19-20709|K562_RAD21_17m	Enhancer	Enhancer	12018	11629	chr19:4229523-4237528|+|EBI3	chr19:4229523-4237528|+|EBI3
loop_chr19-chr19-20710|K562_RAD21_17m	Promoter	Promoter	947	533	chr19:35957121-35957382|-|AF038458.1	chr19:35957121-35957382|-|AF038458.1
loop_chr19-chr19-20711|K562_RAD21_17m	Enhancer	Promoter	4384	0	chr19:38211006-38229714|-|DPF1	chr19:38403135-38409084|+|FAM98C
loop_chr19-chr19-20715|K562_RAD21_17m	Enhancer	Enhancer	9688	9919	chr19:928259-928817|-|AC005379.1	chr19:928259-928817|-|AC005379.1
loop_chr19-chr19-20716|K562_RAD21_17m	Promoter	Enhancer	0	9250	chr19:48637946-48646187|-|CA11	chr19:48793152-48793258|-|RNU6-317P
loop_chr19-chr19-20722|K562_RAD21_17m	Promoter	Promoter	1490	1969	chr19:9518150-9519341|+|AC008567.1	chr19:9518150-9519341|+|AC008567.1
loop_chr19-chr19-20723|K562_RAD21_17m	Promoter	Enhancer	1608	2045	chr19:35106510-35124297|+|AC020907.6	chr19:35106510-35124297|+|AC020907.6
loop_chr19-chr19-20724|K562_RAD21_17m	Enhancer	Enhancer	2968	2587	chr19:361747-376670|-|THEG	chr19:361747-376670|-|THEG
loop_chr19-chr19-20727|K562_RAD21_17m	Enhancer	Enhancer	2475	2259	chr19:58059239-58069755|+|ZNF135	chr19:58059239-58069755|+|ZNF135
loop_chr19-chr19-20728|K562_RAD21_17m	Promoter	Promoter	0	1184	chr19:58513530-58519810|-|ZBTB45	chr19:58582596-58601316|+|AC016629.3
loop_chr19-chr19-20731|K562_RAD21_17m	Promoter	Promoter	1663	1523	chr19:51361712-51365544|-|AC008750.5	chr19:51361712-51365544|-|AC008750.5
loop_chr19-chr19-20732|K562_RAD21_17m	Enhancer	Promoter	2937	73	chr19:42302098-42310821|+|PRR19	chr19:42302098-42310821|+|PRR19
loop_chr19-chr19-20733|K562_RAD21_17m	Enhancer	Enhancer	6328	5979	chr19:10251964-10260045|+|MRPL4	chr19:10251964-10260045|+|MRPL4
loop_chr19-chr19-20734|K562_RAD21_17m	Promoter	Enhancer	739	7750	chr19:10701439-10713365|+|QTRT1	chr19:10871513-10923070|+|CARM1
loop_chr19-chr19-20737|K562_RAD21_17m	Enhancer	Enhancer	17682	18050	chr19:305573-306467|+|AC016588.1	chr19:305573-306467|+|AC016588.1
loop_chr19-chr19-20739|K562_RAD21_17m	Promoter	Enhancer	217	4112	chr19:17859910-17864153|+|RPL18A	chr19:18001132-18014102|+|ARRDC2
loop_chr19-chr19-20740|K562_RAD21_17m	Enhancer	Enhancer	13364	13642	chr19:4679282-4685948|+|DPP9-AS1	chr19:4679282-4685948|+|DPP9-AS1
loop_chr19-chr19-20743|K562_RAD21_17m	Enhancer	Enhancer	13041	13218	chr19:39084305-39111493|+|ACP7	chr19:39084305-39111493|+|ACP7
loop_chr19-chr19-20745|K562_RAD21_17m	Enhancer	Enhancer	121985	122299	chr19:13157959-13158788|-|RPL12P42	chr19:13157959-13158788|-|RPL12P42
loop_chr19-chr19-20749|K562_RAD21_17m	Enhancer	Enhancer	16354	16040	chr19:45039045-45070956|+|CLASRP	chr19:45039045-45070956|+|CLASRP
loop_chr19-chr19-20751|K562_RAD21_17m	Enhancer	Enhancer	21215	21012	chr19:8065402-8149592|-|FBN3	chr19:8065402-8149592|-|FBN3
loop_chr19-chr19-20753|K562_RAD21_17m	Enhancer	Enhancer	9297	9130	chr19:16134028-16158575|+|HSH2D	chr19:16134028-16158575|+|HSH2D
loop_chr19-chr19-20756|K562_RAD21_17m	Promoter	Promoter	379	570	chr19:46306470-46306577|-|RNU6-924P	chr19:46306470-46306577|-|RNU6-924P
loop_chr19-chr19-20758|K562_RAD21_17m	Promoter	Promoter	126	74	chr19:58044592-58046769|+|LETM1P2	chr19:58044592-58046769|+|LETM1P2
loop_chr19-chr19-20759|K562_RAD21_17m	Enhancer	Enhancer	8774	8547	chr19:571277-583493|+|BSG	chr19:571277-583493|+|BSG
loop_chr19-chr19-20760|K562_RAD21_17m	Promoter	Promoter	623	977	chr19:56127236-56127466|-|AC024580.2	chr19:56127236-56127466|-|AC024580.2
loop_chr19-chr19-20765|K562_RAD21_17m	Enhancer	Enhancer	36019	35646	chr19:29448038-29448380|+|AC011474.3	chr19:29448038-29448380|+|AC011474.3
loop_chr19-chr19-20766|K562_RAD21_17m	Enhancer	Enhancer	30899	30643	chr19:43460787-43465608|-|LYPD3	chr19:43460787-43465608|-|LYPD3
loop_chr19-chr19-20768|K562_RAD21_17m	Promoter	Enhancer	0	13311	chr19:12965159-12974762|+|DAND5	chr19:12965159-12974762|+|DAND5
loop_chr19-chr19-20771|K562_RAD21_17m	Promoter	Promoter	1491	1329	chr19:30028741-30029916|-|AC008507.2	chr19:30028741-30029916|-|AC008507.2
loop_chr19-chr19-20774|K562_RAD21_17m	Enhancer	Enhancer	5514	5819	chr19:35292134-35313807|+|MAG	chr19:35292134-35313807|+|MAG
loop_chr19-chr19-20777|K562_RAD21_17m	Enhancer	Enhancer	5037	4720	chr19:19892433-19895847|-|AC011477.3	chr19:19892433-19895847|-|AC011477.3
