chromosome1	x1	x2	chromosome2	y1	y2	color	loopId	distance	rawTargetCounts	scaledTargetCounts	rawControlCounts	rawTargetNearbyMeanCounts	scaledTargetNearbyMeanCounts	rawControlNearbyMeanCounts	rawTargetES	rawControlES	targetDensity	controlDensity	rawFc	scaledFc	poissonPvalue
chr19	50723450	50725358	chr19	50780862	50784874	"0,255,255"	loop_chr19-chr19-20655|K562_RAD21_17m	58464.0	44	17.340672358986282	1	10.75	5.841107138007779	0.0	4.093023255813954	1.0	0.4372019077901431	0.00993640641073603	5.459431703501707	4.11608793290326	3.964048840021165e-11
chr19	45200085	45201462	chr19	45338522	45339149	"0,255,255"	loop_chr19-chr19-20666|K562_RAD21_17m	138062.0	22	10.153950783734501	0	0.75	0.7475804136827622	0.0	22.0	0.0	0.6457672889515087	0.029353056862054534	inf	inf	3.6204e-296
chr19	17619039	17619412	chr19	17619425	17619754	"0,255,255"	loop_chr19-chr19-20672|K562_RAD21_17m	364.0	18	8.696505514147391	0	6.25	3.8427246127126296	0.5	2.88	0.0	1.5082956259426847	0.08379419651218988	inf	inf	0.002251776880304318
chr19	3482978	3483099	chr19	3485140	3485202	"0,255,255"	loop_chr19-chr19-20674|K562_RAD21_17m	2132.5	15	7.554530147022621	0	3.75	2.5902739714452885	0.0	4.0	0.0	4.821600771456123	0.32144003252217107	inf	inf	3.6204e-296
chr19	14265636	14265674	chr19	14265899	14265925	"0,255,255"	loop_chr19-chr19-20675|K562_RAD21_17m	257.0	15	7.554530147022621	0	3.25	2.3193171678736664	0.0	4.615384615384615	0.0	13.786764705882353	0.9191175929930828	inf	inf	3.6204e-296
chr19	50704198	50706036	chr19	50781823	50784219	"0,255,255"	loop_chr19-chr19-20677|K562_RAD21_17m	77904.0	42	16.728866718667575	3	11.0	5.945716197392579	0.75	3.8181818181818183	3.0	0.5835116285531691	0.04167939958778268	3.807355006922016	2.479305308834938	0.0044921985050900715
chr19	17298441	17298474	chr19	17298604	17298768	"0,255,255"	loop_chr19-chr19-20684|K562_RAD21_17m	228.5	14	7.16262632531815	0	0.0	0.0	0.0	14.0	0.0	4.180352343983279	0.29859657843430093	inf	inf	3.6204e-296
chr19	18986933	18987250	chr19	18988597	18988664	"0,255,255"	loop_chr19-chr19-20687|K562_RAD21_17m	1539.0	14	7.16262632531815	0	0.0	0.0	0.0	14.0	0.0	2.144607843137255	0.15318626549884712	inf	inf	3.6204e-296
chr19	47812513	47814051	chr19	47862455	47864502	"0,255,255"	loop_chr19-chr19-20689|K562_RAD21_17m	50196.5	24	10.859561952439838	1	9.5	5.309383434973144	0.5	2.526315789473684	1.0	0.39379768643859214	0.016408235969750988	4.584962585585565	3.4408940044947776	0.004034048017775045
chr19	1286307	1286323	chr19	1286419	1286504	"0,255,255"	loop_chr19-chr19-20693|K562_RAD21_17m	146.5	14	7.16262632531815	0	0.0	0.0	0.0	14.0	0.0	8.153756552125802	0.5824111480352208	inf	inf	3.6204e-296
