chromosome1	x1	x2	chromosome2	y1	y2	color	loopId	distance	rawTargetCounts	scaledTargetCounts	rawControlCounts	rawTargetNearbyMeanCounts	scaledTargetNearbyMeanCounts	rawControlNearbyMeanCounts	rawTargetES	rawControlES	targetDensity	controlDensity	rawFc	scaledFc	poissonPvalue
chr17	28755076	28755094	chr17	28757212	28757225	"0,255,255"	loop_chr17-chr17-7076|activate_100m	2133.5	73	81.37398932083906	0	27.25	29.307843329937615	0.0	2.6788990825688073	0.0	23.548387096774192	0.3225806451612903	inf	inf	9.407200000000001e-296
chr17	28926161	28926730	chr17	28927676	28928280	"0,255,255"	loop_chr17-chr17-7080|activate_100m	1532.5	75	83.68553656398034	14	19.75	20.994536009870977	8.5	3.7974683544303796	1.6470588235294117	0.6393861892583121	0.11935208866155157	2.4214637684382794	2.579551475049969	3.1977085585615137e-31
chr17	29138537	29139066	chr17	29139755	29140584	"0,255,255"	loop_chr17-chr17-7082|activate_100m|loop_chr17-chr17-6862|resting_100m	1368.0	72	80.21907422273829	23	16.25	17.152022747419462	13.5	4.430769230769231	1.7037037037037037	0.5301914580265096	0.16936671575846832	1.6463630453853	1.8023114554942232	1.6309089110429922e-15
chr17	4945416	4945421	chr17	4953364	4953369	"0,255,255"	loop_chr17-chr17-7086|activate_100m	7948.0	21	22.373122941500352	0	5.25	5.3185954763810654	0.0	4.0	0.0	21.0	1.0	inf	inf	9.407200000000001e-296
chr17	31492988	31493417	chr17	31494286	31494609	"0,255,255"	loop_chr17-chr17-7087|activate_100m|loop_chr17-chr17-6697|resting_100m	1245.0	90	101.08992802123593	39	29.0	31.26059671818012	13.5	3.103448275862069	2.888888888888889	1.196808510638298	0.5186170212765958	1.2064508774674252	1.3740932340518182	9.26552755613298e-12
chr17	74751855	74751932	chr17	74755007	74755069	"0,255,255"	loop_chr17-chr17-7095|activate_100m	3144.5	18	19.069881589446158	0	4.75	4.794600066890395	1.0	3.789473684210526	0.0	1.2949640287769784	0.07194244604316546	inf	inf	2.994269860998876e-13
chr17	51415133	51415136	chr17	51417672	51417676	"0,255,255"	loop_chr17-chr17-7097|activate_100m	2539.5	17	17.973088096686716	0	5.0	5.056359749467925	0.0	3.4	0.0	24.28571428571428	1.4285714285714284	inf	inf	9.407200000000001e-296
chr17	27166692	27166695	chr17	27168469	27168473	"0,255,255"	loop_chr17-chr17-7100|activate_100m	1777.5	17	17.973088096686716	0	5.25	5.3185954763810654	0.0	3.238095238095238	0.0	24.28571428571428	1.4285714285714284	inf	inf	9.407200000000001e-296
chr17	54909522	54909527	chr17	54911523	54911524	"0,255,255"	loop_chr17-chr17-7101|activate_100m	1999.0	15	15.786669396867383	0	0.0	0.0	0.0	15.0	0.0	25.0	1.6666666666666665	inf	inf	9.407200000000001e-296
chr17	82334973	82334976	chr17	82398977	82398980	"0,255,255"	loop_chr17-chr17-7102|activate_100m	64004.0	15	15.786669396867383	0	3.75	3.752847050491901	0.0	4.0	0.0	25.0	1.6666666666666665	inf	inf	9.407200000000001e-296
chr17	48411528	48411813	chr17	48412866	48413223	"0,255,255"	loop_chr17-chr17-7109|activate_100m	1374.0	24	25.693608185645687	2	5.5	5.581285366405407	1.5	4.363636363636363	1.3333333333333333	0.3738317757009345	0.03115264797507788	3.5849625007211543	3.683337598828399	2.982822441660946e-14
chr17	41861857	41861860	chr17	41863540	41863543	"0,255,255"	loop_chr17-chr17-7120|activate_100m	1683.0	13	13.610845440074888	0	3.25	3.235604666214274	0.0	4.0	0.0	21.666666666666664	1.6666666666666665	inf	inf	9.407200000000001e-296
chr17	42099961	42099965	chr17	42104227	42104231	"0,255,255"	loop_chr17-chr17-7121|activate_100m	4266.0	13	13.610845440074888	0	6.25	6.371889080942562	0.0	2.08	0.0	16.25	1.25	inf	inf	9.407200000000001e-296
chr17	62503723	62503727	chr17	62505292	62505296	"0,255,255"	loop_chr17-chr17-7125|activate_100m	1569.0	13	13.610845440074888	0	3.75	3.752847050491901	0.0	3.466666666666667	0.0	16.25	1.25	inf	inf	9.407200000000001e-296
chr17	41547939	41548235	chr17	41549276	41549462	"0,255,255"	loop_chr17-chr17-7126|activate_100m	1282.0	19	20.168891811425084	2	3.5	3.4938900656724083	1.0	5.428571428571429	2.0	0.3941908713692946	0.04149377593360996	3.247927513443585	3.3340599115063885	6.061746996128416e-09
chr17	28188099	28188100	chr17	28190313	28190319	"0,255,255"	loop_chr17-chr17-7128|activate_100m	2216.5	13	13.610845440074888	0	0.0	0.0	0.0	13.0	0.0	18.571428571428573	1.4285714285714284	inf	inf	9.407200000000001e-296
chr17	44202427	44202486	chr17	44203826	44203853	"0,255,255"	loop_chr17-chr17-7130|activate_100m	1383.0	12	12.527380609184974	0	0.75	0.7079473719790254	0.0	12.0	0.0	1.3953488372093021	0.11627906976744186	inf	inf	9.407200000000001e-296
chr17	47946901	47947253	chr17	47948710	47949812	"0,255,255"	loop_chr17-chr17-7131|activate_100m|loop_chr17-chr17-6926|resting_100m	2184.0	35	37.98690856821511	13	1.0	0.953845586631926	0.0	35.0	13.0	0.24071526822558456	0.08940852819807428	1.4288432988038728	1.5469906848328887	0.0038354644983769268
chr17	27471290	27472619	chr17	27473429	27474063	"0,255,255"	loop_chr17-chr17-7133|activate_100m|loop_chr17-chr17-7547|resting_100m	1791.5	64	71.00141801415513	23	22.75	24.30812377052593	16.25	2.8131868131868134	1.4153846153846155	0.32603158430973	0.11716760061130922	1.4764380439429878	1.6262139767090886	8.008785391827517e-11
chr17	72030488	72030523	chr17	72032121	72032261	"0,255,255"	loop_chr17-chr17-7135|activate_100m	1685.5	12	12.527380609184974	0	0.0	0.0	0.0	12.0	0.0	0.6857142857142857	0.05714285714285715	inf	inf	9.407200000000001e-296
chr17	33976938	33976940	chr17	58049416	58049419	"0,255,255"	loop_chr17-chr17-7138|activate_100m	24072478.5	11	11.447194257956545	0	1.0	0.953845586631926	0.0	11.0	0.0	22.000000000000004	2.0	inf	inf	9.407200000000001e-296
chr17	2192625	2193034	chr17	2195431	2196091	"0,255,255"	loop_chr17-chr17-7139|activate_100m	2931.5	23	24.585004205701253	2	3.75	3.752847050491901	1.5	6.133333333333334	1.3333333333333333	0.21515434985968196	0.018709073900841908	3.523561956057012	3.6197066968445	3.7408749110810967e-13
