loopId	chrA	startA	endA	chrB	startB	endB	distance(bp)	centerA	centerB	rawTargetAnchorAReads	rawTargetAnchorBReads	rawControlAnchorAReads	rawControlAnchorBReads	scaledTargetAnchorAReads	scaledTargetAnchorBReads	rawTargetCounts	scaledTargetCounts	rawControlCounts	rawTargetNearbyMedianCounts	scaledTargetNearbyMedianCounts	rawControlNearbyMedianCounts	rawTargetES	rawControlES	targetDensity	controlDensity	rawFc	scaledFc	poissonPvalue	significant
loop_chr19-chr19-20655|K562_RAD21_17m	chr19	50723450	50725358	chr19	50780862	50784874	58464.0	50724404.0	50782868.0	360	583	32	350	87.8808645570723	127.51161871861551	44	17.340672358986282	1	10.75	5.841107138007778	0.0	4.093023255813954	1.0	0.4372019077901431	0.00993640641073603	5.459431703501707	4.11608793290326	3.964048840021165e-11	1
loop_chr19-chr19-20666|K562_RAD21_17m	chr19	45200085	45201462	chr19	45338522	45339149	138062.0	45200773.5	45338835.5	186	250	23	206	52.778707563701495	66.31620795040338	22	10.1539507837345	0	0.75	0.7475804136827622	0.0	22.0	0.0	0.6457672889515087	0.02935305686205453	inf	inf	3.6203999999999977e-296	1
loop_chr19-chr19-20672|K562_RAD21_17m	chr19	17619039	17619412	chr19	17619425	17619754	364.0	17619225.5	17619589.5	18	22	4	2	8.696505514147391	10.1539507837345	18	8.696505514147391	0	6.25	3.8427246127126296	0.5	2.88	0.0	1.5082956259426847	0.08379419651218988	inf	inf	0.0022517768803043178	1
loop_chr19-chr19-20674|K562_RAD21_17m	chr19	3482978	3483099	chr19	3485140	3485202	2132.5	3483038.5	3485171.0	19	44	0	12	9.067237032661367	17.340672358986282	15	7.554530147022621	0	3.75	2.5902739714452885	0.0	4.0	0.0	4.821600771456123	0.3214400325221711	inf	inf	3.6203999999999977e-296	1
loop_chr19-chr19-20675|K562_RAD21_17m	chr19	14265636	14265674	chr19	14265899	14265925	257.0	14265655.0	14265912.0	15	15	1	0	7.554530147022621	7.554530147022621	15	7.554530147022621	0	3.25	2.3193171678736664	0.0	4.615384615384615	0.0	13.786764705882351	0.9191175929930828	inf	inf	3.6203999999999977e-296	1
loop_chr19-chr19-20677|K562_RAD21_17m	chr19	50704198	50706036	chr19	50781823	50784219	77904.0	50705117.0	50783021.0	423	534	83	323	99.53409336078535	119.15464051949577	42	16.728866718667575	3	11.0	5.94571619739258	0.75	3.8181818181818175	3.0	0.5835116285531691	0.04167939958778268	3.807355006922016	2.479305308834938	0.0044921985050900715	1
loop_chr19-chr19-20684|K562_RAD21_17m	chr19	17298441	17298474	chr19	17298604	17298768	228.5	17298457.5	17298686.0	14	14	2	2	7.162626325318151	7.162626325318151	14	7.162626325318151	0	0.0	0.0	0.0	14.0	0.0	4.180352343983279	0.2985965784343009	inf	inf	3.6203999999999977e-296	1
loop_chr19-chr19-20687|K562_RAD21_17m	chr19	18986933	18987250	chr19	18988597	18988664	1539.0	18987091.5	18988630.5	162	14	52	0	47.438749206534034	7.162626325318151	14	7.162626325318151	0	0.0	0.0	0.0	14.0	0.0	2.144607843137255	0.15318626549884712	inf	inf	3.6203999999999977e-296	1
loop_chr19-chr19-20689|K562_RAD21_17m	chr19	47812513	47814051	chr19	47862455	47864502	50196.5	47813282.0	47863478.5	125	212	33	68	38.831914804234465	58.38923505749717	24	10.859561952439837	1	9.5	5.309383434973143	0.5	2.526315789473684	1.0	0.39379768643859214	0.016408235969750988	4.584962585585566	3.4408940044947776	0.0040340480177750455	1
loop_chr19-chr19-20693|K562_RAD21_17m	chr19	1286307	1286323	chr19	1286419	1286504	146.5	1286315.0	1286461.5	14	16	1	1	7.162626325318151	7.940520280416436	14	7.162626325318151	0	0.0	0.0	0.0	14.0	0.0	8.153756552125802	0.5824111480352208	inf	inf	3.6203999999999977e-296	1
loop_chr19-chr19-20694|K562_RAD21_17m	chr19	41222125	41222185	chr19	41222334	41222542	283.0	41222155.0	41222438.0	14	14	0	4	7.162626325318151	7.162626325318151	14	7.162626325318151	0	0.0	0.0	0.0	14.0	0.0	3.0728709394205445	0.21949076847596005	inf	inf	3.6203999999999977e-296	1
loop_chr19-chr19-20697|K562_RAD21_17m	chr19	38402860	38404728	chr19	38441181	38445479	39536.0	38403794.0	38443330.0	487	244	386	59	110.97284504350976	65.08391841568135	34	14.210485076576099	1	2.5	1.8940103746519041	0.5	13.6	1.0	0.3243593902043464	0.009539981503658337	5.08746292611475	3.8288838968731564	1.6363674161032526e-07	1
loop_chr19-chr19-20704|K562_RAD21_17m	chr19	57399655	57399750	chr19	57399995	57400013	301.5	57399702.5	57400004.0	13	13	0	1	6.764285036394197	6.764285036394197	13	6.764285036394197	0	0.0	0.0	0.0	13.0	0.0	6.76730869338886	0.520562176562454	inf	inf	3.6203999999999977e-296	1
loop_chr19-chr19-20705|K562_RAD21_17m	chr19	3586386	3587114	chr19	3618645	3618748	31946.5	3586750.0	3618696.5	136	96	36	64	41.44485838110377	31.671896122784098	14	7.162626325318151	0	0.0	0.0	0.0	14.0	0.0	0.9910101224605364	0.07078643315470193	inf	inf	3.6203999999999977e-296	1
loop_chr19-chr19-20707|K562_RAD21_17m	chr19	55616633	55616740	chr19	55616917	55617006	275.0	55616686.5	55616961.5	13	13	1	2	6.764285036394197	6.764285036394197	13	6.764285036394197	0	3.25	2.3193171678736664	0.0	4.0	0.0	3.9015606242497	0.3001200303650882	inf	inf	3.6203999999999977e-296	1
