Promoter	PromoterTarget	directEnhancer	indirectEnhancer	directPromoter	indirectPromoter	directEnhancerHub	indirectEnhancerHub
chr10:101060361-101061866|Promoter	chr10:101061841-101065592|+|KAZALD1,chr10:101060029-101061005|-|AL133215.2	chr10:101042877-101043557|Enhancer		chr10:101062420-101062762|Promoter			
chr10:101062420-101062762|Promoter	chr10:101061841-101065592|+|KAZALD1		chr10:101042877-101043557|Enhancer	chr10:101060361-101061866|Promoter			
chr10:102450237-102450438|Promoter	chr10:102449817-102461106|+|RPARP-AS1			chr10:102461232-102461384|Promoter			
chr10:102461232-102461384|Promoter	chr10:102461395-102477045|+|MFSD13A			chr10:102450237-102450438|Promoter			
chr10:103451145-103451356|Promoter	chr10:103450196-103450852|+|AL139339.2			chr10:103452329-103452453|Promoter			
chr10:103452329-103452453|Promoter	chr10:103446786-103452402|-|CALHM2			chr10:103451145-103451356|Promoter			
chr10:103854309-103854313|Promoter	chr10:103594027-103855543|-|SH3PXD2A	chr10:103852459-103852461|Enhancer					
chr10:103918483-103918788|Promoter	chr10:103877569-103918184|-|STN1	chr10:103920384-103920984|Enhancer					
chr10:104232397-104232749|Promoter	chr10:104129888-104232362|-|CFAP43	chr10:104256338-104257168|Enhancer					
chr10:104269057-104269300|Promoter	chr10:104268873-104304950|+|GSTO2	chr10:104272287-104272430|Enhancer					
chr10:104321989-104322608|Promoter	chr10:104323369-104327004|+|ITPRIP-AS1	chr10:104308517-104309046|Enhancer					
chr10:1048961-1049955|Promoter	chr10:1039152-1049170|-|IDI1,chr10:1049538-1132384|+|WDR37	chr10:1051916-1051943|Enhancer,chr10:1043493-1044010|Enhancer	chr10:1046072-1046440|Enhancer,chr10:1044878-1045316|Enhancer	chr10:988276-988977|Promoter,chr10:1050543-1051406|Promoter		chr10:1043493-1044010|Enhancer	chr10:1044878-1045316|Enhancer
chr10:1050543-1051406|Promoter	chr10:1049538-1132384|+|WDR37		chr10:1044878-1045316|Enhancer,chr10:1051916-1051943|Enhancer,chr10:1046072-1046440|Enhancer,chr10:1043493-1044010|Enhancer	chr10:1048961-1049955|Promoter	chr10:988276-988977|Promoter		chr10:1043493-1044010|Enhancer
chr10:109922629-109922953|Promoter	chr10:109864766-109923553|-|XPNPEP1	chr10:109920113-109922124|Enhancer	chr10:109909927-109910904|Enhancer				
chr10:110008634-110009275|Promoter	chr10:109940104-110008381|-|ADD3-AS1	chr10:110076270-110078138|Enhancer	chr10:110069127-110070260|Enhancer,chr10:110081856-110082123|Enhancer,chr10:110066328-110068917|Enhancer,chr10:110059492-110060211|Enhancer,chr10:110013636-110014193|Enhancer,chr10:110080776-110081080|Enhancer	chr10:110009781-110010781|Promoter			chr10:110066328-110068917|Enhancer
