chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	P2LL	distance	counts_X	counts_Y	density	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)	-log10(poisson_p-value_peak_x)	-log10(poisson_p-value_peak_y)
chr2	236510639	236515612	chr2	236568037	236571610	"0,255,255"	44	chr2-chr2-0	0.0	44.0	44.0	56698.0	381	475	0.3028592489899978	300.0	300.0	96.16757841982744	211.13198758129985	287.9321788648525
chr2	98647905	98652999	chr2	98831892	98839097	"0,255,255"	54	chr2-chr2-1	0.0	54.0	54.0	185042.5	514	548	0.2582706237404743	300.0	300.0	112.18712891763604	300.0	300.0
chr2	218876474	218878621	chr2	218896740	218899328	"0,255,255"	64	chr2-chr2-2	0.0	64.0	64.0	20486.5	447	530	0.7950803930094335	300.0	300.0	143.17593364937417	290.862125653649	300.0
chr2	37412246	37417455	chr2	37829630	37834205	"0,255,255"	48	chr2-chr2-3	0.0	48.0	48.0	417067.0	584	565	0.28858639060453295	300.0	300.0	93.70363805573162	259.34222825062835	300.0
chr2	112623784	112631246	chr2	112724240	112727638	"0,255,255"	54	chr2-chr2-4	0.0	54.0	54.0	98424.0	512	694	0.2924926704773567	300.0	300.0	106.51038075837594	187.13528444071372	300.0
chr2	48106936	48113515	chr2	48414968	48425229	"0,255,255"	57	chr2-chr2-5	0.0	57.0	57.0	309873.0	685	619	0.1991057588621595	300.0	300.0	109.24299844493818	300.0	300.0
chr2	28956809	28966004	chr2	29194031	29200811	"0,255,255"	51	chr2-chr2-6	0.0	51.0	51.0	236014.5	523	486	0.18779341618337542	300.0	300.0	107.00266357789272	280.75565658083053	280.64177829139214
chr2	227128306	227131061	chr2	227235967	227240031	"0,255,255"	30	chr2-chr2-7	0.0	30.0	30.0	108315.5	336	197	0.25879245909176113	300.0	300.0	74.19172037619344	237.85204974880705	105.73339247369277
chr2	112598336	112604146	chr2	112724802	112727995	"0,255,255"	38	chr2-chr2-8	0.0	38.0	38.0	125157.5	332	673	0.24828323738300315	300.0	300.0	76.98768005491563	77.28370380693222	300.0
chr2	237508713	237513414	chr2	237569174	237572818	"0,255,255"	44	chr2-chr2-9	0.0	44.0	44.0	59932.5	398	462	0.3101540014222314	300.0	300.0	95.84064775470218	254.6405530770293	240.77423914740868
chr2	197190643	197192950	chr2	197307230	197312961	"0,255,255"	33	chr2-chr2-10	0.0	33.0	33.0	118299.0	309	641	0.24149991993050396	300.0	300.0	66.59203695922146	142.71187140646614	300.0
chr2	85418717	85421641	chr2	85550991	85556189	"0,255,255"	35	chr2-chr2-11	0.0	35.0	35.0	133411.0	479	352	0.2534872455435244	300.0	300.0	74.01182161363033	300.0	137.9018312436614
chr2	11477199	11482441	chr2	11582107	11584682	"0,255,255"	45	chr2-chr2-12	0.0	45.0	45.0	103574.5	332	539	0.3386284594883047	300.0	300.0	99.1050701774158	173.4553123249893	300.0
chr2	231527750	231533467	chr2	231554410	231559948	"0,255,255"	42	chr2-chr2-13	0.03	42.0	42.0	26570.5	371	340	0.21951027009910318	22.70972312761336	51.57175911544464	97.83772750526535	100.81474383045447	91.92142515837169
chr2	20659937	20661975	chr2	20959566	20965124	"0,255,255"	30	chr2-chr2-14	0.0	30.0	30.0	301389.0	381	298	0.23232040265228	300.0	300.0	66.7490377503302	182.37447481526934	170.79460546272952
chr2	16611642	16616053	chr2	16755496	16757896	"0,255,255"	21	chr2-chr2-15	0.0	21.0	21.0	142848.5	252	291	0.18136750036451374	300.0	300.0	47.59926455644567	90.43895865851768	228.34941060505574
chr2	11690911	11693457	chr2	11778773	11782364	"0,255,255"	22	chr2-chr2-16	0.0	22.0	22.0	88384.5	190	339	0.21087136564025755	300.0	300.0	51.631211015605	62.62968687502213	195.86755912081944
chr2	96136235	96140771	chr2	96173347	96175901	"0,255,255"	40	chr2-chr2-17	0.0	40.0	20.0	36121.0	337	529	0.3318675653120299	300.0	300.0	85.99743902173252	56.0411844703283	300.0
chr2	218301242	218301996	chr2	218352207	218356906	"0,255,255"	25	chr2-chr2-18	0.0	25.0	25.0	52937.5	274	192	0.2696842378120177	300.0	300.0	62.36543062680508	220.77735904338354	69.81644437529575
chr2	177332556	177336358	chr2	177724641	177726402	"0,255,255"	19	chr2-chr2-19	0.0	19.0	19.0	391064.5	448	213	0.20090724304864077	300.0	300.0	40.05455319499278	276.14332763627715	122.07772563993953
chr2	46461185	46467105	chr2	46647316	46650873	"0,255,255"	37	chr2-chr2-20	0.0	37.0	37.0	184949.5	777	371	0.22965816821859447	300.0	300.0	70.28751739136084	300.0	154.59042588361388
chr2	158900859	158902276	chr2	159117258	159120381	"0,255,255"	20	chr2-chr2-21	0.0	20.0	20.0	217252.0	247	344	0.25913447555752117	300.0	300.0	43.60127671941838	201.31378306175583	223.06615361544095
chr2	88588795	88592783	chr2	88667633	88673788	"0,255,255"	40	chr2-chr2-22	0.0	40.0	40.0	79921.5	322	532	0.23197683506480252	300.0	300.0	86.73539890084727	167.17669393215257	300.0
