Promoter	PromoterTarget	directEnhancer	indirectEnhancer	directPromoter	indirectPromoter	directEnhancerHub	indirectEnhancerHub
chr10:101062976-101063124|Promoter	chr10:101061841-101065592|+|KAZALD1	chr10:101066179-101066488|Enhancer					
chr10:102434831-102436251|Promoter	chr10:102436512-102436584|+|MIR146B	chr10:102421595-102424687|Enhancer	chr10:102403919-102404053|Enhancer				
chr10:102917615-102920328|Promoter	chr10:102918294-103090222|+|CNNM2	chr10:102963000-102963995|Enhancer					
chr10:110208334-110209968|Promoter	chr10:110207850-110208591|-|AL360182.2	chr10:110217219-110218537|Enhancer					
chr10:110306198-110306552|Promoter	chr10:110290730-110304951|-|SMNDC1	chr10:110137148-110137439|Enhancer					
chr10:117165671-117165985|Promoter	chr10:117167678-117167774|-|MIR3663	chr10:116837064-116837787|Enhancer					
chr10:119206780-119207416|Promoter	chr10:119207589-119455619|+|GRK5	chr10:119299527-119300862|Enhancer					
chr10:119560857-119560961|Promoter	chr10:119562101-119562530|-|AC012468.1			chr10:119561026-119561271|Promoter			
chr10:119561026-119561271|Promoter	chr10:119562101-119562530|-|AC012468.1			chr10:119560857-119560961|Promoter			
chr10:12923797-12923892|Promoter	chr10:12924679-12924785|-|RNA5SP300			chr10:12924109-12924309|Promoter			
chr10:12924109-12924309|Promoter	chr10:12924679-12924785|-|RNA5SP300			chr10:12923797-12923892|Promoter			
chr10:132105155-132105343|Promoter	chr10:132104671-132184809|+|JAKMIP3			chr10:132105468-132105571|Promoter			
chr10:132105468-132105571|Promoter	chr10:132104671-132184809|+|JAKMIP3			chr10:132105155-132105343|Promoter			
chr10:132518334-132518556|Promoter	chr10:132511626-132518191|-|AL451069.1			chr10:132518717-132518914|Promoter			
chr10:132518717-132518914|Promoter	chr10:132511626-132518191|-|AL451069.1			chr10:132518334-132518556|Promoter			
chr10:133069231-133069306|Promoter	chr10:133070929-133131675|+|ADGRA1			chr10:133069368-133069443|Promoter			
chr10:133069368-133069443|Promoter	chr10:133070929-133131675|+|ADGRA1			chr10:133069231-133069306|Promoter			
chr10:133143462-133144058|Promoter	chr10:133144612-133145304|-|RPL5P28	chr10:133497499-133497652|Enhancer					
chr10:133246741-133247538|Promoter	chr10:133247511-133247620|-|MIR202	chr10:133218256-133219220|Enhancer					
chr10:13528030-13528222|Promoter	chr10:13528516-13530262|+|AL590677.1			chr10:13528290-13528332|Promoter			
chr10:13528290-13528332|Promoter	chr10:13528516-13530262|+|AL590677.1			chr10:13528030-13528222|Promoter			
chr10:16521383-16521415|Promoter	chr10:16513734-16521879|-|C1QL3			chr10:16521651-16521653|Promoter			
chr10:16521651-16521653|Promoter	chr10:16513734-16521879|-|C1QL3			chr10:16521383-16521415|Promoter			
chr10:17236586-17236729|Promoter	chr10:17233325-17234833|-|AL133415.1	chr10:17236911-17236960|Enhancer					
chr10:18140687-18140789|Promoter	chr10:18140677-18543557|+|CACNB2			chr10:18140945-18141078|Promoter			
chr10:18140945-18141078|Promoter	chr10:18140677-18543557|+|CACNB2			chr10:18140687-18140789|Promoter			
chr10:21452023-21452088|Promoter	chr10:21452197-21452412|+|AL158209.1			chr10:21452169-21452197|Promoter			
chr10:21452169-21452197|Promoter	chr10:21452197-21452412|+|AL158209.1			chr10:21452023-21452088|Promoter			
chr10:22218475-22219081|Promoter	chr10:22218074-22221168|+|AL157831.2	chr10:21993325-21994213|Enhancer					
chr10:25113334-25114827|Promoter	chr10:25113058-25161236|+|LINC01516	chr10:25117827-25118945|Enhancer					
chr10:28677206-28677433|Promoter	chr10:28677521-28682932|+|BAMBI	chr10:28834511-28835058|Enhancer					
chr10:31927345-31929142|Promoter	chr10:31805404-31928876|-|ARHGAP12	chr10:31862417-31862562|Enhancer					
chr10:43348069-43349932|Promoter	chr10:43325833-43350792|-|AC068707.1	chr10:43455812-43456301|Enhancer,chr10:43395933-43397027|Enhancer				chr10:43395933-43397027|Enhancer	
chr10:43733901-43733989|Promoter	chr10:43732334-43732584|+|UQCRHP3			chr10:43734250-43734419|Promoter			
chr10:43734250-43734419|Promoter	chr10:43732334-43732584|+|UQCRHP3			chr10:43733901-43733989|Promoter			
chr10:437349-437359|Promoter	chr10:437561-441170|+|AL669841.1			chr10:437483-437552|Promoter			
