Promoter	PromoterTarget	directEnhancer	indirectEnhancer	directPromoter	indirectPromoter	directEnhancerHub	indirectEnhancerHub
chr10:100008624-100011108|Promoter	chr10:99875577-100009947|-|DNMBP	chr10:100020322-100021527|Enhancer,chr10:99937749-99939935|Enhancer,chr10:100044613-100047069|Enhancer				chr10:100044613-100047069|Enhancer	
chr10:100743585-100745575|Promoter	chr10:100745711-100829941|+|PAX2	chr10:100668467-100674332|Enhancer	chr10:100872374-100872516|Enhancer				
chr10:100969059-100969944|Promoter	chr10:100967688-100968135|+|AL133215.3	chr10:101012988-101015225|Enhancer			chr10:100986957-100988888|Promoter		
chr10:100986957-100988888|Promoter	chr10:100977821-100987515|-|MRPL43,chr10:100987367-100994403|+|TWNK	chr10:101012988-101015225|Enhancer			chr10:100969059-100969944|Promoter		
chr10:101599004-101603779|Promoter	chr10:101601417-101601497|+|MIR3158-1,chr10:101601417-101601497|-|MIR3158-2			chr10:101779064-101783204|Promoter			
chr10:101779064-101783204|Promoter	chr10:101770130-101780369|-|FGF8			chr10:101599004-101603779|Promoter			
chr10:102065208-102066137|Promoter	chr10:102065390-102068038|+|HPS6	chr10:102072914-102073134|Enhancer					
chr10:102501717-102506016|Promoter	chr10:102503987-102633535|+|SUFU,chr10:102479229-102502712|-|ACTR1A	chr10:102580476-102586955|Enhancer					
chr10:102642872-102648716|Promoter	chr10:102642792-102644140|-|AL391121.1	chr10:102678598-102679452|Enhancer,chr10:102661177-102661751|Enhancer,chr10:102701230-102701532|Enhancer		chr10:102712553-102715507|Promoter		chr10:102701230-102701532|Enhancer	
chr10:102712553-102715507|Promoter	chr10:102714636-102743492|+|SFXN2,chr10:102673731-102714397|-|ARL3		chr10:102678598-102679452|Enhancer,chr10:102661177-102661751|Enhancer,chr10:102701230-102701532|Enhancer	chr10:102642872-102648716|Promoter			chr10:102701230-102701532|Enhancer
chr10:102913744-102919427|Promoter	chr10:102918294-103090222|+|CNNM2,chr10:102914585-102915404|+|AL356608.1	chr10:103065255-103071349|Enhancer,chr10:103062487-103063407|Enhancer		chr10:103239789-103247303|Promoter	chr10:103191827-103195258|Promoter	chr10:103062487-103063407|Enhancer	
chr10:103191827-103195258|Promoter	chr10:103088017-103193306|-|NT5C2		chr10:103065255-103071349|Enhancer,chr10:103062487-103063407|Enhancer	chr10:103239789-103247303|Promoter	chr10:102913744-102919427|Promoter		chr10:103062487-103063407|Enhancer
chr10:103239789-103247303|Promoter	chr10:103245887-103248016|+|RPEL1		chr10:103065255-103071349|Enhancer,chr10:103062487-103063407|Enhancer	chr10:103191827-103195258|Promoter,chr10:102913744-102919427|Promoter			chr10:103062487-103063407|Enhancer
chr10:103367487-103369308|Promoter	chr10:103367976-103389065|+|TAF5			chr10:103395652-103399388|Promoter			
chr10:103395652-103399388|Promoter	chr10:103389041-103396492|-|ATP5MD,chr10:103396626-103446294|+|PDCD11			chr10:103367487-103369308|Promoter			
chr10:103451498-103452397|Promoter	chr10:103446786-103452402|-|CALHM2	chr10:103471046-103472531|Enhancer					
chr10:110496648-110501383|Promoter	chr10:110497907-110511533|+|DUSP5	chr10:110395904-110396885|Enhancer,chr10:110309662-110315398|Enhancer,chr10:110409449-110417182|Enhancer,chr10:110544737-110548178|Enhancer,chr10:110353344-110358765|Enhancer	chr10:110441616-110441980|Enhancer,chr10:110388142-110388568|Enhancer,chr10:110502542-110504400|Enhancer		chr10:110566764-110567833|Promoter	chr10:110409449-110417182|Enhancer	chr10:110502542-110504400|Enhancer
chr10:110566764-110567833|Promoter	chr10:110567691-110604636|+|SMC3	chr10:110309662-110315398|Enhancer	chr10:110388142-110388568|Enhancer,chr10:110395904-110396885|Enhancer,chr10:110441616-110441980|Enhancer,chr10:110502542-110504400|Enhancer,chr10:110409449-110417182|Enhancer,chr10:110544737-110548178|Enhancer,chr10:110353344-110358765|Enhancer		chr10:110496648-110501383|Promoter		chr10:110409449-110417182|Enhancer
chr10:110870828-110878609|Promoter	chr10:110871795-110900006|+|PDCD4,chr10:110869868-110872233|-|PDCD4-AS1	chr10:110744834-110749527|Enhancer,chr10:110802670-110805995|Enhancer	chr10:110841720-110845492|Enhancer,chr10:110723686-110725466|Enhancer,chr10:110889735-110894689|Enhancer			chr10:110744834-110749527|Enhancer	chr10:110889735-110894689|Enhancer
