loopId	mergedAnchorA	mergedAnchorB
loop_chr17-chr17-7076|activate_100m	chr17:28755076-28755094|Enhancer	chr17:28757212-28757225|Enhancer
loop_chr17-chr17-7080|activate_100m	chr17:28926066-28926730|Promoter	chr17:28927676-28928280|Promoter
loop_chr17-chr17-7082|activate_100m|loop_chr17-chr17-6862|resting_100m	chr17:29138372-29139066|Promoter	chr17:29139755-29140584|Promoter
loop_chr17-chr17-7086|activate_100m	chr17:4945141-4945749|Enhancer	chr17:4953364-4953369|Enhancer
loop_chr17-chr17-7087|activate_100m|loop_chr17-chr17-6697|resting_100m	chr17:31492988-31493417|Enhancer	chr17:31494286-31494609|Enhancer
loop_chr17-chr17-7095|activate_100m	chr17:74751855-74751932|Enhancer	chr17:74755007-74755069|Enhancer
loop_chr17-chr17-7097|activate_100m	chr17:51415133-51415136|Enhancer	chr17:51417672-51417676|Enhancer
loop_chr17-chr17-7100|activate_100m	chr17:27166692-27166695|Enhancer	chr17:27168469-27168473|Enhancer
loop_chr17-chr17-7101|activate_100m	chr17:54909522-54909527|Enhancer	chr17:54911523-54911524|Enhancer
loop_chr17-chr17-7102|activate_100m	chr17:82334973-82334976|Promoter	chr17:82398977-82398980|Enhancer
loop_chr17-chr17-7109|activate_100m	chr17:48411528-48411813|Enhancer	chr17:48412472-48413223|Enhancer
loop_chr17-chr17-7120|activate_100m	chr17:41861857-41861860|Enhancer	chr17:41863540-41863543|Promoter
loop_chr17-chr17-7121|activate_100m	chr17:42099961-42099965|Promoter	chr17:42104227-42104231|Enhancer
loop_chr17-chr17-7125|activate_100m	chr17:62503723-62503727|Enhancer	chr17:62505292-62505296|Enhancer
loop_chr17-chr17-7126|activate_100m	chr17:41547939-41548235|Enhancer	chr17:41549276-41549462|Enhancer
loop_chr17-chr17-7128|activate_100m	chr17:28188099-28188100|Enhancer	chr17:28190313-28190319|Enhancer
loop_chr17-chr17-7130|activate_100m	chr17:44202427-44202486|Enhancer	chr17:44203826-44203853|Enhancer
loop_chr17-chr17-7131|activate_100m|loop_chr17-chr17-6926|resting_100m	chr17:47946901-47947253|Promoter	chr17:47948710-47950340|Promoter
loop_chr17-chr17-7133|activate_100m|loop_chr17-chr17-7547|resting_100m	chr17:27471290-27472619|Enhancer	chr17:27473429-27474063|Enhancer
loop_chr17-chr17-7135|activate_100m	chr17:72030488-72030523|Promoter	chr17:72032121-72032261|Promoter
loop_chr17-chr17-7138|activate_100m	chr17:33976938-33976940|Promoter	chr17:58049416-58049419|Enhancer
loop_chr17-chr17-7139|activate_100m	chr17:2192625-2193034|Enhancer	chr17:2195431-2196091|Enhancer
loop_chr17-chr17-7141|activate_100m	chr17:2214500-2214642|Promoter	chr17:2215983-2216063|Promoter
loop_chr17-chr17-7142|activate_100m	chr17:16443178-16443180|Promoter	chr17:16447380-16447385|Enhancer
loop_chr17-chr17-7143|activate_100m	chr17:32445281-32447038|Promoter	chr17:32453584-32453588|Enhancer
loop_chr17-chr17-7145|activate_100m	chr17:80134589-80134593|Enhancer	chr17:80305886-80305889|Enhancer
loop_chr17-chr17-7147|activate_100m	chr17:47717521-47718996|Enhancer	chr17:47719405-47719697|Enhancer
loop_chr17-chr17-7151|activate_100m	chr17:79862795-79862799|Enhancer	chr17:79866751-79866754|Enhancer
loop_chr17-chr17-7152|activate_100m	chr17:80254855-80255701|Enhancer	chr17:80258797-80259195|Promoter
loop_chr17-chr17-7153|activate_100m	chr17:49390397-49390400|Enhancer	chr17:49415456-49415458|Promoter
loop_chr17-chr17-7154|activate_100m	chr17:44865345-44865449|Enhancer	chr17:44866364-44866650|Enhancer
loop_chr17-chr17-7156|activate_100m	chr17:57994108-57994614|Promoter	chr17:57995321-57995774|Promoter
loop_chr17-chr17-7158|activate_100m	chr17:67421910-67422231|Enhancer	chr17:67431339-67432170|Enhancer
loop_chr17-chr17-7160|activate_100m	chr17:8186520-8188163|Promoter	chr17:8192196-8192635|Promoter
loop_chr17-chr17-7162|activate_100m	chr17:59859012-59859020|Enhancer	chr17:59862978-59862979|Enhancer
loop_chr17-chr17-7163|activate_100m	chr17:3910397-3910399|Enhancer	chr17:3911443-3911447|Enhancer
loop_chr17-chr17-7165|activate_100m	chr17:33815249-33815251|Promoter	chr17:33822378-33822382|Enhancer
loop_chr17-chr17-7167|activate_100m	chr17:4945141-4945749|Enhancer	chr17:4946456-4947327|Enhancer
loop_chr17-chr17-7168|activate_100m	chr17:75207543-75207709|Promoter	chr17:75209250-75209275|Enhancer
loop_chr17-chr17-7169|activate_100m	chr17:51537765-51537767|Enhancer	chr17:51538910-51538915|Enhancer
loop_chr17-chr17-7170|activate_100m	chr17:64637653-64637664|Enhancer	chr17:64644083-64644084|Enhancer
loop_chr17-chr17-7171|activate_100m	chr17:29085701-29085706|Enhancer	chr17:46926619-46926620|Enhancer
loop_chr17-chr17-7172|activate_100m	chr17:80624802-80624804|Enhancer	chr17:80632688-80632693|Enhancer
loop_chr17-chr17-7175|activate_100m	chr17:65022434-65023612|Enhancer	chr17:65027401-65027849|Enhancer
loop_chr17-chr17-7178|activate_100m	chr17:40541632-40541919|Enhancer	chr17:40542904-40543316|Enhancer
loop_chr17-chr17-7180|activate_100m	chr17:63459537-63459539|Enhancer	chr17:63460987-63460989|Enhancer
loop_chr17-chr17-7181|activate_100m	chr17:56836626-56836629|Enhancer	chr17:56844516-56844518|Enhancer
loop_chr17-chr17-7182|activate_100m	chr17:6496848-6496851|Enhancer	chr17:6498101-6498103|Enhancer
loop_chr17-chr17-7183|activate_100m	chr17:17849110-17849659|Enhancer	chr17:17853708-17854143|Enhancer
loop_chr17-chr17-7184|activate_100m	chr17:8956536-8956819|Enhancer	chr17:8959099-8959437|Enhancer
loop_chr17-chr17-7185|activate_100m	chr17:21364983-21364986|Enhancer	chr17:21368313-21368316|Enhancer
