anchor	chrom	start	end	type	nearestDistanceToTSS	nearestGene	nearestGeneLoc
chr17:1201191-1201418|Enhancer	chr17	1201191	1201418	Enhancer	13982	ABR	chr17:1003518-1187322|-|ABR
chr17:1203139-1203363|Enhancer	chr17	1203139	1203363	Enhancer	15929	ABR	chr17:1003518-1187322|-|ABR
chr17:1823481-1823966|Enhancer	chr17	1823481	1823966	Enhancer	6157	SMYD4	chr17:1779485-1829881|-|SMYD4
chr17:1829825-1830066|Promoter	chr17	1829825	1830066	Promoter	0	SMYD4,RPA1	chr17:1779485-1829881|-|SMYD4,chr17:1829984-1899554|+|RPA1
chr17:2392351-2392632|Enhancer	chr17	2392351	2392632	Enhancer	7644	AC006435.1	chr17:2384847-2386664|+|AC006435.1
chr17:2399672-2400051|Promoter	chr17	2399672	2400051	Promoter	1242	MNT	chr17:2384073-2401104|-|MNT
chr17:2400870-2402106|Promoter	chr17	2400870	2402106	Promoter	0	MNT	chr17:2384073-2401104|-|MNT
chr17:2481068-2481186|Enhancer	chr17	2481068	2481186	Enhancer	20833	AC006435.5	chr17:2460183-2460294|-|AC006435.5
chr17:2482297-2482631|Enhancer	chr17	2482297	2482631	Enhancer	22170	AC006435.5	chr17:2460183-2460294|-|AC006435.5
chr17:2791704-2793114|Enhancer	chr17	2791704	2793114	Enhancer	36704	RAP1GAP2	chr17:2755705-3037741|+|RAP1GAP2
chr17:2796223-2797315|Enhancer	chr17	2796223	2797315	Enhancer	41064	RAP1GAP2	chr17:2755705-3037741|+|RAP1GAP2
chr17:2814257-2815355|Enhancer	chr17	2814257	2815355	Enhancer	59101	RAP1GAP2	chr17:2755705-3037741|+|RAP1GAP2
chr17:2944021-2944239|Enhancer	chr17	2944021	2944239	Enhancer	21765	AC015921.1	chr17:2962248-2965895|-|AC015921.1
chr17:2945367-2945489|Enhancer	chr17	2945367	2945489	Enhancer	20467	AC015921.1	chr17:2962248-2965895|-|AC015921.1
chr17:3710985-3711320|Enhancer	chr17	3710985	3711320	Enhancer	10475	AC116914.2	chr17:3721628-3722488|+|AC116914.2
chr17:3723469-3723651|Promoter	chr17	3723469	3723651	Promoter	343	HASPIN	chr17:3723903-3726699|+|HASPIN
chr17:4108540-4108827|Enhancer	chr17	4108540	4108827	Enhancer	34346	ZZEF1	chr17:4004445-4143030|-|ZZEF1
chr17:4109652-4110538|Enhancer	chr17	4109652	4110538	Enhancer	32935	ZZEF1	chr17:4004445-4143030|-|ZZEF1
chr17:4738729-4741322|Promoter	chr17	4738729	4741322	Promoter	0	ZMYND15,CXCL16	chr17:4739833-4746119|+|ZMYND15,chr17:4733533-4739928|-|CXCL16
chr17:4747815-4748146|Enhancer	chr17	4747815	4748146	Enhancer	8052	CXCL16	chr17:4733533-4739928|-|CXCL16
chr17:4833940-4834429|Promoter	chr17	4833940	4834429	Promoter	844	MINK1	chr17:4833340-4898061|+|MINK1
chr17:4835484-4835659|Enhancer	chr17	4835484	4835659	Enhancer	2231	MINK1	chr17:4833340-4898061|+|MINK1
chr17:4903612-4903831|Enhancer	chr17	4903612	4903831	Enhancer	4303	C17orf107	chr17:4899418-4902934|+|C17orf107
chr17:4950315-4950508|Promoter	chr17	4950315	4950508	Promoter	683	ENO3	chr17:4951095-4957131|+|ENO3
chr17:4967170-4967406|Promoter	chr17	4967170	4967406	Promoter	529	SPAG7	chr17:4959226-4967817|-|SPAG7
chr17:4967817-4967977|Promoter	chr17	4967817	4967977	Promoter	0	SPAG7	chr17:4959226-4967817|-|SPAG7
chr17:5047359-5048091|Enhancer	chr17	5047359	5048091	Enhancer	4284	SLC52A1	chr17:5032600-5052009|-|SLC52A1
chr17:5049184-5049464|Enhancer	chr17	5049184	5049464	Enhancer	2685	SLC52A1	chr17:5032600-5052009|-|SLC52A1
chr17:5419074-5422506|Promoter	chr17	5419074	5422506	Promoter	0	RPAIN,NUP88	chr17:5419641-5432876|+|RPAIN,chr17:5384833-5419662|-|NUP88
chr17:5437803-5439456|Promoter	chr17	5437803	5439456	Promoter	0	C1QBP	chr17:5432777-5439155|-|C1QBP
chr17:5468951-5469199|Promoter	chr17	5468951	5469199	Promoter	0	AC004148.1,DHX33	chr17:5469092-5470360|+|AC004148.1,chr17:5440917-5468982|-|DHX33
chr17:5486411-5486894|Promoter	chr17	5486411	5486894	Promoter	278	MIS12	chr17:5486374-5490814|+|MIS12
chr17:5511959-5512287|Promoter	chr17	5511959	5512287	Promoter	414	AC055839.1	chr17:5512040-5512537|-|AC055839.1
chr17:5513641-5513978|Promoter	chr17	5513641	5513978	Promoter	1272	AC055839.1	chr17:5512040-5512537|-|AC055839.1
chr17:5584488-5585046|Promoter	chr17	5584488	5585046	Promoter	0	NLRP1	chr17:5501400-5584531|-|NLRP1
chr17:5585739-5586408|Promoter	chr17	5585739	5586408	Promoter	1542	NLRP1	chr17:5501400-5584531|-|NLRP1
chr17:5587273-5587636|Enhancer	chr17	5587273	5587636	Enhancer	2923	NLRP1	chr17:5501400-5584531|-|NLRP1
chr17:6574620-6575540|Enhancer	chr17	6574620	6575540	Enhancer	18525	PITPNM3	chr17:6451263-6556555|-|PITPNM3
chr17:6576498-6577488|Enhancer	chr17	6576498	6577488	Enhancer	20438	PITPNM3	chr17:6451263-6556555|-|PITPNM3
chr17:7306937-7307488|Promoter	chr17	7306937	7307488	Promoter	0	EIF5A	chr17:7306999-7312463|+|EIF5A
chr17:7308928-7309330|Enhancer	chr17	7308928	7309330	Enhancer	2130	EIF5A	chr17:7306999-7312463|+|EIF5A
chr17:7549482-7549903|Promoter	chr17	7549482	7549903	Promoter	593	TNFSF12-TNFSF13	chr17:7549099-7561601|+|TNFSF12-TNFSF13
chr17:7552842-7552984|Enhancer	chr17	7552842	7552984	Enhancer	3814	TNFSF12-TNFSF13	chr17:7549099-7561601|+|TNFSF12-TNFSF13
chr17:7572413-7572819|Promoter	chr17	7572413	7572819	Promoter	209	EIF4A1	chr17:7572825-7579006|+|EIF4A1
chr17:7573582-7574458|Promoter	chr17	7573582	7574458	Promoter	693	SNORA48	chr17:7574713-7574847|+|SNORA48
chr17:7574795-7575831|Promoter	chr17	7574795	7575831	Promoter	600	SNORA48	chr17:7574713-7574847|+|SNORA48
chr17:7583672-7584082|Promoter	chr17	7583672	7584082	Promoter	0	AC016876.1	chr17:7581964-7584072|-|AC016876.1
chr17:7685916-7686237|Promoter	chr17	7685916	7686237	Promoter	0	WRAP53	chr17:7686071-7703502|+|WRAP53
chr17:7687377-7687671|Promoter	chr17	7687377	7687671	Promoter	0	TP53	chr17:7661779-7687550|-|TP53
chr17:7857670-7857811|Promoter	chr17	7857670	7857811	Promoter	0	CYB5D1	chr17:7857746-7862282|+|CYB5D1
chr17:7868022-7868442|Enhancer	chr17	7868022	7868442	Enhancer	9289	AC104581.4	chr17:7858943-7866083|+|AC104581.4
chr17:7882127-7882441|Enhancer	chr17	7882127	7882441	Enhancer	2522	CHD3	chr17:7884806-7912760|+|CHD3
chr17:7883803-7883899|Promoter	chr17	7883803	7883899	Promoter	955	CHD3	chr17:7884806-7912760|+|CHD3
chr17:7886430-7887428|Promoter	chr17	7886430	7887428	Promoter	1720	NAA38	chr17:7856685-7885209|-|NAA38
